segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,8,8,8,8,8,8,9,10,9,10,10,8,7
1,8,7,8,8,8,8,9,10,9,10,9,8,7
2,8,8,8,8,8,8,9,10,9,10,10,8,6
3,7,7,8,8,8,8,9,10,8,9,10,8,7
4,7,7,7,8,8,8,9,10,9,10,10,7,7
5,8,7,7,8,8,8,9,10,9,10,10,7,7
6,8,8,8,8,8,8,9,9,9,9,10,7,7
7,8,8,8,8,8,8,9,9,9,10,10,8,6
8,7,7,7,8,8,8,9,9,9,10,9,8,7
9,7,7,8,8,8,8,9,10,9,9,10,8,7
10,7,7,8,8,8,8,9,10,9,10,10,8,6
11,7,7,7,8,8,8,9,9,9,10,10,8,6
12,8,8,7,8,8,8,9,9,9,9,10,8,6
13,7,8,7,8,8,8,9,9,9,10,10,8,6
14,8,7,6,8,8,8,9,9,9,9,10,8,7
15,8,8,8,8,8,8,9,9,9,9,9,8,7
16,8,8,8,8,8,8,9,9,9,10,10,8,6
17,8,8,8,8,8,8,9,9,9,10,9,8,7
