segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,7,7,7,8,7,7,9,8,8,9,10,7,6
1,7,7,7,8,7,6,9,8,7,9,10,7,5
2,7,7,6,8,7,6,8,8,8,9,10,5,4
3,7,7,6,8,7,7,9,8,8,9,9,6,5
4,7,7,6,8,7,7,9,8,8,9,10,6,4
5,7,7,6,8,7,7,9,8,7,8,9,6,4
6,6,6,6,7,6,6,9,7,7,9,10,5,4
7,7,7,6,8,7,7,9,8,8,9,10,5,4
8,6,6,6,8,7,7,9,7,7,7,9,7,4
9,7,7,7,8,7,7,9,8,8,9,10,6,4
10,6,6,6,7,7,6,8,8,8,8,9,7,4
11,7,6,6,8,7,7,9,8,8,9,9,6,4
12,6,6,6,8,7,6,8,8,8,8,9,7,5
13,7,6,6,8,7,7,9,8,8,9,10,7,5
14,7,6,6,8,7,7,9,8,8,9,9,7,5
15,7,6,6,8,7,7,9,8,8,9,9,7,5
16,7,6,6,8,7,7,9,8,8,8,10,7,4
17,7,6,6,7,7,7,9,8,8,9,10,7,5
