segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,7,8,8,8,8,8,9,8,8,8,10,7,6
1,7,8,8,8,8,8,9,8,8,8,10,7,6
2,7,8,8,8,8,8,9,8,8,8,10,6,6
3,7,8,8,8,8,8,9,8,8,8,10,7,6
4,7,8,7,8,7,8,9,8,8,8,9,6,6
5,7,8,7,8,9,8,9,8,8,8,10,6,5
6,7,8,7,8,8,8,9,8,8,8,10,6,6
7,7,8,8,8,8,8,9,8,8,8,10,7,5
8,6,6,8,7,7,7,8,8,8,8,9,7,6
9,6,7,7,7,7,7,9,8,8,8,10,5,6
10,7,7,8,8,8,8,9,8,7,8,10,6,5
11,6,6,8,8,8,8,9,8,8,8,9,6,5
12,5,7,7,7,7,7,8,8,8,7,10,6,5
13,6,8,7,8,8,8,9,8,8,8,10,5,5
14,6,7,7,7,7,7,9,8,8,8,9,6,5
15,7,8,8,8,8,8,9,8,8,8,10,6,6
16,6,8,7,8,8,8,9,8,8,8,10,6,5
17,6,8,7,8,8,8,9,8,8,7,10,7,6
