segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,7,8,7,8,8,8,10,9,9,10,10,6,8
1,8,8,7,8,8,8,10,9,9,9,10,6,8
2,8,8,7,8,8,8,10,9,9,10,10,6,7
3,8,8,6,8,8,8,10,9,9,10,10,5,7
4,8,8,6,8,8,8,10,9,8,10,10,5,7
5,8,8,7,7,7,7,10,9,9,10,9,6,8
6,8,8,7,8,8,8,10,9,9,10,10,6,8
7,8,8,7,8,8,8,10,9,9,10,10,6,7
8,8,8,7,8,8,7,10,9,9,10,10,6,8
9,8,8,7,7,8,7,10,9,8,10,9,5,7
10,8,8,7,8,8,7,10,9,9,10,10,6,7
11,8,7,7,8,8,8,10,9,9,10,9,6,8
12,8,8,7,8,8,7,10,9,9,10,10,5,7
13,8,8,7,8,8,7,10,9,9,10,10,5,8
14,8,7,7,7,8,8,10,9,9,10,10,5,8
15,8,8,7,8,8,8,10,9,9,10,10,6,8
16,8,8,7,8,8,8,10,9,9,10,9,6,7
17,8,8,7,8,8,8,10,9,9,10,10,6,8
