segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,9,9,8,8,9,8,9,9,10,10,10,9,8
1,9,9,8,8,9,8,9,9,10,10,10,9,8
2,9,9,8,8,9,8,9,9,10,10,10,9,8
3,8,9,8,8,8,8,9,9,10,10,10,8,8
4,8,8,8,8,8,8,9,9,10,10,10,7,8
5,9,9,8,8,9,8,9,9,10,10,10,9,8
6,9,9,8,8,9,8,9,9,10,10,10,8,8
7,8,8,8,8,8,8,9,9,9,10,9,8,8
8,9,9,8,8,9,8,9,9,10,10,10,8,8
9,9,9,8,8,9,8,9,9,10,10,10,8,8
10,8,8,8,8,9,8,9,9,9,9,10,8,8
11,8,8,8,8,8,8,9,9,9,9,10,8,8
12,8,8,8,8,8,8,8,9,9,9,10,7,8
13,9,9,8,8,9,8,9,9,10,10,10,8,8
14,8,8,8,8,9,8,9,9,10,10,10,8,8
15,9,9,8,8,9,8,9,9,9,10,10,9,8
16,9,9,8,8,9,8,9,9,10,10,10,8,8
17,9,9,8,8,9,8,9,9,9,10,10,9,8
