segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,8,7,7,7,7,6,8,8,8,8,10,7,5
1,8,7,7,7,7,5,8,8,8,8,10,7,4
2,8,7,7,7,7,5,8,8,8,8,10,7,5
3,8,7,7,7,7,6,8,8,8,8,10,7,5
4,8,7,7,7,7,6,8,8,7,8,10,7,5
5,8,7,7,7,7,6,8,8,7,7,10,7,5
6,8,7,7,7,7,6,8,8,8,8,10,6,5
7,8,6,7,6,7,5,8,8,8,8,9,6,5
8,7,5,5,5,5,4,8,8,8,8,10,5,4
9,8,7,7,7,7,6,8,8,8,8,10,7,5
10,7,7,6,7,7,6,8,8,7,7,10,7,4
11,7,6,7,7,7,6,8,8,8,6,9,7,4
12,7,6,7,7,7,6,8,8,7,8,10,7,4
13,8,6,7,7,7,5,8,8,8,8,9,7,5
14,7,5,6,6,6,6,8,8,8,8,9,7,4
15,8,7,7,7,7,6,8,8,8,8,10,7,5
16,8,7,7,7,7,6,8,8,8,8,10,7,5
17,8,7,7,7,7,6,8,8,8,8,10,7,5
