segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,6,8,7,6,8,7,6,7,8,7,2,8,8
1,7,7,8,8,8,8,8,8,8,8,1,8,9
2,7,8,7,8,8,8,7,8,7,7,0,8,9
3,8,6,6,7,7,7,9,7,9,9,1,8,9
4,9,8,7,8,8,6,6,6,6,6,0,8,9
5,7,7,8,8,6,8,8,9,8,8,1,8,9
6,8,8,7,8,8,7,7,7,9,7,0,8,9
7,6,7,6,9,7,8,8,8,7,8,1,8,9
8,8,8,7,7,8,9,9,7,8,9,2,8,9
9,8,7,8,8,7,7,7,8,9,7,1,8,9
10,8,6,7,6,8,8,8,9,7,8,0,8,9
11,6,7,8,8,9,7,9,7,8,9,1,8,9
12,7,8,7,8,7,6,7,8,8,7,0,8,9
13,8,6,8,7,8,8,8,9,7,8,1,8,9
14,9,7,7,8,7,9,9,7,8,9,0,8,9
15,7,8,8,8,8,7,8,8,7,7,0,8,9
16,8,7,7,7,9,8,7,8,9,8,0,8,9
17,7,8,6,8,8,8,8,9,9,9,0,8,9
