segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,8,7,8,8,8,8,6,7,8,8,0,9,9
1,8,8,8,8,8,7,7,8,7,9,0,9,9
2,7,7,7,8,8,8,6,7,6,6,0,9,9
3,8,8,8,8,7,7,8,6,8,8,0,9,9
4,7,7,7,7,8,6,7,7,6,7,0,9,9
5,8,8,8,8,7,8,6,8,7,8,0,9,9
6,8,7,7,7,8,7,8,7,8,6,0,9,9
7,7,8,8,8,7,6,7,6,6,9,0,9,9
8,8,7,7,7,8,7,6,7,7,8,0,9,9
9,7,8,8,8,7,8,8,8,8,7,0,9,9
10,8,8,7,7,8,7,7,6,6,8,0,9,9
11,7,6,8,8,7,6,8,7,8,8,0,9,9
12,8,8,7,7,8,7,6,8,7,7,0,9,9
13,7,8,8,8,7,8,7,6,8,6,0,9,9
14,8,6,7,7,8,6,8,7,9,9,0,9,9
15,7,8,8,8,7,7,7,6,7,6,0,9,9
16,8,7,7,7,8,8,8,7,8,7,0,9,9
17,8,8,8,8,8,6,7,8,8,8,0,9,9
