segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,9,9,9,8,8,8,8,8,8,8,9,9,1
1,9,8,8,8,9,9,9,8,9,9,9,9,1
2,8,9,9,8,8,7,8,8,8,8,9,9,1
3,7,8,8,8,7,9,9,7,9,9,9,9,1
4,8,7,9,8,8,8,8,9,8,8,9,8,1
5,9,8,8,8,8,9,7,9,9,9,9,9,1
6,8,9,7,9,7,7,9,8,8,8,9,9,1
7,9,8,9,7,7,9,8,9,7,9,9,9,1
8,8,7,8,9,8,8,9,8,8,8,9,8,1
9,9,8,7,8,8,9,8,9,9,7,9,9,1
10,7,9,9,9,7,8,7,7,8,7,9,9,1
11,9,8,8,9,9,9,8,8,9,9,9,9,0
12,8,9,9,7,8,8,9,9,8,8,9,9,1
13,7,8,7,9,7,9,8,8,9,9,9,9,0
14,8,9,8,8,8,7,8,9,8,7,9,9,1
15,9,8,9,7,9,8,8,8,7,7,9,9,0
16,8,9,8,8,8,9,9,9,8,8,9,9,1
17,9,8,9,9,9,8,7,8,7,7,9,9,1
