segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,6,6,10,6,6,6,10,10,10,10,10,10,4
1,6,4,10,10,10,10,10,10,10,10,10,6,10
2,6,6,8,8,8,8,8,10,10,10,6,4,10
3,6,4,4,4,4,4,4,4,4,10,10,4,10
4,6,6,4,4,4,4,4,6,4,10,10,4,10
5,6,6,6,6,6,6,6,4,4,10,10,4,10
6,6,6,4,4,4,4,4,4,4,10,10,2,10
7,6,4,4,4,4,4,4,4,4,10,10,2,10
8,4,6,4,4,4,4,4,4,4,10,10,6,10
9,4,4,4,4,4,4,4,4,4,10,10,0,10
10,4,4,4,4,4,4,4,4,4,10,10,0,10
11,6,4,4,2,2,2,4,4,2,10,10,2,10
12,8,8,8,6,6,6,6,6,8,10,10,4,10
13,8,6,8,6,6,6,6,6,6,10,10,0,10
14,6,8,6,6,10,10,10,6,6,10,10,0,10
15,6,10,8,8,8,8,8,6,6,10,10,0,10
16,4,8,8,8,8,6,6,6,6,10,10,8,10
17,6,0,0,0,0,0,0,0,0,2,2,6,10
