segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,8,6,10,10,4,10,10,10,8,10,10,10,10
1,10,10,10,10,8,10,10,10,10,10,10,10,6
2,10,10,10,10,10,10,10,10,10,10,10,10,10
3,10,10,10,10,10,10,10,10,10,10,10,10,10
4,10,10,10,10,10,10,10,10,10,10,10,10,10
5,10,10,10,10,10,10,10,10,10,10,10,10,10
6,10,10,10,10,10,10,10,10,10,10,10,10,10
7,10,10,10,10,10,10,10,10,10,10,10,10,6
8,10,10,10,10,6,10,10,10,6,10,10,10,6
9,10,10,10,10,6,10,10,10,10,10,10,10,10
10,10,10,10,10,6,10,10,10,6,10,10,10,10
11,10,10,10,10,4,10,10,10,6,10,10,10,6
12,10,8,10,10,8,10,10,10,10,10,10,10,4
13,10,8,10,10,10,10,10,10,10,10,10,10,4
14,10,4,10,10,6,10,10,10,10,10,10,10,4
15,10,6,10,10,6,10,10,10,10,10,10,10,8
16,8,10,10,10,10,10,10,10,10,10,10,10,10
17,8,6,8,6,2,10,10,10,4,10,10,6,4
