segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,10,10,10,10,10,10,10,10,10,10,10,10,2
1,10,10,10,10,10,10,10,10,10,10,10,10,2
2,10,10,10,10,10,10,10,10,10,10,10,10,2
3,8,4,10,10,10,10,8,8,8,10,10,10,2
4,8,6,10,10,10,10,10,10,10,10,10,10,2
5,6,10,10,8,8,6,6,6,10,10,10,10,2
6,8,10,10,8,8,10,10,10,10,10,10,10,2
7,10,10,8,10,10,10,10,10,10,10,10,10,0
8,10,10,10,8,10,8,8,8,10,8,10,10,0
9,10,10,8,10,10,8,10,10,10,10,8,10,2
10,10,10,10,8,10,8,10,10,10,10,10,10,2
11,10,10,10,10,10,10,6,10,10,10,8,10,0
12,10,8,10,6,10,10,10,10,10,10,8,10,0
13,8,4,10,10,10,10,8,8,8,10,8,10,0
14,8,6,10,10,10,10,10,10,10,10,10,10,2
15,6,10,10,8,8,6,6,6,10,10,10,10,2
16,8,10,10,10,10,10,10,10,10,10,10,10,2
17,10,10,10,10,10,10,10,10,10,10,10,10,2
