segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,8,10,8,10,10,10,10,10,10,10,10,10,10
1,8,10,6,10,10,10,10,10,10,10,10,6,10
2,8,10,8,10,10,10,10,10,10,10,10,8,10
3,6,10,8,10,10,10,10,10,10,10,10,6,10
4,6,10,8,10,10,10,10,10,10,10,10,6,10
5,8,10,6,10,10,10,10,10,10,10,10,8,10
6,8,10,4,10,10,10,10,10,10,10,10,6,10
7,8,10,4,10,10,10,10,10,10,10,10,8,10
8,8,10,6,10,10,10,10,10,10,10,10,4,8
9,8,10,6,10,10,10,10,10,10,10,10,6,8
10,6,10,6,10,10,10,10,10,10,10,10,6,10
