segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,4,6,10,6,8,8,10,10,10,10,4,8,10
1,0,0,0,0,0,0,0,0,0,0,0,0,6
2,2,0,0,0,0,0,0,0,0,0,0,0,4
3,4,0,0,0,0,0,0,0,0,0,0,0,6
4,6,0,6,0,0,0,0,0,0,0,0,0,4
5,6,0,0,0,0,0,0,0,0,0,0,0,4
6,4,2,2,2,2,2,4,2,2,2,4,0,2
7,6,4,4,2,2,2,2,2,2,2,2,0,2
8,6,4,4,4,4,2,2,2,4,4,4,0,6
9,6,4,4,6,6,4,4,4,4,8,6,4,8
10,2,0,0,0,0,0,0,0,0,0,0,4,6
11,6,2,2,0,0,0,0,0,0,0,0,2,6
12,4,2,4,4,4,4,0,0,0,2,0,4,2
13,2,0,2,0,2,2,2,0,0,2,0,2,8
14,4,2,0,0,0,2,2,2,2,0,0,4,4
15,2,4,4,4,6,4,4,4,4,6,4,4,0
16,4,4,4,2,2,2,2,4,2,4,4,2,6
17,6,0,0,0,0,0,0,0,0,0,0,0,4
