segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,10,10,10,10,10,10,10,10,10,10,10,4,4
1,10,10,8,6,6,6,6,8,8,10,10,2,8
2,8,2,6,2,2,2,2,2,4,10,10,2,4
3,6,6,6,4,4,4,4,4,2,10,10,4,4
4,10,10,10,10,10,10,10,10,10,10,10,6,10
5,10,10,10,10,10,10,10,10,6,10,10,4,4
6,6,8,8,8,8,8,8,8,6,10,10,4,2
7,8,6,6,6,6,6,6,6,8,10,10,2,4
8,6,4,6,6,6,6,4,4,4,10,10,4,2
9,10,6,10,10,10,10,6,4,4,10,10,2,4
10,8,6,8,8,8,8,8,4,4,10,10,2,4
11,6,8,10,10,10,10,10,10,10,10,10,4,4
12,8,8,10,8,8,8,6,2,4,10,10,6,4
13,10,10,10,10,10,10,10,4,6,10,10,6,6
14,10,8,8,8,6,6,6,4,8,10,10,2,4
15,10,10,10,10,10,10,10,10,10,10,10,6,8
16,10,10,10,10,10,10,10,10,10,10,10,6,6
17,8,6,6,6,6,6,6,6,6,10,10,4,6
