segment,톤,레가토,해석,프레이징,멜로디,음악적 표현력,음악의 구조,보이싱,음의 길이와 관련된 아티큘레이션,리듬,음정의 정확성,셈여림,페달링
0,6,2,2,2,2,4,4,4,2,10,6,2,4
1,6,2,2,2,2,2,2,2,2,6,4,4,4
2,6,2,2,2,2,2,2,2,2,2,2,4,4
3,4,4,2,4,4,4,2,2,2,2,2,2,6
4,4,4,4,2,2,2,2,2,2,4,2,6,4
5,6,4,2,2,2,2,2,2,2,2,0,4,4
6,4,0,0,0,0,0,0,0,0,0,0,0,4
7,4,2,2,2,2,2,2,2,2,2,2,4,6
8,4,2,2,2,2,2,2,2,2,2,2,2,4
9,6,6,0,0,0,0,0,0,0,0,0,2,6
10,4,2,2,2,2,2,4,4,4,2,0,2,4
11,4,4,4,2,2,4,2,2,4,4,2,6,4
12,6,4,2,2,2,2,4,2,2,2,0,4,4
13,4,0,0,0,2,2,2,0,0,0,0,0,4
14,4,2,4,4,4,2,4,2,4,2,2,4,6
15,4,2,4,2,2,2,2,2,2,2,2,2,4
16,6,6,0,2,0,2,2,2,2,2,0,2,6
17,4,2,4,4,4,2,4,2,2,2,2,2,4
