sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 69, 81]","[70, 70, 70]",mp,0,3,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 64, 76]","[70, 70, 70]",mp,0,3,0,0,"[127, 126]",0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,"[0, 63, 0]",0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[52, 64, 50, 62]","[55, 55, 55, 55]",p,0,4,0,0,0,0
2.2,"['note_on', 'note_on']","[0, 0]","[49, 61]","[55, 55]",p,0,2,0,0,0,0
2.3,"['note_on', 'note_on']","[0, 0]","[47, 59]","[55, 55]",p,0,2,0,0,0,0
2.4,"['note_on', 'note_on']","[0, 0]","[45, 57]","[55, 55]",p,0,2,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 69, 81]","[71, 71, 71]",mp,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,127,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 66, 78]","[70, 70, 70]",mp,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[54, 66, 52, 64]","[55, 55, 55, 55]",p,0,4,0,0,0,0
4.6,"['note_on', 'note_on']","[0, 0]","[50, 62]","[55, 55]",p,0,2,0,0,0,0
4.7,"['note_on', 'note_on']","[0, 0]","[49, 61]","[55, 55]",p,0,2,0,0,0,0
4.8,"['note_on', 'note_on']","[0, 0]","[47, 59]","[55, 55]",p,0,2,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 74, 86]","[72, 72, 72]",mp,0,3,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 71, 83]","[72, 72, 72]",mp,0,3,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 68, 80]","[71, 71, 71]",mp,0,3,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 64, 76]","[72, 72, 72]",mp,0,3,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[50, 62, 74]","[70, 70, 70]",mp,0,3,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[47, 59, 71]","[71, 71, 71]",mp,0,3,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[44, 56, 68]","[71, 71, 71]",mp,0,3,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,"[126, 126, 126]",0
9.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[40, 52, 64]","[71, 71, 71]",mp,0,3,0,0,126,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,126,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,"[127, 85, 44, 2, 2]",0
10.3,"['note_on', 'note_on']","[0, 0]","[57, 61]","[54, 64]",p,0,2,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,['note_on'],[0],[64],[79],mf,1,1,0,0,0,0
10.6,"['note_on', 'note_on']","[0, 0]","[45, 49]","[95, 87]",f,0,2,0,0,0,0
10.7,"['note_on', 'note_on']","[0, 0]","[52, 57]","[77, 67]",mp,0,2,0,0,0,0
10.8,['note_on'],[0],[69],[57],p,0,1,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,"[2, 127]",0
11.1,['note_on'],[0],[71],[55],p,0,1,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,['note_on'],[0],[73],[58],p,0,1,0,0,127,0
11.5,[],[],[],[],,0,0,0,0,127,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,['note_on'],[0],[74],[61],p,0,1,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,[],[],[],[],,0,0,0,0,0,0
12.0,['note_on'],[0],[76],[64],mp,0,1,0,0,0,0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,[],[],[],[],,0,0,0,0,0,0
12.3,['note_on'],[0],[78],[67],mp,0,1,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,['note_on'],[0],[80],[70],mp,0,1,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,['note_on'],[0],[81],[74],mp,0,1,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,['note_on'],[0],[76],[67],mp,0,1,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,"['note_on', 'note_on']","[0, 0]","[52, 68]","[56, 56]",p,0,2,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,0,0
13.7,[],[],[],[],,0,0,0,0,0,0
13.8,"['note_on', 'note_on']","[0, 0]","[54, 69]","[55, 55]",p,0,2,0,0,0,0
13.9,[],[],[],[],,0,0,0,0,0,0
14.0,[],[],[],[],,0,0,0,0,127,0
14.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 71, 74]","[55, 55, 55]",p,0,3,0,0,0,0
14.2,[],[],[],[],,0,0,0,0,0,0
14.3,[],[],[],[],,0,0,0,0,0,0
14.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 73]","[55, 55, 55]",p,0,3,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,0,0
14.6,[],[],[],[],,0,0,0,0,0,0
14.7,['note_on'],[0],[45],[55],p,0,1,0,0,125,0
14.8,[],[],[],[],,0,0,0,0,0,0
14.9,[],[],[],[],,0,0,0,0,0,0
15.0,['note_on'],[0],[49],[56],p,0,1,0,0,0,0
15.1,[],[],[],[],,0,0,0,0,0,0
15.2,[],[],[],[],,0,0,0,0,0,0
15.3,['note_on'],[0],[50],[66],mp,0,1,0,0,0,0
15.4,[],[],[],[],,0,0,0,0,0,0
15.5,[],[],[],[],,0,0,0,0,0,0
15.6,['note_on'],[0],[52],[74],mp,0,1,0,0,0,0
15.7,[],[],[],[],,0,0,0,0,0,0
15.8,[],[],[],[],,0,0,0,0,0,0
15.9,"['note_on', 'note_on']","[0, 0]","[56, 64]","[55, 55]",p,0,2,0,0,127,0
