sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[59],[56],p,0,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[71],[56],p,0,1,0,0,0,0
2.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[55, 59, 64, 71]","[55, 55, 55, 56]",p,0,4,0,0,"[125, 125, 125, 125]",0
2.6,[],[],[],[],,0,0,0,0,125,0
2.7,[],[],[],[],,0,0,0,0,125,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 59, 64]","[55, 55, 55]",p,0,3,0,0,125,0
3.0,[],[],[],[],,0,0,0,0,125,0
3.1,[],[],[],[],,0,0,0,0,125,0
3.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 59, 64]","[54, 54, 54]",p,0,3,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,125,0
3.4,[],[],[],[],,0,0,0,0,125,0
3.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 59, 64]","[56, 56, 56]",p,0,3,0,0,125,0
3.6,[],[],[],[],,0,0,0,0,125,0
3.7,[],[],[],[],,0,0,0,0,124,0
3.8,[],[],[],[],,0,0,0,0,"[124, 124]",0
3.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 59, 64]","[56, 56, 56]",p,0,3,0,0,"[124, 124, 125, 125, 125]",0
4.0,[],[],[],[],,0,0,0,0,"[125, 125, 125, 125, 125, 125, 125]",0
4.1,[],[],[],[],,0,0,0,0,"[125, 125, 126, 126, 126]",0
4.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 59, 64]","[55, 55, 55]",p,0,3,0,0,126,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[55, 59, 64, 72]","[55, 55, 55, 56]",p,0,4,0,0,"[123, 0]",0
4.6,[],[],[],[],,0,0,0,0,122,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 59, 64]","[55, 55, 55]",p,0,3,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[54, 57, 64, 71]","[54, 54, 54, 56]",p,0,4,0,0,"[124, 0]",0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,125,0
5.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 57, 64]","[54, 54, 54]",p,0,3,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 57, 64]","[54, 54, 54]",p,0,3,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 57, 64]","[54, 54, 54]",p,0,3,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 57, 63]","[54, 54, 54]",p,0,3,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,125,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 57, 63]","[54, 54, 54]",p,0,3,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[54, 57, 63, 72]","[55, 55, 55, 56]",p,0,4,0,0,"[121, 0]",0
7.3,[],[],[],[],,0,0,0,0,127,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 57, 63]","[55, 55, 55]",p,0,3,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[53, 57, 63, 71]","[55, 55, 55, 56]",p,0,4,0,0,"[127, 0]",0
8.0,[],[],[],[],,0,0,0,0,127,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 57, 63]","[55, 55, 55]",p,0,3,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 57, 63]","[55, 55, 55]",p,0,3,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 57, 63]","[55, 55, 55]",p,0,3,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,"[127, 0]",0
9.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 57, 62]","[55, 55, 55]",p,0,3,0,0,"[0, 127]",0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 57, 62]","[55, 55, 55]",p,0,3,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,"[125, 0]",0
9.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[53, 56, 62, 72]","[55, 55, 55, 56]",p,0,4,0,0,"[0, 127]",0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 56, 62]","[55, 55, 55]",p,0,3,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[52, 56, 62, 71]","[55, 55, 55, 56]",p,0,4,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,0,0
10.7,[],[],[],[],,0,0,0,0,"[0, 126]",0
10.8,[],[],[],[],,0,0,0,0,0,0
10.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 56, 62]","[55, 55, 55]",p,0,3,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 56, 62]","[54, 54, 54]",p,0,3,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 56, 62]","[54, 54, 54]",p,0,3,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,"[122, 0]",0
11.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 55, 62]","[54, 54, 54]",p,0,3,0,0,"[0, 0, 0, 0, 0, 0, 0]",0
12.0,[],[],[],[],,0,0,0,0,"[0, 125, 125, 125, 125, 125]",0
12.1,[],[],[],[],,0,0,0,0,"[125, 125, 125, 125]",0
12.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 55, 62]","[54, 54, 54]",p,0,3,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[52, 55, 61, 70]","[54, 54, 54, 56]",p,0,4,0,0,123,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,125,0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 55, 61]","[54, 54, 54]",p,0,3,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[52, 55, 60, 69]","[54, 54, 54, 56]",p,0,4,0,0,123,0
13.3,[],[],[],[],,0,0,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,"[126, 125, 125, 125, 124]",0
13.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 55, 60]","[54, 54, 54]",p,0,3,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,0,0
