sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,['note_on'],[0],[60],[94],f,1,1,0,0,70,0
0.2,[],[],[],[],,0,0,0,0,"[60, 50, 38, 10, 0]",0
0.3,['note_on'],[0],[64],[71],mp,0,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,['note_on'],[0],[67],[85],mf,1,1,0,0,0,0
0.6,['note_on'],[0],[72],[86],mf,1,1,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,['note_on'],[0],[76],[95],f,1,1,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,['note_on'],[0],[67],[78],mf,1,1,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,['note_on'],[0],[72],[78],mf,1,1,0,0,"[10, 58, 72, 84, 90, 96, 98, 100, 102]",0
1.3,['note_on'],[0],[76],[89],f,1,1,0,0,104,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[60],[91],f,1,1,0,0,"[102, 96, 90, 78, 62, 42, 22]",0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,['note_on'],[0],[64],[77],mf,1,1,0,0,0,0
1.8,['note_on'],[0],[67],[92],f,1,1,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[72],[98],f,1,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[76],[96],f,1,1,0,0,0,0
2.3,['note_on'],[0],[67],[94],f,1,1,0,0,"[38, 54, 65, 70, 76, 78, 84]",0
2.4,[],[],[],[],,0,0,0,0,"[90, 92, 96, 98]",0
2.5,['note_on'],[0],[72],[86],mf,1,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,['note_on'],[0],[76],[95],f,1,1,0,0,96,0
2.8,[],[],[],[],,0,0,0,0,94,0
2.9,['note_on'],[0],[60],[98],f,1,1,0,0,"[92, 88, 86, 78, 70, 58, 42, 30, 10, 0]",0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,['note_on'],[0],[65],[85],mf,1,1,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,['note_on'],[0],[69],[92],f,1,1,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,['note_on'],[0],[74],[89],f,1,1,0,0,0,0
3.6,['note_on'],[0],[77],[85],mf,1,1,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,['note_on'],[0],[69],[86],mf,1,1,0,0,"[30, 46, 56, 60, 62, 65, 68]",0
3.9,[],[],[],[],,0,0,0,0,"[70, 74, 76, 78, 80, 82]",0
4.0,['note_on'],[0],[74],[86],mf,1,1,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,['note_on'],[0],[77],[85],mf,1,1,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,"[80, 78, 74, 65]",0
4.4,['note_on'],[0],[60],[86],mf,1,1,0,0,"[56, 42, 30, 8, 0]",0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,['note_on'],[0],[62],[68],mp,0,1,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,['note_on'],[0],[69],[85],mf,1,1,0,0,2,0
4.9,['note_on'],[0],[74],[86],mf,1,1,0,0,"[16, 24, 30, 40, 44, 50, 54, 58, 60, 62]",0
5.0,[],[],[],[],,0,0,0,0,64,0
5.1,['note_on'],[0],[77],[85],mf,1,1,0,0,"[62, 60, 58, 52, 0]",0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,"[12, 28, 42, 48, 54, 58]",0
5.4,['note_on'],[0],[69],[84],mf,1,1,0,0,"[62, 64, 65, 66, 68, 70]",0
5.5,['note_on'],[0],[74],[85],mf,1,1,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,['note_on'],[0],[77],[72],mp,0,1,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,['note_on'],[0],[59],[55],p,0,1,0,0,"[68, 65, 60, 54, 44, 32, 16]",0
6.0,[],[],[],[],,0,0,0,0,"[1, 0]",0
6.1,['note_on'],[0],[62],[44],pp,0,1,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,['note_on'],[0],[74],[55],p,0,1,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,"[2, 10]",0
6.7,['note_on'],[0],[77],[54],p,0,1,0,0,"[20, 28, 32, 40, 42, 46, 48, 52, 54, 56, 58]",0
6.8,[],[],[],[],,0,0,0,0,"[60, 62, 64, 65, 66]",0
6.9,['note_on'],[0],[67],[51],p,0,1,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,['note_on'],[0],[74],[51],p,0,1,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,['note_on'],[0],[77],[43],pp,0,1,0,0,"[65, 64, 62, 60, 58, 54]",0
7.4,['note_on'],[0],[59],[51],p,0,1,0,0,"[50, 46, 40, 34, 28, 14, 2, 0]",0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,['note_on'],[0],[62],[46],pp,0,1,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,1,0
7.8,['note_on'],[0],[67],[49],p,0,1,0,0,"[4, 8, 12, 16, 20, 24, 28]",0
7.9,[],[],[],[],,0,0,0,0,"[30, 32]",0
8.0,['note_on'],[0],[74],[49],p,0,1,0,0,"[34, 36, 38]",0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,['note_on'],[0],[77],[51],p,0,1,0,0,"[34, 22, 6, 0]",0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,['note_on'],[0],[67],[51],p,0,1,0,0,"[12, 22, 28, 32, 34, 36]",0
8.5,[],[],[],[],,0,0,0,0,"[38, 40]",0
8.6,['note_on'],[0],[74],[51],p,0,1,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,['note_on'],[0],[77],[44],pp,0,1,0,0,0,0
8.9,['note_on'],[0],[60],[45],pp,0,1,0,0,"[36, 26, 14]",0
9.0,[],[],[],[],,0,0,0,0,"[1, 0]",0
9.1,['note_on'],[0],[64],[44],pp,0,1,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,['note_on'],[0],[67],[49],p,0,1,0,0,0,0
9.5,['note_on'],[0],[72],[53],p,0,1,0,0,"[4, 10, 16, 20, 22, 26, 28]",0
9.6,[],[],[],[],,0,0,0,0,"[30, 32]",0
9.7,['note_on'],[0],[76],[56],p,0,1,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,"[30, 16, 6, 0]",0
9.9,['note_on'],[0],[67],[49],p,0,1,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,"[1, 10, 18, 24, 28, 30, 34]",0
10.1,['note_on'],[0],[72],[51],p,0,1,0,0,"[36, 38, 40]",0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,['note_on'],[0],[76],[48],pp,0,1,0,0,0,0
10.4,['note_on'],[0],[60],[44],pp,0,1,0,0,"[38, 36]",0
10.5,[],[],[],[],,0,0,0,0,"[30, 20, 8, 0]",0
10.6,['note_on'],[0],[64],[46],pp,0,1,0,0,0,0
10.7,[],[],[],[],,0,0,0,0,0,0
10.8,['note_on'],[0],[67],[51],p,0,1,0,0,"[2, 10, 16, 20, 22, 26, 28]",0
10.9,[],[],[],[],,0,0,0,0,30,0
11.0,['note_on'],[0],[72],[53],p,0,1,0,0,"[32, 34, 36, 38]",0
11.1,[],[],[],[],,0,0,0,0,"[40, 42, 44, 46, 48, 50, 56, 58, 64]",0
11.2,['note_on'],[0],[76],[51],p,0,1,0,0,"[66, 70, 72, 78, 80, 84, 88, 90, 96, 98]",0
11.3,[],[],[],[],,0,0,0,0,"[100, 104, 106, 108, 110, 112, 114, 116]",0
11.4,['note_on'],[0],[67],[44],pp,0,1,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,['note_on'],[0],[72],[43],pp,0,1,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,['note_on'],[0],[76],[40],pp,0,1,0,0,0,0
11.9,[],[],[],[],,0,0,0,0,0,0
12.0,['note_on'],[0],[60],[45],pp,0,1,0,0,"[114, 110, 106, 100, 92, 84, 72, 64]",0
12.1,[],[],[],[],,0,0,0,0,"[54, 46, 36, 12, 0]",0
12.2,['note_on'],[0],[64],[47],pp,0,1,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,"[1, 6, 12, 14, 18]",0
12.4,['note_on'],[0],[69],[45],pp,0,1,0,0,"[20, 24, 26, 28, 30, 32, 36, 38]",0
12.5,['note_on'],[0],[76],[48],pp,0,1,0,0,"[40, 42, 44, 46, 48, 50]",0
12.6,[],[],[],[],,0,0,0,0,"[52, 54, 56, 58]",0
12.7,['note_on'],[0],[81],[52],p,0,1,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,['note_on'],[0],[69],[44],pp,0,1,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,['note_on'],[0],[76],[44],pp,0,1,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,0,0
13.4,['note_on'],[0],[60],[46],pp,0,1,0,0,"[56, 54, 52, 48, 42, 36]",0
13.5,[],[],[],[],,0,0,0,0,"[30, 18, 4, 0]",0
13.6,['note_on'],[0],[64],[47],pp,0,1,0,0,0,0
13.7,[],[],[],[],,0,0,0,0,"[8, 14, 20, 24, 26, 28]",0
13.8,['note_on'],[0],[69],[46],pp,0,1,0,0,"[30, 32, 34, 36, 38, 40, 42]",0
13.9,[],[],[],[],,0,0,0,0,"[44, 46, 48, 50, 52]",0
14.0,['note_on'],[0],[76],[48],pp,0,1,0,0,"[54, 56]",0
14.1,[],[],[],[],,0,0,0,0,58,0
14.2,['note_on'],[0],[81],[46],pp,0,1,0,0,0,0
14.3,[],[],[],[],,0,0,0,0,0,0
14.4,['note_on'],[0],[69],[43],pp,0,1,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,0,0
14.6,['note_on'],[0],[76],[43],pp,0,1,0,0,0,0
14.7,[],[],[],[],,0,0,0,0,60,0
14.8,['note_on'],[0],[81],[56],p,0,1,0,0,0,0
14.9,['note_on'],[0],[60],[84],mf,1,1,0,0,"[62, 60, 58, 54]",0
15.0,[],[],[],[],,0,0,0,0,"[48, 38, 30, 16, 2, 0]",0
15.1,['note_on'],[0],[62],[77],mf,1,1,0,0,0,0
15.2,['note_on'],[0],[55],[42],pp,0,1,0,0,0,0
15.3,['note_on'],[0],[66],[94],f,1,1,0,0,8,0
15.4,[],[],[],[],,0,0,0,0,"[16, 22, 28, 32, 36, 42, 44, 48, 52, 54]",0
15.5,['note_on'],[0],[69],[88],f,1,1,0,0,"[58, 60, 62, 64]",0
15.6,[],[],[],[],,0,0,0,0,0,0
15.7,['note_on'],[0],[74],[89],f,1,1,0,0,0,0
15.8,[],[],[],[],,0,0,0,0,0,0
15.9,['note_on'],[0],[66],[84],mf,1,1,0,0,0,0
16.0,[],[],[],[],,0,0,0,0,0,0
16.1,['note_on'],[0],[69],[84],mf,1,1,0,0,0,0
16.2,['note_on'],[0],[74],[86],mf,1,1,0,0,0,0
16.3,[],[],[],[],,0,0,0,0,0,0
16.4,['note_on'],[0],[60],[91],f,1,1,0,0,"[62, 60, 58, 52, 42, 30, 14, 0]",0
16.5,[],[],[],[],,0,0,0,0,0,0
16.6,['note_on'],[0],[62],[53],p,0,1,0,0,0,0
16.7,[],[],[],[],,0,0,0,0,0,0
16.8,['note_on'],[0],[66],[84],mf,1,1,0,0,"[6, 12, 20, 24, 28, 32, 36]",0
16.9,[],[],[],[],,0,0,0,0,"[38, 40, 42, 44, 46, 48]",0
17.0,['note_on'],[0],[69],[81],mf,1,1,0,0,"[50, 52, 54]",0
17.1,[],[],[],[],,0,0,0,0,0,0
17.2,['note_on'],[0],[74],[89],f,1,1,0,0,"[52, 42, 32, 16, 1, 0]",0
17.3,[],[],[],[],,0,0,0,0,2,0
17.4,['note_on'],[0],[66],[82],mf,1,1,0,0,"[16, 28, 36, 42, 46, 50, 54, 56, 60, 62]",0
17.5,[],[],[],[],,0,0,0,0,"[64, 65]",0
17.6,['note_on'],[0],[69],[84],mf,1,1,0,0,66,0
17.7,['note_on'],[0],[74],[89],f,1,1,0,0,0,0
17.8,[],[],[],[],,0,0,0,0,0,0
17.9,['note_on'],[0],[59],[54],p,0,1,0,0,0,0
18.0,[],[],[],[],,0,0,0,0,"[65, 62, 56, 46, 34, 20, 2, 0]",0
18.1,['note_on'],[0],[62],[53],p,0,1,0,0,0,0
18.2,[],[],[],[],,0,0,0,0,0,0
18.3,['note_on'],[0],[67],[48],pp,0,1,0,0,0,0
18.4,[],[],[],[],,0,0,0,0,"[6, 10, 14, 16, 20, 22]",0
18.5,['note_on'],[0],[74],[54],p,0,1,0,0,"[26, 28]",0
18.6,[],[],[],[],,0,0,0,0,0,0
18.7,['note_on'],[0],[79],[60],p,0,1,0,0,"[22, 10, 0]",0
18.8,[],[],[],[],,0,0,0,0,0,0
18.9,['note_on'],[0],[67],[51],p,0,1,0,0,"[6, 14, 20, 24, 28]",0
19.0,[],[],[],[],,0,0,0,0,"[30, 32, 34]",0
19.1,['note_on'],[0],[74],[57],p,0,1,0,0,0,0
19.2,[],[],[],[],,0,0,0,0,36,0
