sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on']","[0, 0]","[60, 64]","[64, 51]",p,0,2,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,"[122, 108, 96, 82]",0
0.2,['note_on'],[0],[67],[51],p,0,1,0,0,"[66, 54, 42, 32, 22, 12, 2, 0]",0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,['note_on'],[0],[72],[66],mp,0,1,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,['note_on'],[0],[76],[69],mp,0,1,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[67],[72],mp,0,1,0,0,0,0
1.0,['note_on'],[0],[72],[62],mp,0,1,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,"[1, 12, 26, 38, 54, 66, 80, 94, 102]",0
1.2,[],[],[],[],,0,0,0,0,"[112, 122, 127]",0
1.3,['note_on'],[0],[76],[54],p,0,1,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[60],[51],p,0,1,0,0,"[116, 100, 86, 70, 60]",0
1.6,[],[],[],[],,0,0,0,0,"[46, 36, 28, 20, 16, 10, 4, 0]",0
1.7,['note_on'],[0],[64],[49],p,0,1,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[67],[57],p,0,1,0,0,0,0
2.0,['note_on'],[0],[72],[67],mp,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[76],[62],mp,0,1,0,0,8,0
2.3,[],[],[],[],,0,0,0,0,"[22, 36, 50, 65, 76, 84, 96, 102, 110, 116]",0
2.4,['note_on'],[0],[67],[58],p,0,1,0,0,"[120, 124, 127]",0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[72],[62],mp,0,1,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,['note_on'],[0],[76],[66],mp,0,1,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,"[124, 114]",0
3.0,['note_on'],[0],[60],[59],p,0,1,0,0,"[100, 86, 70, 56, 40, 24, 8, 0]",0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,['note_on'],[0],[62],[57],p,0,1,0,0,0,0
3.3,['note_on'],[0],[69],[58],p,0,1,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,['note_on'],[0],[74],[69],mp,0,1,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,"[4, 14]",0
3.7,['note_on'],[0],[77],[59],p,0,1,0,0,"[26, 36, 46, 56, 66, 74, 82, 88, 96]",0
3.8,[],[],[],[],,0,0,0,0,"[100, 104, 110, 118, 122, 126, 127]",0
3.9,['note_on'],[0],[69],[54],p,0,1,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[74],[69],mp,0,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[77],[62],mp,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,"[116, 92, 62]",0
4.5,['note_on'],[0],[60],[58],p,0,1,0,0,"[34, 6, 0]",0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,['note_on'],[0],[62],[50],p,0,1,0,0,"[2, 30, 54, 72, 82, 92, 98, 100, 104, 110, 114]",0
4.8,['note_on'],[0],[69],[59],p,0,1,0,0,"[118, 120, 122, 126, 127]",0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,['note_on'],[0],[74],[57],p,0,1,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,['note_on'],[0],[77],[62],mp,0,1,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,['note_on'],[0],[69],[51],p,0,1,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[74],[58],p,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[77],[64],mp,0,1,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,"[124, 104, 78]",0
6.0,['note_on'],[0],[59],[51],p,0,1,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,['note_on'],[0],[62],[46],pp,0,1,0,0,"[14, 28, 40, 46, 48, 50, 52]",0
6.3,[],[],[],[],,0,0,0,0,"[54, 58, 60, 62, 65, 66, 72, 74, 76]",0
6.4,['note_on'],[0],[67],[49],p,0,1,0,0,"[82, 88, 96, 98, 100, 104, 106, 108]",0
6.5,['note_on'],[0],[74],[60],p,0,1,0,0,"[110, 112, 114, 116, 118]",0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,['note_on'],[0],[77],[64],mp,0,1,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,['note_on'],[0],[74],[64],mp,0,1,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,['note_on'],[0],[77],[58],p,0,1,0,0,120,0
7.4,[],[],[],[],,0,0,0,0,"[118, 110]",0
7.5,['note_on'],[0],[59],[59],p,0,1,0,0,"[100, 84, 64, 44, 20, 0]",0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,['note_on'],[0],[62],[55],p,0,1,0,0,"[8, 28, 44, 58, 68, 78]",0
7.8,[],[],[],[],,0,0,0,0,"[84, 88, 92, 94, 98, 104, 106, 108]",0
7.9,['note_on'],[0],[67],[60],p,0,1,0,0,0,0
8.0,['note_on'],[0],[74],[66],mp,0,1,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,['note_on'],[0],[77],[58],p,0,1,0,0,0,0
8.4,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,['note_on'],[0],[74],[66],mp,0,1,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,['note_on'],[0],[77],[66],mp,0,1,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,['note_on'],[0],[60],[54],p,0,1,0,0,"[104, 94, 82, 62, 40, 12, 0]",0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,['note_on'],[0],[64],[64],mp,0,1,0,0,"[6, 20]",0
9.3,[],[],[],[],,0,0,0,0,"[30, 38, 44, 48, 50, 54, 58, 62, 64, 66]",0
9.4,['note_on'],[0],[67],[57],p,0,1,0,0,"[68, 72, 74, 76, 78, 82, 84, 86, 88]",0
9.5,['note_on'],[0],[72],[67],mp,0,1,0,0,"[90, 92, 94, 96]",0
9.6,[],[],[],[],,0,0,0,0,98,0
9.7,['note_on'],[0],[76],[64],mp,0,1,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,100,0
9.9,['note_on'],[0],[67],[60],p,0,1,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,['note_on'],[0],[72],[67],mp,0,1,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,['note_on'],[0],[76],[66],mp,0,1,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,"[98, 92, 82, 65, 44]",0
10.5,['note_on'],[0],[60],[60],p,0,1,0,0,"[2, 0]",0
10.6,['note_on'],[0],[64],[45],pp,0,1,0,0,0,0
10.7,[],[],[],[],,0,0,0,0,"[10, 28, 40, 50, 58, 64, 66]",0
10.8,['note_on'],[0],[67],[57],p,0,1,0,0,"[72, 76, 78, 80, 82, 84, 86, 88, 90]",0
10.9,[],[],[],[],,0,0,0,0,"[92, 94, 96]",0
11.0,['note_on'],[0],[72],[62],mp,0,1,0,0,98,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,['note_on'],[0],[76],[57],p,0,1,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,['note_on'],[0],[67],[57],p,0,1,0,0,100,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,['note_on'],[0],[72],[67],mp,0,1,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,['note_on'],[0],[76],[67],mp,0,1,0,0,0,0
11.9,['note_on'],[0],[60],[66],mp,0,1,0,0,"[96, 92]",0
12.0,[],[],[],[],,0,0,0,0,"[86, 74, 60, 40, 0]",0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,['note_on'],[0],[64],[66],mp,0,1,0,0,0,0
12.3,['note_on'],[0],[69],[66],mp,0,1,0,0,"[10, 38, 48, 60, 66]",0
12.4,[],[],[],[],,0,0,0,0,"[72, 78, 84, 90, 94, 98, 100, 104, 106, 108]",0
12.5,['note_on'],[0],[76],[79],mf,1,1,0,0,110,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,['note_on'],[0],[81],[79],mf,1,1,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,['note_on'],[0],[69],[69],mp,0,1,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,['note_on'],[0],[76],[77],mf,1,1,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,['note_on'],[0],[81],[77],mf,1,1,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,"[106, 96, 80]",0
13.5,['note_on'],[0],[60],[60],p,0,1,0,0,"[62, 38, 12, 0]",0
13.6,['note_on'],[0],[64],[67],mp,0,1,0,0,0,0
13.7,[],[],[],[],,0,0,0,0,"[6, 18, 30]",0
13.8,['note_on'],[0],[69],[77],mf,1,1,0,0,"[34, 44, 50, 58, 64, 68, 74, 78, 82, 86]",0
13.9,[],[],[],[],,0,0,0,0,"[90, 92, 94, 96, 98, 100]",0
14.0,['note_on'],[0],[76],[72],mp,0,1,0,0,102,0
14.1,[],[],[],[],,0,0,0,0,0,0
14.2,['note_on'],[0],[81],[75],mf,0,1,0,0,0,0
14.3,[],[],[],[],,0,0,0,0,0,0
14.4,['note_on'],[0],[69],[51],p,0,1,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,0,0
14.6,['note_on'],[0],[76],[64],mp,0,1,0,0,0,0
14.7,[],[],[],[],,0,0,0,0,0,0
14.8,['note_on'],[0],[81],[59],p,0,1,0,0,0,0
14.9,[],[],[],[],,0,0,0,0,0,0
15.0,['note_on'],[0],[60],[58],p,0,1,0,0,"[100, 96, 92, 82]",0
15.1,[],[],[],[],,0,0,0,0,"[72, 60, 40, 1, 0]",0
15.2,['note_on'],[0],[62],[54],p,0,1,0,0,0,0
15.3,[],[],[],[],,0,0,0,0,0,0
15.4,['note_on'],[0],[66],[45],pp,0,1,0,0,0,0
15.5,[],[],[],[],,0,0,0,0,"[4, 14, 22, 30, 40, 48, 56, 64, 70]",0
15.6,['note_on'],[0],[69],[55],p,0,1,0,0,"[76, 80, 84, 88, 90, 92, 94]",0
15.7,['note_on'],[0],[74],[62],mp,0,1,0,0,96,0
15.8,[],[],[],[],,0,0,0,0,0,0
15.9,['note_on'],[0],[66],[54],p,0,1,0,0,98,0
16.0,[],[],[],[],,0,0,0,0,0,0
16.1,['note_on'],[0],[69],[62],mp,0,1,0,0,0,0
16.2,[],[],[],[],,0,0,0,0,0,0
16.3,['note_on'],[0],[74],[50],p,0,1,0,0,0,0
16.4,[],[],[],[],,0,0,0,0,"[96, 92, 84, 72, 58, 32]",0
16.5,['note_on'],[0],[60],[58],p,0,1,0,0,"[4, 0]",0
16.6,['note_on'],[0],[62],[50],p,0,1,0,0,0,0
16.7,[],[],[],[],,0,0,0,0,"[6, 18, 28, 32, 40, 44, 48, 50, 54, 56]",0
16.8,['note_on'],[0],[66],[51],p,0,1,0,0,"[60, 62, 64, 65, 66]",0
16.9,[],[],[],[],,0,0,0,0,68,0
17.0,['note_on'],[0],[69],[64],mp,0,1,0,0,0,0
17.1,[],[],[],[],,0,0,0,0,0,0
17.2,['note_on'],[0],[74],[66],mp,0,1,0,0,0,0
17.3,[],[],[],[],,0,0,0,0,0,0
17.4,['note_on'],[0],[66],[57],p,0,1,0,0,70,0
17.5,[],[],[],[],,0,0,0,0,0,0
17.6,['note_on'],[0],[69],[62],mp,0,1,0,0,0,0
17.7,[],[],[],[],,0,0,0,0,0,0
17.8,['note_on'],[0],[74],[69],mp,0,1,0,0,0,0
17.9,[],[],[],[],,0,0,0,0,"[65, 58, 46, 32]",0
18.0,['note_on'],[0],[59],[51],p,0,1,0,0,"[12, 0]",0
18.1,[],[],[],[],,0,0,0,0,0,0
18.2,['note_on'],[0],[62],[64],mp,0,1,0,0,0,0
18.3,['note_on'],[0],[67],[75],mf,0,1,0,0,"[1, 6, 16, 22, 30, 38, 46, 54]",0
18.4,[],[],[],[],,0,0,0,0,"[62, 68, 72, 78, 80, 82, 84, 86]",0
18.5,['note_on'],[0],[74],[69],mp,0,1,0,0,0,0
18.6,[],[],[],[],,0,0,0,0,0,0
18.7,['note_on'],[0],[79],[77],mf,1,1,0,0,0,0
18.8,[],[],[],[],,0,0,0,0,0,0
18.9,['note_on'],[0],[67],[66],mp,0,1,0,0,0,0
19.0,[],[],[],[],,0,0,0,0,0,0
19.1,['note_on'],[0],[74],[74],mp,0,1,0,0,0,0
19.2,[],[],[],[],,0,0,0,0,0,0
19.3,['note_on'],[0],[79],[66],mp,0,1,0,0,0,0
19.4,['note_on'],[0],[59],[66],mp,0,1,0,0,"[80, 74, 62]",0
19.5,[],[],[],[],,0,0,0,0,"[46, 2, 0]",0
19.6,['note_on'],[0],[62],[51],p,0,1,0,0,0,0
19.7,[],[],[],[],,0,0,0,0,0,0
19.8,['note_on'],[0],[67],[62],mp,0,1,0,0,"[1, 8, 18, 28, 32, 42, 46, 52, 56]",0
19.9,[],[],[],[],,0,0,0,0,"[60, 64, 65, 66, 68, 70, 74, 76]",0
20.0,['note_on'],[0],[74],[60],p,0,1,0,0,"[78, 80, 82]",0
20.1,[],[],[],[],,0,0,0,0,84,0
20.2,['note_on'],[0],[79],[74],mp,0,1,0,0,"[86, 88]",0
20.3,[],[],[],[],,0,0,0,0,0,0
