sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[70],[66],mp,0,1,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,"[12, 78, 98, 118]",0
3.2,[],[],[],[],,0,0,0,0,127,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on']","[0, 0]","[79, 39]","[77, 55]",mp,0,2,0,0,"[114, 96, 78, 56, 32, 0]",0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,"[92, 127]",0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[63],[56],p,0,1,0,0,0,0
4.2,['note_on'],[0],[55],[48],pp,0,1,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,['note_on'],[0],[67],[52],p,0,1,0,0,0,0
4.8,['note_on'],[0],[58],[51],p,0,1,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,['note_on'],[0],[51],[50],p,0,1,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[77, 56, 62]","[64, 46, 47]",p,0,3,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on']","[0, 0]","[79, 68]","[74, 44]",p,0,2,0,0,0,0
6.6,['note_on'],[0],[59],[46],pp,0,1,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,"['note_on', 'note_on']","[0, 0]","[77, 39]","[68, 57]",mp,0,2,0,0,"[114, 58, 0]",0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,26,0
7.4,[],[],[],[],,0,0,0,0,127,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,"['note_on', 'note_on']","[0, 0]","[63, 55]","[55, 54]",p,0,2,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on']","[0, 0]","[58, 67]","[54, 48]",p,0,2,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,"['note_on', 'note_on']","[0, 0]","[38, 75]","[54, 64]",p,0,2,0,0,"[126, 98]",0
9.0,[],[],[],[],,0,0,0,0,"[4, 0]",0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,"[1, 127]",0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on']","[0, 0]","[63, 55]","[57, 57]",p,0,2,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,['note_on'],[0],[70],[66],mp,0,1,0,0,0,0
10.2,"['note_on', 'note_on']","[0, 0]","[58, 67]","[53, 45]",p,0,2,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,0,0
10.7,"['note_on', 'note_on']","[0, 0]","[36, 79]","[57, 77]",mp,0,2,0,0,120,0
10.8,[],[],[],[],,0,0,0,0,"[56, 0]",0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,"[124, 127]",0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,['note_on'],[0],[55],[49],p,0,1,0,0,0,0
11.4,['note_on'],[0],[64],[47],pp,0,1,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[58, 67, 72, 64]","[49, 52, 55, 47]",p,0,4,0,0,0,0
12.0,[],[],[],[],,0,0,0,0,0,0
12.1,['note_on'],[0],[73],[60],p,0,1,0,0,0,0
12.2,['note_on'],[0],[72],[69],mp,0,1,0,0,0,0
12.3,['note_on'],[0],[71],[71],mp,0,1,0,0,0,0
12.4,['note_on'],[0],[72],[80],mf,1,1,0,0,0,0
12.5,['note_on'],[0],[48],[57],p,0,1,0,0,126,0
12.6,"['note_on', 'note_on']","[0, 0]","[84, 83]","[80, 48]",mp,0,2,0,0,"[104, 80, 20, 0]",0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,"[8, 127]",0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,"['note_on', 'note_on']","[0, 0]","[64, 55]","[57, 57]",p,0,2,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,0,0
13.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[79, 70, 60]","[78, 59, 52]",mp,0,3,0,0,0,0
13.8,[],[],[],[],,0,0,0,0,0,0
13.9,[],[],[],[],,0,0,0,0,0,0
14.0,[],[],[],[],,0,0,0,0,0,0
14.1,[],[],[],[],,0,0,0,0,0,0
14.2,[],[],[],[],,0,0,0,0,0,0
14.3,"['note_on', 'note_on']","[0, 0]","[41, 82]","[54, 82]",mp,0,2,0,0,"[116, 92, 36]",0
14.4,[],[],[],[],,0,0,0,0,"[4, 0]",0
14.5,[],[],[],[],,0,0,0,0,"[2, 36]",0
14.6,[],[],[],[],,0,0,0,0,127,0
14.7,[],[],[],[],,0,0,0,0,0,0
14.8,[],[],[],[],,0,0,0,0,0,0
14.9,"['note_on', 'note_on']","[0, 0]","[61, 53]","[52, 49]",p,0,2,0,0,0,0
15.0,[],[],[],[],,0,0,0,0,0,0
15.1,[],[],[],[],,0,0,0,0,0,0
15.2,[],[],[],[],,0,0,0,0,0,0
15.3,[],[],[],[],,0,0,0,0,0,0
15.4,[],[],[],[],,0,0,0,0,0,0
15.5,"['note_on', 'note_on']","[0, 0]","[61, 58]","[47, 50]",pp,0,2,0,0,0,0
15.6,['note_on'],[0],[64],[49],p,0,1,0,0,0,0
15.7,[],[],[],[],,0,0,0,0,0,0
15.8,[],[],[],[],,0,0,0,0,0,0
15.9,[],[],[],[],,0,0,0,0,0,0
16.0,[],[],[],[],,0,0,0,0,0,0
16.1,"['note_on', 'note_on']","[0, 0]","[80, 41]","[71, 50]",p,0,2,0,0,0,0
16.2,[],[],[],[],,0,0,0,0,"[112, 94, 24, 1, 0]",0
16.3,[],[],[],[],,0,0,0,0,0,0
16.4,[],[],[],[],,0,0,0,0,"[62, 94, 122, 127]",0
16.5,[],[],[],[],,0,0,0,0,0,0
16.6,[],[],[],[],,0,0,0,0,0,0
16.7,['note_on'],[0],[53],[49],p,0,1,0,0,0,0
16.8,['note_on'],[0],[60],[49],p,0,1,0,0,0,0
16.9,[],[],[],[],,0,0,0,0,0,0
17.0,[],[],[],[],,0,0,0,0,0,0
17.1,[],[],[],[],,0,0,0,0,0,0
17.2,[],[],[],[],,0,0,0,0,0,0
