sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,"[114, 112]",64
0.1,[],[],[],[],,0,0,0,0,"[108, 104, 98, 90, 80, 66, 54, 38, 24, 10, 0]",0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[59],[47],pp,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,"[4, 22, 42, 60, 78, 92, 110, 127]",0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[71],[59],p,0,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,"[116, 102]",0
2.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 64, 59, 55]","[67, 41, 37, 40]",pp,0,4,0,0,"[88, 72, 56, 38, 18, 1, 0]",0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,"[10, 36, 60, 76, 90, 96, 102, 106, 108, 110]",0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[37, 43, 37]",pp,0,3,0,0,"[112, 114, 120, 124, 127]",0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[38, 43, 38]",pp,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[38, 37, 41]",pp,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[39, 41, 40]",pp,0,3,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,"['note_on', 'note_on']","[0, 0]","[64, 55]","[43, 43]",pp,0,2,0,0,0,0
4.3,['note_on'],[0],[59],[45],pp,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 64, 59, 55]","[64, 38, 41, 41]",pp,0,4,0,0,"[112, 94, 72, 44, 0]",0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,"[56, 106, 126, 127]",0
4.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 55, 64]","[46, 45, 41]",pp,0,3,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,"['note_on', 'note_on']","[0, 0]","[71, 64]","[70, 39]",p,0,2,0,0,"[112, 90, 64, 0]",0
5.3,"['note_on', 'note_on']","[0, 0]","[54, 57]","[44, 36]",pp,0,2,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,"[22, 52]",0
5.5,[],[],[],[],,0,0,0,0,"[74, 92, 108, 122, 127]",0
5.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 54]","[49, 41, 39]",pp,0,3,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[48, 42, 43]",pp,0,3,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 64, 57]","[44, 43, 43]",pp,0,3,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 63, 57]","[45, 51, 38]",pp,0,3,0,0,"[122, 102, 80, 56, 32, 1, 0]",0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,"[50, 74, 98, 122, 127]",0
6.9,"['note_on', 'note_on']","[0, 0]","[63, 54]","[46, 44]",pp,0,2,0,0,0,0
7.0,['note_on'],[0],[57],[34],ppp,0,1,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,['note_on'],[0],[72],[68],mp,0,1,0,0,"[104, 78]",0
7.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 63, 57]","[40, 42, 35]",pp,0,3,0,0,"[50, 22, 0]",0
7.4,[],[],[],[],,0,0,0,0,"[48, 80, 108, 127]",0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on']","[0, 0]","[54, 63]","[45, 45]",pp,0,2,0,0,0,0
7.7,['note_on'],[0],[57],[34],ppp,0,1,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,"['note_on', 'note_on']","[0, 0]","[71, 63]","[74, 39]",p,0,2,0,0,"[110, 78, 2, 0]",0
8.0,"['note_on', 'note_on']","[0, 0]","[53, 57]","[36, 31]",ppp,0,2,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,"[88, 104]",0
8.2,[],[],[],[],,0,0,0,0,"[120, 127]",0
8.3,"['note_on', 'note_on']","[0, 0]","[63, 53]","[44, 38]",pp,0,2,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,"['note_on', 'note_on']","[0, 0]","[63, 53]","[47, 39]",pp,0,2,0,0,0,0
8.7,['note_on'],[0],[57],[36],pp,0,1,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,"['note_on', 'note_on']","[0, 0]","[63, 53]","[49, 36]",pp,0,2,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,"[122, 102, 84, 65, 46, 6, 0]",0
9.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[47, 43, 42]",pp,0,3,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,"[30, 56, 74, 94, 108, 122, 127]",0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 53]","[45, 49, 36]",pp,0,3,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,['note_on'],[0],[72],[68],mp,0,1,0,0,0,0
10.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 53]","[36, 41, 37]",pp,0,3,0,0,"[114, 98, 78, 56, 32, 1, 0]",0
10.1,[],[],[],[],,0,0,0,0,"[12, 66, 88]",0
10.2,[],[],[],[],,0,0,0,0,"[108, 127]",0
10.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 56]","[48, 45, 50]",pp,0,3,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 56, 62, 52]","[73, 36, 34, 40]",pp,0,4,0,0,"[120, 104, 92, 72, 52]",0
10.7,[],[],[],[],,0,0,0,0,"[30, 4, 0]",0
10.8,[],[],[],[],,0,0,0,0,0,0
10.9,['note_on'],[0],[62],[42],pp,0,1,0,0,"[32, 54, 70, 84, 94, 102, 108, 114, 118, 122]",0
11.0,"['note_on', 'note_on']","[0, 0]","[52, 56]","[43, 50]",pp,0,2,0,0,"[124, 126, 127]",0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[41, 37, 38]",pp,0,3,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 52]","[36, 47, 41]",pp,0,3,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 55]","[45, 42, 41]",pp,0,3,0,0,"[120, 104, 90, 70, 50, 1, 0]",0
12.0,[],[],[],[],,0,0,0,0,0,0
12.1,[],[],[],[],,0,0,0,0,"[1, 30, 54, 70, 86]",0
12.2,"['note_on', 'note_on']","[0, 0]","[52, 62]","[43, 54]",pp,0,2,0,0,"[98, 106, 114, 122, 124, 126, 127]",0
12.3,['note_on'],[0],[55],[48],pp,0,1,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[70, 61, 52, 55]","[57, 41, 34, 38]",pp,0,4,0,0,"[124, 118, 110, 100, 90, 78, 65, 52, 36, 16, 0]",0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,"[30, 70, 90, 104, 116, 126, 127]",0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 52, 55]","[38, 36, 39]",pp,0,3,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,['note_on'],[0],[69],[49],p,0,1,0,0,"[124, 118, 108, 96, 80, 64]",0
13.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 55, 60]","[35, 39, 36]",pp,0,3,0,0,"[42, 0]",0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,"[42, 66, 86, 100, 110, 120, 124, 126]",0
13.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 52, 55]","[37, 36, 39]",pp,0,3,0,0,127,0
13.8,[],[],[],[],,0,0,0,0,"[126, 124]",0
13.9,[],[],[],[],,0,0,0,0,"[122, 120]",0
14.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 60, 55]","[37, 37, 43]",pp,0,3,0,0,0,0
14.1,[],[],[],[],,0,0,0,0,0,0
14.2,[],[],[],[],,0,0,0,0,0,0
14.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 55, 60]","[40, 39, 37]",pp,0,3,0,0,0,0
14.4,[],[],[],[],,0,0,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,"[118, 116, 114, 112]",0
14.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 52, 60]","[42, 45, 36]",pp,0,3,0,0,"[108, 104, 100, 92, 80, 68, 54, 36, 18, 2, 0]",0
14.7,[],[],[],[],,0,0,0,0,0,0
14.8,[],[],[],[],,0,0,0,0,"[22, 42, 62, 78, 90, 98, 106, 110, 116]",0
14.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 52, 60]","[47, 36, 37]",pp,0,3,0,0,"[118, 120, 122, 124]",0
15.0,[],[],[],[],,0,0,0,0,0,0
15.1,[],[],[],[],,0,0,0,0,0,0
15.2,['note_on'],[0],[71],[56],p,0,1,0,0,0,0
15.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 52, 60]","[39, 40, 35]",pp,0,3,0,0,122,0
15.4,[],[],[],[],,0,0,0,0,120,0
15.5,[],[],[],[],,0,0,0,0,0,0
15.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 52, 60]","[37, 36, 33]",ppp,0,3,0,0,0,0
15.7,[],[],[],[],,0,0,0,0,0,0
15.8,[],[],[],[],,0,0,0,0,116,0
15.9,['note_on'],[0],[69],[47],pp,0,1,0,0,"[114, 112, 108, 104, 98, 92, 80, 66, 52, 12, 0]",0
16.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 54, 60]","[36, 36, 34]",ppp,0,3,0,0,0,0
16.1,[],[],[],[],,0,0,0,0,"[42, 62, 78]",0
16.2,['note_on'],[0],[60],[36],pp,0,1,0,0,"[90, 98, 104, 108, 110, 112, 114, 116, 118, 120, 122, 124]",0
16.3,"['note_on', 'note_on']","[0, 0]","[54, 52]","[41, 36]",pp,0,2,0,0,127,0
16.4,[],[],[],[],,0,0,0,0,0,0
16.5,[],[],[],[],,0,0,0,0,0,0
16.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 54, 52]","[36, 41, 39]",pp,0,3,0,0,0,0
16.7,[],[],[],[],,0,0,0,0,0,0
16.8,[],[],[],[],,0,0,0,0,0,0
16.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 54, 52]","[37, 41, 39]",pp,0,3,0,0,0,0
17.0,[],[],[],[],,0,0,0,0,0,0
17.1,[],[],[],[],,0,0,0,0,0,0
17.2,[],[],[],[],,0,0,0,0,"[124, 118, 112, 106, 98, 90, 78, 66, 58, 46, 34, 20, 6]",0
17.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 51, 54]","[38, 44, 41]",pp,0,3,0,0,0,0
17.4,[],[],[],[],,0,0,0,0,0,0
17.5,[],[],[],[],,0,0,0,0,"[36, 58, 76, 90, 96, 100, 104, 108, 110, 112, 114, 118, 122]",0
17.6,"['note_on', 'note_on']","[0, 0]","[60, 54]","[41, 37]",pp,0,2,0,0,"[126, 127]",0
17.7,['note_on'],[0],[51],[37],pp,0,1,0,0,0,0
17.8,[],[],[],[],,0,0,0,0,0,0
17.9,[],[],[],[],,0,0,0,0,0,0
18.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 54, 51, 60]","[52, 35, 36, 32]",pp,0,4,0,0,"[124, 120, 114, 110, 108]",0
18.1,[],[],[],[],,0,0,0,0,0,0
18.2,[],[],[],[],,0,0,0,0,0,0
18.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 51, 54]","[37, 39, 41]",pp,0,3,0,0,110,0
18.4,[],[],[],[],,0,0,0,0,"[112, 114]",0
18.5,[],[],[],[],,0,0,0,0,"[116, 114]",0
18.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 50, 54, 60]","[49, 39, 38, 35]",pp,0,4,0,0,"[110, 108, 102, 96, 88, 76, 62, 42, 22, 1, 0]",0
18.7,[],[],[],[],,0,0,0,0,0,0
18.8,[],[],[],[],,0,0,0,0,"[34, 60, 80, 96]",0
18.9,['note_on'],[0],[60],[38],pp,0,1,0,0,"[106, 116, 122, 127]",0
19.0,"['note_on', 'note_on']","[0, 0]","[54, 50]","[41, 39]",pp,0,2,0,0,0,0
19.1,[],[],[],[],,0,0,0,0,0,0
19.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 54, 50]","[36, 42, 39]",pp,0,3,0,0,0,0
19.3,[],[],[],[],,0,0,0,0,0,0
19.4,[],[],[],[],,0,0,0,0,0,0
19.5,[],[],[],[],,0,0,0,0,0,0
19.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 54, 50]","[41, 45, 37]",pp,0,3,0,0,0,0
19.7,[],[],[],[],,0,0,0,0,0,0
19.8,[],[],[],[],,0,0,0,0,0,0
19.9,['note_on'],[0],[60],[38],pp,0,1,0,0,0,0
20.0,"['note_on', 'note_on']","[0, 0]","[54, 50]","[41, 39]",pp,0,2,0,0,0,0
20.1,[],[],[],[],,0,0,0,0,0,0
20.2,"['note_on', 'note_on']","[0, 0]","[60, 54]","[39, 43]",pp,0,2,0,0,0,0
20.3,['note_on'],[0],[50],[40],pp,0,1,0,0,0,0
20.4,[],[],[],[],,0,0,0,0,0,0
20.5,[],[],[],[],,0,0,0,0,0,0
20.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 60, 54, 50]","[56, 36, 39, 37]",pp,0,4,0,0,0,0
20.7,[],[],[],[],,0,0,0,0,0,0
20.8,[],[],[],[],,0,0,0,0,0,0
20.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 54, 50]","[39, 42, 37]",pp,0,3,0,0,0,0
21.0,[],[],[],[],,0,0,0,0,0,0
21.1,['note_on'],[0],[69],[68],mp,0,1,0,0,0,0
21.2,[],[],[],[],,0,0,0,0,0,0
21.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 60, 53, 50]","[56, 37, 42, 43]",pp,0,4,0,0,"[126, 124, 118, 110, 98, 84, 65, 44, 0]",0
21.4,[],[],[],[],,0,0,0,0,0,0
21.5,[],[],[],[],,0,0,0,0,"[1, 30, 54, 72, 88, 98, 104]",0
21.6,['note_on'],[0],[60],[48],pp,0,1,0,0,"[110, 114, 118, 120, 124, 126, 127]",0
21.7,"['note_on', 'note_on']","[0, 0]","[53, 50]","[37, 31]",ppp,0,2,0,0,0,0
21.8,[],[],[],[],,0,0,0,0,0,0
21.9,[],[],[],[],,0,0,0,0,0,0
22.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 50, 53]","[52, 45, 43]",pp,0,3,0,0,0,0
22.1,[],[],[],[],,0,0,0,0,0,0
22.2,[],[],[],[],,0,0,0,0,0,0
22.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 50, 53]","[50, 45, 43]",pp,0,3,0,0,0,0
22.4,[],[],[],[],,0,0,0,0,0,0
22.5,[],[],[],[],,0,0,0,0,0,0
22.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 50, 53]","[50, 46, 47]",pp,0,3,0,0,"[126, 120, 110, 102, 90, 76, 62, 44]",0
22.7,[],[],[],[],,0,0,0,0,"[30, 10, 0]",0
22.8,[],[],[],[],,0,0,0,0,"[42, 90]",0
22.9,[],[],[],[],,0,0,0,0,"[108, 122, 127]",0
23.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[50, 59, 53]","[46, 54, 52]",p,0,3,0,0,0,0
23.1,[],[],[],[],,0,0,0,0,0,0
23.2,[],[],[],[],,0,0,0,0,0,0
23.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[68, 50, 59]","[74, 47, 39]",p,0,3,0,0,0,0
23.4,['note_on'],[0],[53],[45],pp,0,1,0,0,0,0
23.5,[],[],[],[],,0,0,0,0,0,0
23.6,"['note_on', 'note_on']","[0, 0]","[50, 59]","[51, 58]",p,0,2,0,0,0,0
23.7,['note_on'],[0],[53],[49],p,0,1,0,0,0,0
23.8,[],[],[],[],,0,0,0,0,0,0
23.9,[],[],[],[],,0,0,0,0,0,0
24.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 59, 48]","[59, 56, 54]",p,0,3,0,0,"[122, 108, 90, 48, 4, 0]",0
24.1,[],[],[],[],,0,0,0,0,0,0
24.2,[],[],[],[],,0,0,0,0,"[42, 70, 92, 110, 126, 127]",0
24.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[48, 59, 52]","[48, 64, 61]",p,0,3,0,0,0,0
24.4,[],[],[],[],,0,0,0,0,0,0
