sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on']","[0, 0]","[60, 64]","[59, 64]",p,0,2,100,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,['note_on'],[0],[67],[53],p,0,1,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,['note_on'],[0],[72],[50],p,0,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,['note_on'],[0],[76],[66],mp,0,1,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[67],[66],mp,0,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,['note_on'],[0],[72],[62],mp,0,1,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,['note_on'],[0],[76],[68],mp,0,1,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[60],[76],mf,1,1,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,"[114, 98, 84, 68, 58, 48, 42]",0
1.7,['note_on'],[0],[64],[73],mp,0,1,0,0,"[40, 42, 44, 50, 62, 66, 80, 90, 100, 112]",0
1.8,[],[],[],[],,0,0,0,0,"[120, 127]",0
1.9,['note_on'],[0],[67],[70],mp,0,1,0,0,0,0
2.0,['note_on'],[0],[72],[70],mp,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[76],[71],mp,0,1,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[67],[64],mp,0,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[72],[70],mp,0,1,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,['note_on'],[0],[76],[78],mf,1,1,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,['note_on'],[0],[60],[73],mp,0,1,0,0,"[112, 90, 68, 50, 32, 20, 10]",0
3.1,[],[],[],[],,0,0,0,0,"[0, 26]",0
3.2,['note_on'],[0],[62],[66],mp,0,1,0,0,"[56, 65, 76, 86, 94, 102, 108, 114, 118]",0
3.3,['note_on'],[0],[69],[78],mf,1,1,0,0,"[122, 124, 126, 127]",0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,['note_on'],[0],[71],[90],f,1,1,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,['note_on'],[0],[77],[86],mf,1,1,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,['note_on'],[0],[69],[86],mf,1,1,0,0,"[126, 124]",0
4.0,[],[],[],[],,0,0,0,0,"[122, 120, 118]",0
4.1,['note_on'],[0],[74],[86],mf,1,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[77],[90],f,1,1,0,0,"[120, 122, 124, 126, 127]",0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,['note_on'],[0],[60],[80],mf,1,1,0,0,"[118, 98, 78, 58, 34, 16, 0]",0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,['note_on'],[0],[62],[76],mf,1,1,0,0,"[14, 46, 62, 70, 80, 88, 92]",0
4.8,['note_on'],[0],[69],[82],mf,1,1,0,0,"[98, 100, 102, 104, 106]",0
4.9,[],[],[],[],,0,0,0,0,"[108, 110, 112]",0
5.0,['note_on'],[0],[74],[86],mf,1,1,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,"[114, 116]",0
5.2,['note_on'],[0],[77],[82],mf,1,1,0,0,118,0
5.3,[],[],[],[],,0,0,0,0,"[120, 122]",0
5.4,['note_on'],[0],[69],[68],mp,0,1,0,0,124,0
5.5,['note_on'],[0],[71],[96],f,1,1,0,0,126,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,['note_on'],[0],[74],[80],mf,1,1,0,0,127,0
5.8,['note_on'],[0],[77],[88],f,1,1,0,0,0,0
5.9,['note_on'],[0],[59],[78],mf,1,1,0,0,"[122, 110, 96]",0
6.0,[],[],[],[],,0,0,0,0,"[80, 64, 48, 34, 16, 4, 0]",0
6.1,['note_on'],[0],[62],[73],mp,0,1,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,"[16, 36, 50, 64, 72, 80, 86]",0
6.3,['note_on'],[0],[67],[82],mf,1,1,0,0,"[90, 92, 94, 96]",0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on']","[0, 0]","[71, 74]","[86, 70]",mf,1,2,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,"['note_on', 'note_on']","[0, 0]","[67, 77]","[80, 62]",mp,0,2,0,0,94,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,['note_on'],[0],[71],[82],mf,1,1,0,0,0,0
7.0,['note_on'],[0],[67],[38],pp,0,1,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,['note_on'],[0],[77],[83],mf,1,1,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,96,0
7.4,['note_on'],[0],[59],[58],p,0,1,0,0,"[98, 94, 86, 70]",0
7.5,[],[],[],[],,0,0,0,0,"[50, 30, 0]",0
7.6,['note_on'],[0],[62],[68],mp,0,1,0,0,0,0
7.7,['note_on'],[0],[77],[64],mp,0,1,0,0,"[26, 38, 46, 58, 60, 58]",0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,['note_on'],[0],[67],[86],mf,1,1,0,0,60,0
8.0,['note_on'],[0],[74],[83],mf,1,1,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,['note_on'],[0],[77],[83],mf,1,1,0,0,"[58, 56]",0
8.3,[],[],[],[],,0,0,0,0,54,0
8.4,['note_on'],[0],[67],[83],mf,1,1,0,0,0,0
8.5,['note_on'],[0],[77],[83],mf,1,1,0,0,56,0
8.6,[],[],[],[],,0,0,0,0,"[58, 60]",0
8.7,['note_on'],[0],[67],[66],mp,0,1,0,0,"[62, 64, 65, 66, 68, 70]",0
8.8,[],[],[],[],,0,0,0,0,"[72, 74, 76]",0
8.9,['note_on'],[0],[60],[71],mp,0,1,0,0,"[72, 64, 54, 16, 2]",0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,['note_on'],[0],[64],[73],mp,0,1,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,"[2, 56, 64, 70, 74, 78]",0
9.3,['note_on'],[0],[67],[76],mf,1,1,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,['note_on'],[0],[72],[73],mp,0,1,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,['note_on'],[0],[76],[78],mf,1,1,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,['note_on'],[0],[67],[68],mp,0,1,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,['note_on'],[0],[69],[82],mf,1,1,0,0,0,0
10.2,['note_on'],[0],[72],[83],mf,1,1,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,"[80, 82, 84, 86, 88]",0
10.4,['note_on'],[0],[60],[66],mp,0,1,0,0,"[90, 92, 94, 98, 100, 104, 108]",0
10.5,[],[],[],[],,0,0,0,0,"[104, 94, 52, 1, 0]",0
10.6,['note_on'],[0],[64],[78],mf,1,1,0,0,0,0
10.7,[],[],[],[],,0,0,0,0,"[16, 34, 44, 54, 60, 62, 64, 65]",0
10.8,['note_on'],[0],[67],[71],mp,0,1,0,0,"[66, 68, 70, 74]",0
10.9,[],[],[],[],,0,0,0,0,"[76, 78, 80]",0
11.0,['note_on'],[0],[69],[83],mf,1,1,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,['note_on'],[0],[72],[78],mf,1,1,0,0,"[82, 84]",0
11.3,[],[],[],[],,0,0,0,0,86,0
11.4,['note_on'],[0],[67],[78],mf,1,1,0,0,88,0
11.5,[],[],[],[],,0,0,0,0,"[90, 92]",0
11.6,['note_on'],[0],[69],[82],mf,1,1,0,0,94,0
11.7,[],[],[],[],,0,0,0,0,96,0
11.8,['note_on'],[0],[72],[80],mf,1,1,0,0,"[98, 100]",0
11.9,['note_on'],[0],[60],[88],f,1,1,0,0,"[102, 100, 94, 82, 65, 48]",0
12.0,[],[],[],[],,0,0,0,0,"[2, 0]",0
12.1,['note_on'],[0],[62],[78],mf,1,1,0,0,"[6, 20, 32]",0
12.2,[],[],[],[],,0,0,0,0,"[46, 60, 64, 65, 66, 65]",0
12.3,['note_on'],[0],[67],[100],f,1,1,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,['note_on'],[0],[72],[80],mf,1,1,0,0,0,0
12.6,['note_on'],[0],[79],[100],f,1,1,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,['note_on'],[0],[69],[86],mf,1,1,0,0,66,0
12.9,[],[],[],[],,0,0,0,0,68,0
13.0,"['note_on', 'note_on']","[0, 0]","[72, 74]","[71, 64]",mp,0,2,0,0,"[70, 72, 74]",0
13.1,[],[],[],[],,0,0,0,0,"[76, 78, 80, 82, 84, 86, 88, 92]",0
13.2,[],[],[],[],,0,0,0,0,"[94, 96, 98, 100, 102, 104]",0
13.3,"['note_on', 'note_on']","[0, 0]","[76, 77]","[76, 71]",mp,0,2,0,0,"[106, 108, 110, 112]",0
13.4,['note_on'],[0],[60],[82],mf,1,1,0,0,"[114, 116, 114, 110, 102, 88, 66]",0
13.5,[],[],[],[],,0,0,0,0,"[48, 2, 0]",0
13.6,['note_on'],[0],[64],[80],mf,1,1,0,0,0,0
13.7,[],[],[],[],,0,0,0,0,"[24, 38, 50, 62, 64, 68, 70]",0
13.8,['note_on'],[0],[69],[92],f,1,1,0,0,"[68, 66]",0
13.9,[],[],[],[],,0,0,0,0,"[65, 64]",0
14.0,['note_on'],[0],[72],[92],f,1,1,0,0,"[62, 60, 58]",0
14.1,[],[],[],[],,0,0,0,0,"[56, 54]",0
14.2,"['note_on', 'note_on']","[0, 0]","[81, 79]","[88, 76]",mf,1,2,0,0,0,0
14.3,[],[],[],[],,0,0,0,0,0,0
14.4,['note_on'],[0],[71],[83],mf,1,1,0,0,0,0
14.5,['note_on'],[0],[74],[93],f,1,1,0,0,56,0
14.6,[],[],[],[],,0,0,0,0,"[58, 60, 62, 64, 65, 66, 68]",0
14.7,['note_on'],[0],[79],[78],mf,1,1,0,0,"[70, 74, 76, 78, 80, 82, 84]",0
14.8,[],[],[],[],,0,0,0,0,"[86, 88, 90, 92]",0
14.9,['note_on'],[0],[60],[82],mf,1,1,0,0,"[94, 92, 86, 74, 62, 46]",0
15.0,[],[],[],[],,0,0,0,0,"[24, 10, 0]",0
15.1,['note_on'],[0],[62],[66],mp,0,1,0,0,0,0
15.2,[],[],[],[],,0,0,0,0,"[36, 52]",0
15.3,['note_on'],[0],[66],[81],mf,1,1,0,0,"[62, 68, 72, 74]",0
15.4,[],[],[],[],,0,0,0,0,"[72, 70]",0
15.5,['note_on'],[0],[69],[68],mp,0,1,0,0,68,0
15.6,[],[],[],[],,0,0,0,0,66,0
15.7,['note_on'],[0],[74],[78],mf,1,1,0,0,0,0
15.8,[],[],[],[],,0,0,0,0,0,0
15.9,['note_on'],[0],[64],[60],p,0,1,0,0,65,0
16.0,['note_on'],[0],[66],[73],mp,0,1,0,0,0,0
16.1,[],[],[],[],,0,0,0,0,66,0
16.2,['note_on'],[0],[69],[76],mf,1,1,0,0,"[68, 70, 72, 74]",0
16.3,[],[],[],[],,0,0,0,0,"[76, 78, 80, 82, 86, 88]",0
16.4,['note_on'],[0],[60],[73],mp,0,1,0,0,"[90, 86, 78, 66, 52, 36, 12, 0]",0
16.5,[],[],[],[],,0,0,0,0,0,0
16.6,['note_on'],[0],[62],[78],mf,1,1,0,0,"[1, 14, 34, 46, 62, 64]",0
16.7,[],[],[],[],,0,0,0,0,"[68, 70]",0
16.8,['note_on'],[0],[66],[89],f,1,1,0,0,0,0
16.9,[],[],[],[],,0,0,0,0,0,0
17.0,['note_on'],[0],[69],[78],mf,1,1,0,0,"[68, 66, 65, 64]",0
17.1,[],[],[],[],,0,0,0,0,"[62, 58, 56, 52, 50, 48, 46]",0
17.2,['note_on'],[0],[74],[90],f,1,1,0,0,0,0
17.3,[],[],[],[],,0,0,0,0,0,0
17.4,['note_on'],[0],[66],[84],mf,1,1,0,0,0,0
17.5,['note_on'],[0],[69],[83],mf,1,1,0,0,0,0
17.6,[],[],[],[],,0,0,0,0,48,0
17.7,['note_on'],[0],[71],[82],mf,1,1,0,0,"[50, 52, 54, 56, 60]",0
17.8,[],[],[],[],,0,0,0,0,"[62, 64]",0
17.9,['note_on'],[0],[59],[86],mf,1,1,0,0,"[62, 58, 50, 24, 0]",0
18.0,[],[],[],[],,0,0,0,0,0,0
18.1,['note_on'],[0],[62],[82],mf,1,1,0,0,0,0
18.2,[],[],[],[],,0,0,0,0,"[8, 32, 54, 65, 74, 78]",0
18.3,['note_on'],[0],[65],[100],f,1,1,0,0,0,0
18.4,[],[],[],[],,0,0,0,0,"[76, 74, 72, 70]",0
18.5,['note_on'],[0],[69],[98],f,1,1,0,0,"[68, 65, 64, 62, 60, 58]",0
18.6,[],[],[],[],,0,0,0,0,"[56, 54, 50, 48, 46, 44, 42, 40]",0
18.7,['note_on'],[0],[76],[90],f,1,1,0,0,"[36, 32, 28, 22, 16, 12]",0
18.8,['note_on'],[0],[67],[66],mp,0,1,0,0,"[10, 8, 6, 2, 1, 0]",0
18.9,[],[],[],[],,0,0,0,0,"[1, 4, 8, 14, 24]",0
19.0,['note_on'],[0],[71],[86],mf,1,1,0,0,"[44, 50, 52, 54]",0
19.1,[],[],[],[],,0,0,0,0,"[56, 58, 60, 62]",0
19.2,['note_on'],[0],[77],[88],f,1,1,0,0,64,0
19.3,[],[],[],[],,0,0,0,0,"[65, 66]",0
19.4,['note_on'],[0],[59],[78],mf,1,1,0,0,"[68, 66, 65, 58, 46, 26, 6, 0]",0
19.5,[],[],[],[],,0,0,0,0,0,0
19.6,['note_on'],[0],[62],[76],mf,1,1,0,0,2,0
19.7,[],[],[],[],,0,0,0,0,"[14, 22, 28, 26]",0
19.8,['note_on'],[0],[65],[83],mf,1,1,0,0,28,0
19.9,[],[],[],[],,0,0,0,0,"[26, 28]",0
20.0,['note_on'],[0],[67],[83],mf,1,1,0,0,30,0
20.1,['note_on'],[0],[74],[83],mf,1,1,0,0,"[28, 22, 14, 2, 0]",0
20.2,[],[],[],[],,0,0,0,0,2,0
20.3,['note_on'],[0],[67],[83],mf,1,1,0,0,"[8, 10, 12, 14, 16, 18, 20]",0
