sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[59],[46],pp,0,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[71],[59],p,0,1,0,0,0,0
2.6,['note_on'],[0],[71],[50],p,0,1,0,0,"[116, 100, 86]",0
2.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 59, 64]","[43, 42, 35]",pp,0,3,0,0,"[72, 62, 50, 34, 24, 10, 2, 0, 2, 12, 28, 40, 54]",0
2.8,[],[],[],[],,0,0,0,0,"[64, 74, 86, 96, 106, 120, 127]",0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 55, 64]","[39, 43, 35]",pp,0,3,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[36, 37, 37]",pp,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 59, 64]","[37, 38, 37]",pp,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[37, 36, 34]",ppp,0,3,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 59, 64]","[36, 35, 35]",ppp,0,3,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,['note_on'],[0],[72],[50],p,0,1,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[37, 37, 36]",pp,0,3,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[45, 46, 39]",pp,0,3,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,"[122, 104, 88, 70, 50]",0
5.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[54, 71, 64, 57]","[46, 55, 35, 41]",pp,0,4,0,0,"[4, 0]",0
5.4,[],[],[],[],,0,0,0,0,"[14, 32, 50, 68, 84, 100, 114, 127]",0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 64, 57]","[35, 38, 45]",pp,0,3,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on']","[0, 0]","[54, 64]","[34, 36]",ppp,0,2,0,0,0,0
6.0,['note_on'],[0],[57],[35],ppp,0,1,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 64, 57]","[37, 35, 40]",pp,0,3,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,"['note_on', 'note_on']","[0, 0]","[54, 63]","[38, 44]",pp,0,2,0,0,"[110, 94, 80, 68, 60, 56, 52, 48, 50, 54, 58]",0
6.7,[],[],[],[],,0,0,0,0,"[62, 70, 80, 92, 102, 114, 126, 127]",0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,"['note_on', 'note_on']","[0, 0]","[63, 54]","[37, 35]",pp,0,2,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 72, 54]","[33, 49, 37]",pp,0,3,0,0,0,0
7.3,['note_on'],[0],[57],[31],ppp,0,1,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on']","[0, 0]","[63, 54]","[45, 45]",pp,0,2,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[71, 63, 53]","[57, 35, 39]",pp,0,3,0,0,"[126, 104, 86, 66, 48, 30]",0
8.0,['note_on'],[0],[57],[36],pp,0,1,0,0,"[12, 0]",0
8.1,[],[],[],[],,0,0,0,0,"[26, 38, 56, 72, 84, 96, 106, 120, 127]",0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 57, 53]","[46, 37, 32]",pp,0,3,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[45, 35, 36]",pp,0,3,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,['note_on'],[0],[63],[47],pp,0,1,0,0,0,0
9.0,"['note_on', 'note_on']","[0, 0]","[57, 53]","[36, 34]",ppp,0,2,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[39, 40, 36]",pp,0,3,0,0,"[108, 88, 70, 56, 42, 36, 32, 36, 42, 50, 60, 70]",0
9.4,[],[],[],[],,0,0,0,0,"[82, 94, 104, 116, 126, 127]",0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 53]","[37, 37, 37]",pp,0,3,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[56, 72, 53, 62]","[48, 59, 38, 41]",pp,0,4,0,0,"[122, 112, 104, 98]",0
10.0,[],[],[],[],,0,0,0,0,"[96, 92, 90, 92, 94, 96, 100, 104, 110, 118]",0
10.1,[],[],[],[],,0,0,0,0,"[124, 127]",0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 53]","[43, 37, 42]",pp,0,3,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 52, 56, 62]","[62, 42, 40, 37]",pp,0,4,0,0,"[118, 94, 70, 48, 26, 8, 0]",0
10.7,[],[],[],[],,0,0,0,0,"[2, 14, 24, 40, 56, 72]",0
10.8,[],[],[],[],,0,0,0,0,"[88, 100, 114, 126, 127]",0
10.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 52]","[35, 42, 34]",pp,0,3,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,"['note_on', 'note_on']","[0, 0]","[56, 62]","[45, 39]",pp,0,2,0,0,0,0
11.3,['note_on'],[0],[52],[37],pp,0,1,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,"['note_on', 'note_on']","[0, 0]","[56, 62]","[37, 37]",pp,0,2,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 55]","[36, 36, 37]",pp,0,3,0,0,"[110, 98, 90, 84, 80]",0
12.0,[],[],[],[],,0,0,0,0,"[82, 86, 90, 96, 104, 114, 124, 127]",0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,"['note_on', 'note_on']","[0, 0]","[55, 62]","[43, 35]",pp,0,2,0,0,0,0
12.3,['note_on'],[0],[52],[32],ppp,0,1,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[70, 61, 52, 55]","[58, 45, 41, 37]",pp,0,4,0,0,"[120, 108, 96, 88, 80, 70, 64, 56, 48, 44]",0
12.7,[],[],[],[],,0,0,0,0,"[40, 42, 46, 50, 56, 60, 66, 78, 86, 96, 106, 116]",0
12.8,[],[],[],[],,0,0,0,0,"[126, 127]",0
12.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 55, 52]","[40, 37, 34]",pp,0,3,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
