sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,"[2, 32, 52, 74, 96, 116, 127]",0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[59],[80],mf,1,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[71],[98],f,1,1,0,0,0,0
2.6,['note_on'],[0],[71],[80],mf,1,1,0,0,106,0
2.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 55, 64]","[46, 49, 47]",pp,0,3,0,0,"[82, 22, 0]",0
2.8,[],[],[],[],,0,0,0,0,"[24, 46, 72, 96, 122]",0
2.9,[],[],[],[],,0,0,0,0,127,0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[47, 45, 49]",pp,0,3,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[49, 55, 53]",p,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[46, 43, 47]",pp,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[59, 54, 55]",p,0,3,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[47, 51, 49]",p,0,3,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,108,0
4.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 59, 72, 55]","[46, 39, 77, 54]",p,0,4,0,0,"[2, 0]",0
4.7,[],[],[],[],,0,0,0,0,"[34, 72, 92, 110, 127]",0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[61, 59, 63]",p,0,3,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 54, 64, 57]","[94, 61, 50, 54]",mp,0,4,0,0,"[102, 74, 22, 1, 0]",0
5.4,[],[],[],[],,0,0,0,0,"[14, 36, 60, 80, 100, 122, 127]",0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 64, 57]","[40, 47, 37]",pp,0,3,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,['note_on'],[0],[54],[51],p,0,1,0,0,0,0
6.0,"['note_on', 'note_on']","[0, 0]","[64, 57]","[59, 42]",p,0,2,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 64, 57]","[45, 50, 42]",pp,0,3,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 63, 57]","[50, 76, 36]",p,0,3,0,0,"[108, 84, 62, 42, 30, 16, 10, 8, 10, 16]",0
6.7,[],[],[],[],,0,0,0,0,"[32, 46, 68, 90, 112, 127]",0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,"['note_on', 'note_on']","[0, 0]","[54, 63]","[63, 66]",mp,0,2,0,0,0,0
7.0,['note_on'],[0],[57],[37],pp,0,1,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[63, 72, 54, 57]","[61, 90, 50, 46]",p,0,4,0,0,"[82, 60, 42, 30, 20, 16, 20, 30, 46]",0
7.4,[],[],[],[],,0,0,0,0,"[64, 82, 100, 120, 127]",0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 63, 57]","[58, 66, 41]",p,0,3,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,"['note_on', 'note_on']","[0, 0]","[71, 53]","[96, 63]",mf,1,2,0,0,"[126, 40]",0
8.0,"['note_on', 'note_on']","[0, 0]","[63, 57]","[63, 57]",p,0,2,0,0,"[0, 4]",0
8.1,[],[],[],[],,0,0,0,0,"[32, 58, 78, 100, 127]",0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[61, 54, 41]",p,0,3,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[53, 54, 38]",pp,0,3,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[73, 59, 41]",p,0,3,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,"[122, 94, 50]",0
9.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[69, 57, 54]",p,0,3,0,0,"[34, 18, 12, 8, 10, 18, 36, 58, 80, 102, 126, 127]",0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 53]","[65, 51, 45]",p,0,3,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[56, 62, 53, 72]","[63, 57, 50, 90]",mp,0,4,0,0,"[88, 64, 42]",0
10.0,[],[],[],[],,0,0,0,0,"[14, 10, 18, 32, 52, 72, 92, 110, 127]",0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 62, 56]","[53, 51, 51]",p,0,3,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 56, 62, 52]","[96, 61, 66, 59]",mp,0,4,0,0,"[114, 86, 2, 0]",0
10.7,[],[],[],[],,0,0,0,0,"[16, 42, 65, 90, 110, 127]",0
10.8,[],[],[],[],,0,0,0,0,0,0
10.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[44, 45, 38]",pp,0,3,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,['note_on'],[0],[56],[58],p,0,1,0,0,0,0
11.3,"['note_on', 'note_on']","[0, 0]","[62, 52]","[55, 53]",p,0,2,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[47, 47, 47]",pp,0,3,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 55]","[50, 50, 54]",p,0,3,0,0,"[116, 94, 76, 62, 54, 50]",0
12.0,[],[],[],[],,0,0,0,0,"[52, 58, 65, 78, 90, 104, 120, 127]",0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 55]","[51, 38, 55]",pp,0,3,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[70, 61, 52, 55]","[87, 53, 49, 32]",p,0,4,0,0,"[120, 100, 86, 72, 64, 58, 56, 58, 62, 70]",0
12.7,[],[],[],[],,0,0,0,0,"[80, 94, 110, 126, 127]",0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 52, 55]","[63, 50, 45]",p,0,3,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
