sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[64],[62],mp,0,1,127,0,127,62
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,['note_on'],[0],[67],[48],pp,0,1,0,0,0,0
0.3,['note_on'],[0],[72],[57],p,0,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,['note_on'],[0],[76],[78],mf,1,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,['note_on'],[0],[67],[63],mp,0,1,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,['note_on'],[0],[72],[60],p,0,1,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,['note_on'],[0],[76],[65],mp,0,1,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,['note_on'],[0],[60],[52],p,0,1,0,0,"[120, 110, 96, 78, 56, 28, 0]",0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,['note_on'],[0],[64],[58],p,0,1,0,0,"[2, 12, 20, 28]",0
1.7,[],[],[],[],,0,0,0,0,"[36, 42, 48, 52, 56, 60, 64, 66, 70, 74]",0
1.8,['note_on'],[0],[67],[62],mp,0,1,0,0,"[76, 80, 82, 86, 90, 92, 96, 98, 100]",0
1.9,[],[],[],[],,0,0,0,0,"[102, 104, 106, 108, 110, 112]",0
2.0,['note_on'],[0],[72],[62],mp,0,1,0,0,"[114, 118, 120, 122, 124, 126]",0
2.1,[],[],[],[],,0,0,0,0,127,0
2.2,['note_on'],[0],[76],[69],mp,0,1,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[67],[60],p,0,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,['note_on'],[0],[72],[62],mp,0,1,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[76],[62],mp,0,1,0,0,0,0
3.0,['note_on'],[0],[60],[53],p,0,1,0,0,"[118, 96, 74]",0
3.0,['note_on'],[0],[62],[62],mp,0,1,0,0,"[0, 12, 28, 42, 50, 62, 68, 74]",0
3.1,[],[],[],[],,0,0,0,0,"[80, 84, 90, 94, 96, 98, 100, 102, 104, 106]",0
3.2,['note_on'],[0],[69],[59],p,0,1,0,0,"[108, 110, 112, 116, 118, 120, 124, 127]",0
3.4,['note_on'],[0],[74],[65],mp,0,1,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,['note_on'],[0],[77],[59],p,0,1,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,['note_on'],[0],[69],[58],p,0,1,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,['note_on'],[0],[74],[58],p,0,1,0,0,0,0
4.3,['note_on'],[0],[77],[63],mp,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
