sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 69, 81]","[67, 90, 90]",mf,1,3,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[76, 52, 64]","[93, 75, 87]",mf,1,3,0,0,"[76, 104, 126, 127]",0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,"[122, 106]",0
1.6,[],[],[],[],,0,0,0,0,"[88, 68, 48, 28, 6, 0]",0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,"['note_on', 'note_on']","[0, 0]","[52, 64]","[54, 43]",pp,0,2,0,0,0,0
2.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 50, 49]","[56, 56, 54]",p,0,3,0,0,0,0
2.2,"['note_on', 'note_on']","[0, 0]","[61, 47]","[65, 60]",mp,0,2,0,0,0,0
2.3,['note_on'],[0],[59],[65],mp,0,1,0,0,0,0
2.4,"['note_on', 'note_on']","[0, 0]","[45, 57]","[77, 65]",mp,0,2,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 69, 81]","[73, 77, 79]",mf,1,3,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,['note_on'],[0],[54],[83],mf,1,1,0,0,62,0
3.6,"['note_on', 'note_on']","[0, 0]","[66, 78]","[100, 100]",f,1,2,0,0,"[84, 102, 116, 122, 126, 127]",0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,"[114, 94, 74, 24]",0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,"['note_on', 'note_on']","[0, 0]","[54, 66]","[64, 71]",mp,0,2,0,0,0,0
4.5,"['note_on', 'note_on']","[0, 0]","[52, 64]","[36, 43]",pp,0,2,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 50, 49, 61]","[62, 41, 61, 83]",p,0,4,0,0,0,0
4.7,"['note_on', 'note_on']","[0, 0]","[47, 59]","[83, 75]",mf,1,2,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,"['note_on', 'note_on']","[0, 0]","[74, 86]","[95, 97]",f,1,2,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 71, 83, 81]","[75, 89, 81, 45]",mp,0,4,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 80, 68]","[72, 87, 83]",mf,1,3,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 76, 64]","[71, 87, 75]",mf,1,3,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[74, 50, 62]","[90, 64, 79]",mf,1,3,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[47, 71, 59]","[75, 83, 71]",mf,1,3,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[68, 44, 56]","[87, 64, 88]",mf,1,3,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 52, 40]","[70, 62, 59]",mp,0,3,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,['note_on'],[0],[57],[51],p,0,1,0,0,0,0
10.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[45, 61, 49]","[62, 50, 50]",p,0,3,0,0,0,0
10.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 52, 57, 69]","[58, 47, 75, 71]",mp,0,4,0,0,"[14, 36]",0
10.7,[],[],[],[],,0,0,0,0,"[58, 76, 94, 106, 116, 122, 127]",0
10.8,[],[],[],[],,0,0,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,['note_on'],[0],[71],[77],mf,1,1,0,0,120,0
11.1,[],[],[],[],,0,0,0,0,"[106, 90, 70, 48, 0]",0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,['note_on'],[0],[73],[89],f,1,1,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,['note_on'],[0],[74],[71],mp,0,1,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,['note_on'],[0],[76],[60],p,0,1,0,0,0,0
12.0,[],[],[],[],,0,0,0,0,0,0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,['note_on'],[0],[78],[80],mf,1,1,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,['note_on'],[0],[80],[71],mp,0,1,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,['note_on'],[0],[81],[77],mf,1,1,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,['note_on'],[0],[76],[75],mf,0,1,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,0,0
13.4,"['note_on', 'note_on']","[0, 0]","[68, 52]","[61, 53]",p,0,2,0,0,0,0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,"[56, 76]",0
13.7,"['note_on', 'note_on']","[0, 0]","[54, 69]","[47, 51]",p,0,2,0,0,"[94, 106, 118, 127]",0
13.8,[],[],[],[],,0,0,0,0,0,0
13.9,[],[],[],[],,0,0,0,0,0,0
14.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[74, 71, 56]","[60, 56, 45]",p,0,3,0,0,"[120, 106, 88, 68, 30, 14, 0]",0
14.1,[],[],[],[],,0,0,0,0,0,0
14.2,[],[],[],[],,0,0,0,0,0,0
14.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 73, 64]","[47, 65, 40]",p,0,3,0,0,0,0
14.4,[],[],[],[],,0,0,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,0,0
14.6,['note_on'],[0],[45],[62],mp,0,1,0,0,0,0
14.7,[],[],[],[],,0,0,0,0,0,0
14.8,[],[],[],[],,0,0,0,0,0,0
14.9,['note_on'],[0],[49],[61],p,0,1,0,0,0,0
15.0,[],[],[],[],,0,0,0,0,0,0
15.1,[],[],[],[],,0,0,0,0,0,0
15.2,['note_on'],[0],[50],[60],p,0,1,0,0,0,0
15.3,[],[],[],[],,0,0,0,0,0,0
15.4,[],[],[],[],,0,0,0,0,0,0
15.5,['note_on'],[0],[52],[67],mp,0,1,0,0,0,0
15.6,[],[],[],[],,0,0,0,0,0,0
