sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,['note_on'],[0],[59],[54],p,0,1,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[71],[58],p,0,1,0,0,0,0
2.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 64, 55, 59]","[61, 52, 50, 49]",p,0,4,0,0,"[16, 36, 52]",0
2.6,[],[],[],[],,0,0,0,0,"[66, 76, 86, 92, 96, 98, 100, 102]",0
2.7,[],[],[],[],,0,0,0,0,"[104, 108, 112, 114, 118, 124, 127]",0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[40, 47, 41]",pp,0,3,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[44, 37, 38]",pp,0,3,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[41, 41, 46]",pp,0,3,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[43, 46, 49]",pp,0,3,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,"['note_on', 'note_on']","[0, 0]","[64, 55]","[43, 45]",pp,0,2,0,0,0,0
4.2,['note_on'],[0],[59],[45],pp,0,1,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 72, 55, 59]","[44, 77, 46, 52]",p,0,4,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[39, 43, 49]",pp,0,3,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,['note_on'],[0],[64],[37],pp,0,1,0,0,"[114, 98, 74, 0]",0
5.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[71, 54, 57]","[77, 47, 50]",p,0,3,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,"[60, 82, 104, 124, 127]",0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 57, 64]","[36, 37, 43]",pp,0,3,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[45, 42, 43]",pp,0,3,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[46, 43, 37]",pp,0,3,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,['note_on'],[0],[63],[49],p,0,1,0,0,"[124, 102, 76, 42]",0
6.5,"['note_on', 'note_on']","[0, 0]","[57, 53]","[47, 49]",pp,0,2,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,"[14, 48, 104, 127]",0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 63, 53]","[37, 42, 39]",pp,0,3,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 63, 53, 57]","[83, 48, 47, 46]",p,0,4,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 63, 57]","[44, 42, 46]",pp,0,3,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,"[126, 118, 104, 88, 18, 0]",0
7.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[63, 71, 53, 57]","[49, 79, 49, 51]",p,0,4,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,"[28, 98]",0
8.0,[],[],[],[],,0,0,0,0,127,0
8.1,['note_on'],[0],[63],[46],pp,0,1,0,0,0,0
8.2,"['note_on', 'note_on']","[0, 0]","[57, 53]","[49, 39]",pp,0,2,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[49, 44, 47]",pp,0,3,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[46, 39, 41]",pp,0,3,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 53]","[57, 49, 50]",p,0,3,0,0,"[120, 92, 0]",0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,"[66, 98, 126, 127]",0
9.4,"['note_on', 'note_on']","[0, 0]","[62, 57]","[46, 38]",pp,0,2,0,0,0,0
9.5,['note_on'],[0],[53],[42],pp,0,1,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 56, 62, 53]","[74, 50, 49, 45]",p,0,4,0,0,"[122, 92, 0]",0
9.9,[],[],[],[],,0,0,0,0,108,0
10.0,[],[],[],[],,0,0,0,0,127,0
10.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 53]","[34, 49, 45]",pp,0,3,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,"[112, 0]",0
10.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[56, 71, 62, 52]","[40, 77, 50, 53]",p,0,4,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,"[2, 28, 50, 68, 86, 98, 110, 122, 127]",0
10.7,[],[],[],[],,0,0,0,0,0,0
10.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[39, 49, 43]",pp,0,3,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[46, 50, 52]",p,0,3,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,['note_on'],[0],[56],[46],pp,0,1,0,0,0,0
11.5,"['note_on', 'note_on']","[0, 0]","[62, 52]","[50, 42]",pp,0,2,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,"[120, 94]",0
11.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 55]","[49, 41, 53]",pp,0,3,0,0,0,0
11.9,[],[],[],[],,0,0,0,0,"[20, 64]",0
12.0,[],[],[],[],,0,0,0,0,"[80, 94, 104, 112, 120, 126, 127]",0
12.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 55, 52]","[51, 46, 43]",pp,0,3,0,0,0,0
12.2,[],[],[],[],,0,0,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[61, 70, 55, 52]","[41, 82, 42, 37]",p,0,4,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,"['note_on', 'note_on']","[0, 0]","[61, 55]","[45, 37]",pp,0,2,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,"[124, 102, 76, 42, 2, 0]",0
13.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 60, 55, 52]","[61, 53, 49, 49]",p,0,4,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,"[65, 94, 120]",0
13.4,[],[],[],[],,0,0,0,0,127,0
13.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 55, 52]","[45, 40, 46]",pp,0,3,0,0,0,0
