sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,"[4, 8, 10, 12, 14]",64
0.1,[],[],[],[],,0,0,0,0,"[16, 18, 22, 26, 28, 30, 34, 38]",0
0.2,[],[],[],[],,0,0,0,0,"[42, 44, 48, 50, 52, 54, 56, 58]",0
0.3,[],[],[],[],,0,0,0,0,"[60, 62, 64, 65]",0
0.4,[],[],[],[],,0,0,0,0,"[66, 68, 70, 74, 76, 80, 82, 86, 90]",0
0.5,[],[],[],[],,0,0,0,0,"[94, 96, 100, 104, 106, 110, 112, 114, 118]",0
0.6,[],[],[],[],,0,0,0,0,"[120, 122, 124, 126]",0
0.7,[],[],[],[],,0,0,0,0,127,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,['note_on'],[0],[59],[79],mf,1,1,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,['note_on'],[0],[71],[76],mf,1,1,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,"[120, 92]",0
2.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 57, 64, 53]","[90, 62, 64, 65]",mp,0,4,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,30,0
2.7,[],[],[],[],,0,0,0,0,"[65, 118, 127]",0
2.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[65, 61, 50]",p,0,3,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 53]","[65, 53, 41]",p,0,3,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 53]","[65, 60, 55]",p,0,3,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[60, 60, 50]",p,0,3,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[51, 54, 53]",p,0,3,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 53, 71, 57]","[55, 54, 97, 49]",mp,0,4,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,['note_on'],[0],[62],[53],p,0,1,0,0,0,0
4.8,['note_on'],[0],[57],[41],pp,0,1,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
