sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,"[8, 20, 30]",0
1.3,[],[],[],[],,0,0,0,0,"[42, 52, 64, 72, 82, 92, 100, 108, 118, 126]",0
1.4,[],[],[],[],,0,0,0,0,127,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[59],[64],mp,0,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[71],[70],mp,0,1,0,0,110,0
2.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 59, 64, 55]","[80, 64, 58, 62]",mp,0,4,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,58,0
2.7,[],[],[],[],,0,0,0,0,"[108, 127]",0
2.8,"['note_on', 'note_on']","[0, 0]","[55, 64]","[53, 56]",p,0,2,0,0,0,0
2.9,['note_on'],[0],[59],[51],p,0,1,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[61, 59, 56]",p,0,3,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[50, 49, 52]",p,0,3,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[49, 53, 58]",p,0,3,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[49, 48, 56]",p,0,3,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 55, 72, 59]","[53, 53, 89, 52]",p,0,4,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[45, 51, 52]",p,0,3,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,"[122, 100]",0
5.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[54, 64, 71, 57]","[58, 55, 86, 56]",mp,0,4,0,0,"[30, 0]",0
5.2,[],[],[],[],,0,0,0,0,42,0
5.3,[],[],[],[],,0,0,0,0,"[74, 102, 127]",0
5.4,['note_on'],[0],[57],[50],p,0,1,0,0,0,0
5.5,"['note_on', 'note_on']","[0, 0]","[54, 64]","[45, 52]",pp,0,2,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[55, 48, 48]",p,0,3,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[59, 51, 45]",p,0,3,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,['note_on'],[0],[63],[53],p,0,1,0,0,"[118, 110, 106, 104]",0
6.5,"['note_on', 'note_on']","[0, 0]","[54, 57]","[51, 44]",pp,0,2,0,0,"[106, 108, 110, 118, 122, 127]",0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 54, 57]","[67, 58, 51]",p,0,3,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[63, 72, 54, 57]","[58, 88, 53, 51]",mp,0,4,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,"['note_on', 'note_on']","[0, 0]","[54, 63]","[51, 53]",p,0,2,0,0,0,0
7.5,['note_on'],[0],[57],[40],pp,0,1,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,"[114, 0]",0
7.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 63, 57, 53]","[86, 63, 56, 53]",mp,0,4,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,"[48, 108, 127]",0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 57, 53]","[59, 46, 53]",p,0,3,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,"['note_on', 'note_on']","[0, 0]","[63, 53]","[67, 58]",mp,0,2,0,0,0,0
8.5,['note_on'],[0],[57],[56],p,0,1,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,['note_on'],[0],[63],[56],p,0,1,0,0,0,0
8.8,"['note_on', 'note_on']","[0, 0]","[57, 53]","[49, 47]",pp,0,2,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 56, 62]","[64, 67, 67]",mp,0,3,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,"[20, 50, 74, 96, 116, 127]",0
9.4,['note_on'],[0],[62],[62],mp,0,1,0,0,0,0
9.5,"['note_on', 'note_on']","[0, 0]","[53, 57]","[53, 64]",p,0,2,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 56, 53, 62]","[96, 63, 53, 56]",mp,0,4,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 53]","[46, 53, 48]",p,0,3,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 56, 71, 52]","[56, 53, 96, 53]",mp,0,4,0,0,"[106, 80, 0]",0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,"[70, 127]",0
10.7,[],[],[],[],,0,0,0,0,0,0
10.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[45, 49, 43]",pp,0,3,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[56, 62, 56]",p,0,3,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,"['note_on', 'note_on']","[0, 0]","[56, 62]","[56, 50]",p,0,2,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 55]","[48, 52, 56]",p,0,3,0,0,0,0
11.9,[],[],[],[],,0,0,0,0,0,0
12.0,[],[],[],[],,0,0,0,0,0,0
12.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 55, 52]","[55, 46, 37]",pp,0,3,0,0,0,0
12.2,[],[],[],[],,0,0,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 70, 52]","[59, 94, 51]",mp,0,3,0,0,0,0
12.5,['note_on'],[0],[55],[53],p,0,1,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,['note_on'],[0],[61],[52],p,0,1,0,0,0,0
12.8,"['note_on', 'note_on']","[0, 0]","[52, 55]","[48, 39]",pp,0,2,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[52, 60, 55, 69]","[61, 69, 61, 76]",mp,0,4,0,0,"[114, 88, 58, 0]",0
13.2,[],[],[],[],,0,0,0,0,"[12, 64]",0
13.3,[],[],[],[],,0,0,0,0,"[82, 104, 127]",0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 60, 52]","[44, 62, 51]",p,0,3,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,0,0
13.7,[],[],[],[],,0,0,0,0,0,0
13.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 55, 52]","[59, 62, 51]",p,0,3,0,0,0,0
