sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,['note_on'],[0],[59],[65],mp,0,1,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,"[8, 20]",0
2.3,['note_on'],[0],[71],[66],mp,0,1,0,0,"[28, 36, 40, 38, 36, 34, 32]",0
2.4,[],[],[],[],,0,0,0,0,"[30, 26, 22, 14, 6, 0]",0
2.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 64, 55, 59]","[91, 83, 78, 69]",mf,1,4,0,0,"[6, 28, 50, 106, 127]",0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[54, 61, 55]",p,0,3,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,"['note_on', 'note_on']","[0, 0]","[55, 59]","[55, 53]",p,0,2,0,0,0,0
3.2,['note_on'],[0],[64],[52],p,0,1,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[46, 47, 47]",pp,0,3,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[46, 41, 55]",pp,0,3,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[47, 52, 50]",p,0,3,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 72, 55, 59]","[55, 95, 54, 57]",mp,0,4,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[38, 46, 43]",pp,0,3,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,"[124, 114, 100, 86, 66]",0
5.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[54, 64, 57, 71]","[64, 62, 57, 83]",mp,0,4,0,0,"[42, 0]",0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,"[40, 64, 82, 102, 120]",0
5.4,[],[],[],[],,0,0,0,0,127,0
5.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 54, 64]","[43, 47, 54]",pp,0,3,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 57, 64]","[62, 54, 61]",p,0,3,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[53, 47, 41]",pp,0,3,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,['note_on'],[0],[63],[64],mp,0,1,0,0,0,0
6.5,"['note_on', 'note_on']","[0, 0]","[57, 53]","[52, 58]",p,0,2,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,"[48, 76, 102, 126, 127]",0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 57, 53]","[46, 38, 46]",pp,0,3,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[63, 72, 53, 57]","[64, 90, 59, 57]",mp,0,4,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,"['note_on', 'note_on']","[0, 0]","[63, 53]","[54, 46]",p,0,2,0,0,0,0
7.5,['note_on'],[0],[57],[50],p,0,1,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,"[114, 94, 0]",0
7.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 63, 54, 57]","[83, 83, 70, 59]",mp,0,4,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,"[42, 70, 96, 118]",0
8.0,[],[],[],[],,0,0,0,0,127,0
8.1,['note_on'],[0],[63],[58],p,0,1,0,0,0,0
8.2,"['note_on', 'note_on']","[0, 0]","[53, 57]","[38, 44]",pp,0,2,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,"['note_on', 'note_on']","[0, 0]","[53, 63]","[70, 81]",mf,0,2,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,"['note_on', 'note_on']","[0, 0]","[63, 53]","[59, 57]",p,0,2,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,"['note_on', 'note_on']","[0, 0]","[53, 62]","[61, 65]",mp,0,2,0,0,"[124, 98, 70, 50, 38]",0
9.2,[],[],[],[],,0,0,0,0,"[40, 48, 56, 64, 74, 86, 98, 108, 120]",0
9.3,[],[],[],[],,0,0,0,0,127,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on']","[0, 0]","[62, 53]","[61, 58]",p,0,2,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 62, 53, 56]","[85, 58, 57, 59]",mp,0,4,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,"[72, 100]",0
10.0,[],[],[],[],,0,0,0,0,127,0
10.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 56]","[52, 40, 43]",pp,0,3,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,"[114, 90, 58]",0
10.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 56, 52, 71]","[54, 58, 61, 91]",mp,0,4,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,"[60, 82, 102, 122]",0
10.7,[],[],[],[],,0,0,0,0,127,0
10.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 52]","[48, 43, 44]",pp,0,3,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[46, 51, 48]",pp,0,3,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,"['note_on', 'note_on']","[0, 0]","[56, 62]","[46, 53]",p,0,2,0,0,0,0
11.5,['note_on'],[0],[52],[36],pp,0,1,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 55]","[75, 62, 58]",mp,0,3,0,0,"[80, 0]",0
11.9,[],[],[],[],,0,0,0,0,"[2, 62, 86, 110, 127]",0
12.0,[],[],[],[],,0,0,0,0,0,0
12.1,['note_on'],[0],[62],[38],pp,0,1,0,0,0,0
12.2,[],[],[],[],,0,0,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[70, 61, 52, 55]","[97, 56, 48, 49]",mp,0,4,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 55, 52]","[46, 38, 38]",pp,0,3,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,"[114, 96, 0]",0
13.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 55, 52, 69]","[61, 46, 53, 77]",p,0,4,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,"[50, 74]",0
13.3,[],[],[],[],,0,0,0,0,"[96, 116, 127]",0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 52, 55]","[59, 47, 48]",p,0,3,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,0,0
13.7,[],[],[],[],,0,0,0,0,0,0
