sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,"['note_on', 'note_on']","[0, 0]","[64, 60]","[53, 49]",p,0,2,0,0,0,0
0.2,"['note_on', 'note_on']","[0, 0]","[57, 76]","[53, 68]",p,0,2,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,"['note_on', 'note_on']","[0, 0]","[64, 60]","[49, 44]",pp,0,2,0,0,0,0
0.5,['note_on'],[0],[57],[44],pp,0,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,['note_on'],[0],[76],[40],pp,0,1,0,0,0,0
0.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 64, 60, 76]","[50, 49, 51, 88]",p,0,4,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,['note_on'],[0],[64],[49],p,0,1,0,0,0,0
1.1,"['note_on', 'note_on']","[0, 0]","[60, 57]","[44, 49]",pp,0,2,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 60, 64]","[52, 50, 51]",p,0,3,0,0,0,0
1.4,['note_on'],[0],[72],[69],mp,0,1,0,0,"[124, 108, 90, 72, 58, 38, 22]",0
1.5,[],[],[],[],,0,0,0,0,"[4, 0]",0
1.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 64, 57]","[49, 56, 53]",p,0,3,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,['note_on'],[0],[69],[51],p,0,1,0,0,0,0
1.9,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[69, 59, 64, 62, 57]","[66, 61, 47, 52, 46]",p,0,5,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,"[2, 12, 24, 36, 48, 58, 66]",0
2.2,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[59, 62, 64, 57, 68]","[39, 49, 50, 52, 64]",p,0,5,0,0,"[78, 90, 102, 112, 122, 127]",0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 62, 64, 59, 57]","[47, 49, 44, 50, 42]",pp,0,5,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,"['note_on', 'note_on']","[0, 0]","[59, 62]","[47, 52]",p,0,2,0,0,0,0
2.8,"['note_on', 'note_on']","[0, 0]","[57, 64]","[46, 49]",pp,0,2,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
