sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 57, 64]","[44, 54, 59]",p,0,3,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,"[120, 94]",0
0.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 64, 57, 76]","[49, 59, 54, 100]",mp,0,4,0,0,"[32, 2, 0]",0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[57, 49, 44]",p,0,3,0,0,0,0
0.7,['note_on'],[0],[76],[75],mf,0,1,0,0,0,0
0.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 60, 64, 57]","[100, 52, 56, 48]",mp,0,4,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 64, 57]","[48, 56, 52]",p,0,3,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 72, 64, 57]","[48, 79, 62, 49]",p,0,4,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 57, 64]","[37, 35, 38]",pp,0,3,0,0,0,0
1.7,['note_on'],[0],[69],[54],p,0,1,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[69, 59, 62, 64, 57]","[79, 57, 52, 40, 31]",p,0,5,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[59, 62, 64, 68, 57]","[31, 52, 37, 87, 25]",pp,0,5,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 64, 57, 62, 59]","[78, 42, 46, 49, 52]",p,0,5,0,0,"[4, 28]",0
2.6,[],[],[],[],,0,0,0,0,"[56, 72, 86, 98, 104, 112, 118, 120, 122, 124, 126]",0
2.7,['note_on'],[0],[59],[40],pp,0,1,0,0,127,0
2.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 62, 64]","[34, 33, 35]",ppp,0,3,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 57, 64, 62]","[35, 35, 39, 48]",pp,0,4,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,['note_on'],[0],[59],[34],ppp,0,1,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 64]","[40, 39, 44]",pp,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[59, 64, 74, 57, 62]","[40, 42, 85, 40, 39]",p,0,5,0,0,"[124, 110, 92, 74, 56]",0
3.6,[],[],[],[],,0,0,0,0,"[16, 0]",0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 64, 62, 57]","[33, 48, 34, 34]",pp,0,4,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,['note_on'],[0],[71],[65],mp,0,1,0,0,0,0
4.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 57, 64, 76]","[52, 54, 56, 100]",mp,0,4,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,"[14, 30, 44, 54, 60, 64, 66, 68]",0
4.3,[],[],[],[],,0,0,0,0,"[70, 74, 82, 86, 90, 98, 100, 104, 112, 120]",0
4.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 64, 57]","[33, 44, 46]",pp,0,3,0,0,127,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,['note_on'],[0],[64],[48],pp,0,1,0,0,"[120, 108]",0
4.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 57, 76]","[38, 40, 91]",p,0,3,0,0,"[102, 100, 102, 110, 120, 126, 127]",0
4.8,[],[],[],[],,0,0,0,0,"[122, 108, 80, 0]",0
4.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 64, 57]","[38, 46, 38]",pp,0,3,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,['note_on'],[0],[76],[83],mf,1,1,0,0,0,0
5.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 76, 60, 57]","[59, 96, 44, 46]",p,0,4,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,['note_on'],[0],[64],[48],pp,0,1,0,0,0,0
5.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 57, 77]","[42, 42, 73]",p,0,3,0,0,0,0
5.6,['note_on'],[0],[76],[40],pp,0,1,0,0,0,0
5.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 64, 57, 74]","[37, 44, 38, 59]",pp,0,4,0,0,0,0
5.8,['note_on'],[0],[72],[64],mp,0,1,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 64, 57, 71]","[40, 39, 34, 72]",pp,0,4,0,0,0,0
6.1,['note_on'],[0],[69],[82],mf,1,1,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[69, 59, 62, 64, 57]","[82, 56, 52, 48, 37]",p,0,5,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,['note_on'],[0],[59],[32],ppp,0,1,0,0,0,0
6.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 57, 68]","[29, 27, 34, 69]",pp,0,4,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 59, 62, 64, 57]","[72, 56, 32, 33, 31]",pp,0,5,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,"[1, 20, 38, 54, 65, 74, 82, 88, 94]",0
7.0,[],[],[],[],,0,0,0,0,"[96, 98, 100, 102, 104, 106, 110, 112, 118, 122]",0
7.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 62, 64, 57]","[23, 39, 35, 35]",ppp,0,4,0,0,127,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,"['note_on', 'note_on']","[0, 0]","[59, 62]","[25, 46]",ppp,0,2,0,0,0,0
7.4,"['note_on', 'note_on']","[0, 0]","[64, 57]","[38, 37]",pp,0,2,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 62, 64]","[23, 34, 32]",ppp,0,3,0,0,0,0
7.7,['note_on'],[0],[57],[20],ppp,0,1,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,"[120, 114, 106, 96, 86, 72, 54, 0]",0
7.9,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[59, 74, 62, 64, 57]","[25, 82, 39, 30, 25]",pp,0,5,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 62, 64, 57]","[14, 29, 23, 20]",ppp,0,4,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,['note_on'],[0],[71],[37],pp,0,1,0,0,0,0
