sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[60],[53],p,0,1,127,0,0,62
0.1,['note_on'],[0],[64],[60],p,0,1,0,0,"[12, 30, 50, 64, 80, 94, 108, 122, 127]",0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,['note_on'],[0],[72],[53],p,0,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,['note_on'],[0],[76],[62],mp,0,1,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,['note_on'],[0],[72],[62],mp,0,1,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,['note_on'],[0],[76],[57],p,0,1,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,['note_on'],[0],[60],[57],p,0,1,0,0,"[108, 86, 60]",0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,['note_on'],[0],[64],[48],pp,0,1,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,"[10, 36, 50, 62, 74, 86, 96]",0
2.0,['note_on'],[0],[67],[48],pp,0,1,0,0,"[108, 118, 126, 127]",0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[72],[53],p,0,1,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[76],[62],mp,0,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[67],[57],p,0,1,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,['note_on'],[0],[72],[57],p,0,1,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,['note_on'],[0],[76],[48],pp,0,1,0,0,0,0
3.0,['note_on'],[0],[60],[55],p,0,1,0,0,"[110, 90, 10]",0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,['note_on'],[0],[62],[47],pp,0,1,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,"[8, 22, 32, 46, 58, 70, 82]",0
3.4,['note_on'],[0],[69],[52],p,0,1,0,0,"[92, 102, 110, 120, 126, 127]",0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,['note_on'],[0],[74],[55],p,0,1,0,0,0,0
3.9,['note_on'],[0],[77],[62],mp,0,1,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,['note_on'],[0],[69],[55],p,0,1,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,['note_on'],[0],[74],[52],p,0,1,0,0,0,0
4.5,['note_on'],[0],[77],[55],p,0,1,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,['note_on'],[0],[60],[48],pp,0,1,0,0,"[108, 90, 64, 36]",0
4.9,[],[],[],[],,0,0,0,0,"[8, 0]",0
5.0,['note_on'],[0],[62],[57],p,0,1,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,"[6, 18, 30, 42, 54, 62, 70, 80, 90]",0
5.2,['note_on'],[0],[69],[57],p,0,1,0,0,"[98, 108, 118, 126, 127]",0
5.3,"['note_on', 'note_on']","[0, 0]","[74, 77]","[62, 62]",mp,0,2,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,['note_on'],[0],[69],[57],p,0,1,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,['note_on'],[0],[74],[67],mp,0,1,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
