sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,['note_on'],[0],[59],[85],mf,1,1,0,0,"[1, 20, 62, 80, 96]",0
1.9,[],[],[],[],,0,0,0,0,"[112, 127]",0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,['note_on'],[0],[71],[80],mf,1,1,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 64, 55, 59]","[96, 64, 56, 58]",mp,0,4,0,0,"[20, 0]",0
2.6,[],[],[],[],,0,0,0,0,"[26, 80, 104]",0
2.7,[],[],[],[],,0,0,0,0,127,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[56, 48, 60]",p,0,3,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[54, 58, 57]",p,0,3,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[48, 52, 54]",p,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[54, 56, 54]",p,0,3,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[58, 60, 57]",p,0,3,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,"['note_on', 'note_on']","[0, 0]","[72, 64]","[87, 49]",mp,0,2,0,0,0,0
4.6,"['note_on', 'note_on']","[0, 0]","[59, 55]","[53, 49]",p,0,2,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 55, 64]","[57, 60, 48]",p,0,3,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,"[122, 100, 78]",0
5.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 54, 64, 57]","[87, 50, 44, 52]",p,0,4,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,"[2, 76, 96, 114, 127]",0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[62, 53, 47]",p,0,3,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 64, 57]","[51, 69, 52]",p,0,3,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,"['note_on', 'note_on']","[0, 0]","[54, 64]","[61, 67]",mp,0,2,0,0,0,0
6.3,['note_on'],[0],[57],[34],ppp,0,1,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on']","[0, 0]","[63, 54]","[70, 61]",mp,0,2,0,0,"[112, 90, 65, 18, 0, 6]",0
6.6,['note_on'],[0],[57],[36],pp,0,1,0,0,"[22, 44, 58, 74, 90, 102, 116, 127]",0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,['note_on'],[0],[63],[58],p,0,1,0,0,0,0
6.9,"['note_on', 'note_on']","[0, 0]","[54, 57]","[50, 35]",pp,0,2,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 54, 72]","[54, 54, 98]",mp,0,3,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,"['note_on', 'note_on']","[0, 0]","[54, 63]","[64, 67]",mp,0,2,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,"[126, 102, 44, 18, 0]",0
7.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 63, 53, 57]","[89, 67, 54, 40]",mp,0,4,0,0,"[18, 38, 60]",0
8.0,[],[],[],[],,0,0,0,0,"[78, 96, 110, 126, 127]",0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[61, 50, 39]",p,0,3,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,['note_on'],[0],[63],[56],p,0,1,0,0,0,0
8.6,['note_on'],[0],[53],[45],pp,0,1,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,"['note_on', 'note_on']","[0, 0]","[63, 53]","[64, 39]",p,0,2,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[69, 54, 58]",p,0,3,0,0,"[114, 94, 72, 30, 14, 4, 12, 24]",0
9.3,[],[],[],[],,0,0,0,0,"[44, 62, 74, 90, 102, 114, 126, 127]",0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[67, 60, 62]",mp,0,3,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,['note_on'],[0],[62],[78],mf,1,1,0,0,0,0
9.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[72, 53, 56]","[87, 62, 78]",mf,0,3,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 56]","[78, 64, 70]",mp,0,3,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,110,0
10.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 62, 52, 56]","[89, 82, 76, 70]",mf,1,4,0,0,"[82, 50, 20, 0]",0
10.6,[],[],[],[],,0,0,0,0,"[58, 80, 98, 114]",0
10.7,[],[],[],[],,0,0,0,0,"[126, 127]",0
10.8,[],[],[],[],,0,0,0,0,0,0
10.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 56]","[78, 71, 64]",mp,0,3,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 56]","[69, 78, 70]",mp,0,3,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 56]","[64, 74, 64]",mp,0,3,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,"['note_on', 'note_on']","[0, 0]","[52, 62]","[74, 85]",mf,1,2,0,0,"[118, 96]",0
11.9,['note_on'],[0],[55],[69],mp,0,1,0,0,"[4, 0, 12, 30, 60, 72, 82]",0
12.0,[],[],[],[],,0,0,0,0,"[92, 104, 114, 122, 127]",0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 55]","[74, 87, 43]",mp,0,3,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[70, 61, 52, 55]","[88, 94, 76, 58]",mf,1,4,0,0,"[122, 108, 96, 80, 65, 54, 42]",0
12.6,[],[],[],[],,0,0,0,0,"[40, 46, 56, 65, 76, 86, 92, 100, 108, 116]",0
12.7,[],[],[],[],,0,0,0,0,"[124, 127]",0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 52, 55]","[81, 64, 37]",p,0,3,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,"[116, 92, 64, 0]",0
13.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 69, 55, 52]","[71, 76, 52, 54]",mp,0,4,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,"[4, 52, 66, 80, 92, 104, 114]",0
13.4,[],[],[],[],,0,0,0,0,"[122, 127]",0
