sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,4,0
1.7,[],[],[],[],,0,0,0,0,"[10, 16, 22, 28, 34, 38, 44, 50, 58, 62]",0
1.8,[],[],[],[],,0,0,0,0,"[66, 74, 80, 86, 92, 98, 104, 112, 122, 127]",0
1.9,['note_on'],[0],[59],[68],mp,0,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[71],[68],mp,0,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[55, 64, 71, 59]","[54, 55, 80, 59]",mp,0,4,0,0,"[124, 10, 0]",0
2.7,[],[],[],[],,0,0,0,0,"[1, 14, 32, 54, 74, 94, 114, 127]",0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[38, 49, 57]",pp,0,3,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[47, 45, 51]",pp,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[48, 48, 49]",pp,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[55, 54, 54]",p,0,3,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[57, 52, 59]",p,0,3,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 55, 59, 64]","[80, 54, 55, 41]",p,0,4,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,['note_on'],[0],[59],[55],p,0,1,0,0,0,0
4.9,['note_on'],[0],[55],[47],pp,0,1,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,112,0
5.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[54, 71, 57, 64]","[59, 80, 54, 45]",p,0,4,0,0,"[18, 0]",0
5.3,[],[],[],[],,0,0,0,0,"[18, 66, 90, 112, 127]",0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 64, 57]","[38, 61, 45]",pp,0,3,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 64, 57]","[54, 62, 57]",p,0,3,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,"['note_on', 'note_on']","[0, 0]","[54, 64]","[67, 61]",mp,0,2,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on']","[0, 0]","[63, 54]","[61, 50]",p,0,2,0,0,0,0
6.6,['note_on'],[0],[57],[45],pp,0,1,0,0,"[6, 32, 58, 78]",0
6.7,[],[],[],[],,0,0,0,0,"[96, 114, 127]",0
6.8,"['note_on', 'note_on']","[0, 0]","[63, 54]","[46, 38]",pp,0,2,0,0,0,0
6.9,['note_on'],[0],[57],[51],p,0,1,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 54, 72]","[54, 50, 80]",p,0,3,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,"['note_on', 'note_on']","[0, 0]","[54, 63]","[70, 70]",mp,0,2,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,['note_on'],[0],[63],[58],p,0,1,0,0,"[124, 62, 0]",0
7.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[71, 53, 57]","[68, 57, 52]",p,0,3,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,"[34, 66, 94, 114, 127]",0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[57, 41, 52]",p,0,3,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,"['note_on', 'note_on']","[0, 0]","[63, 53]","[70, 49]",p,0,2,0,0,0,0
8.6,['note_on'],[0],[57],[51],p,0,1,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,['note_on'],[0],[63],[72],mp,0,1,0,0,0,0
8.9,['note_on'],[0],[53],[44],pp,0,1,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,90,0
9.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[68, 59, 62]",mp,0,3,0,0,"[34, 12, 0, 2, 20]",0
9.3,[],[],[],[],,0,0,0,0,"[44, 88, 126, 127]",0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 62, 57]","[48, 59, 58]",p,0,3,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 53, 56, 62]","[82, 47, 58, 42]",p,0,4,0,0,"[108, 18, 0]",0
9.9,[],[],[],[],,0,0,0,0,"[4, 50]",0
10.0,[],[],[],[],,0,0,0,0,"[68, 88, 104, 120, 127]",0
10.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 56]","[65, 59, 59]",p,0,3,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,"[114, 20, 0]",0
10.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[52, 71, 62, 56]","[61, 74, 48, 59]",p,0,4,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,"[36, 64, 86, 104, 124, 127]",0
10.7,[],[],[],[],,0,0,0,0,0,0
10.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 56, 62]","[52, 44, 62]",p,0,3,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 56]","[65, 68, 70]",mp,0,3,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 56]","[70, 63, 70]",mp,0,3,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 55]","[63, 59, 63]",p,0,3,0,0,"[90, 0]",0
11.9,[],[],[],[],,0,0,0,0,0,0
12.0,[],[],[],[],,0,0,0,0,"[44, 72, 96, 116, 127]",0
12.1,['note_on'],[0],[52],[63],mp,0,1,0,0,0,0
12.2,"['note_on', 'note_on']","[0, 0]","[62, 55]","[62, 57]",p,0,2,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[61, 52, 70, 55]","[59, 48, 69, 45]",p,0,4,0,0,"[102, 68, 32, 1, 0]",0
12.6,[],[],[],[],,0,0,0,0,"[4, 32, 58, 96]",0
12.7,[],[],[],[],,0,0,0,0,"[116, 127]",0
12.8,['note_on'],[0],[61],[59],p,0,1,0,0,0,0
12.9,"['note_on', 'note_on']","[0, 0]","[52, 55]","[49, 52]",p,0,2,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,102,0
13.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[69, 61, 52]","[70, 47, 54]",p,0,3,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,"[22, 80, 104, 126, 127]",0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 60, 55]","[38, 54, 43]",pp,0,3,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,0,0
13.7,[],[],[],[],,0,0,0,0,0,0
