sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[60],[44],pp,0,1,100,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,['note_on'],[0],[64],[48],pp,0,1,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,['note_on'],[0],[67],[54],p,0,1,0,0,0,0
0.5,['note_on'],[0],[72],[52],p,0,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,['note_on'],[0],[76],[54],p,0,1,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[67],[48],pp,0,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,['note_on'],[0],[72],[46],pp,0,1,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,['note_on'],[0],[76],[46],pp,0,1,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[60],[50],p,0,1,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,['note_on'],[0],[64],[58],p,0,1,0,0,0,0
1.8,['note_on'],[0],[67],[58],p,0,1,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[72],[67],mp,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[76],[62],mp,0,1,0,0,"[20, 127]",0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[67],[52],p,0,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[72],[41],pp,0,1,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,['note_on'],[0],[76],[49],p,0,1,0,0,0,0
2.9,['note_on'],[0],[60],[45],pp,0,1,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,['note_on'],[0],[62],[49],p,0,1,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,['note_on'],[0],[69],[45],pp,0,1,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,['note_on'],[0],[74],[48],pp,0,1,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,['note_on'],[0],[77],[60],p,0,1,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,['note_on'],[0],[69],[54],p,0,1,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[74],[54],p,0,1,0,0,0,0
4.2,['note_on'],[0],[77],[65],mp,0,1,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,['note_on'],[0],[60],[58],p,0,1,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,['note_on'],[0],[62],[52],p,0,1,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,['note_on'],[0],[69],[54],p,0,1,0,0,127,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,['note_on'],[0],[74],[60],p,0,1,0,0,0,0
5.2,['note_on'],[0],[77],[62],mp,0,1,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,['note_on'],[0],[69],[52],p,0,1,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[74],[60],p,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[77],[62],mp,0,1,0,0,0,0
5.9,['note_on'],[0],[59],[44],pp,0,1,0,0,0,0
