sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,"[122, 100, 78, 60, 40, 24, 12, 8, 6, 8]",0
0.3,[],[],[],[],,0,0,0,0,"[6, 2, 1, 2, 6, 10, 16, 28, 40]",0
0.4,[],[],[],[],,0,0,0,0,"[68, 110, 127]",0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,112,0
2.0,['note_on'],[0],[59],[45],pp,0,1,0,0,"[92, 76, 64, 52, 42, 32, 22, 12, 4, 0]",0
2.1,[],[],[],[],,0,0,0,0,"[4, 12, 20, 36, 54, 68, 110, 127]",0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[71],[60],p,0,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 59, 64, 55]","[68, 43, 35, 34]",pp,0,4,0,0,"[90, 62, 38, 16, 1, 0]",0
2.8,[],[],[],[],,0,0,0,0,"[4, 22, 38, 62, 80, 102, 127]",0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[34, 32, 35]",ppp,0,3,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[35, 45, 36]",pp,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[29, 35, 35]",ppp,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[37, 31, 42]",pp,0,3,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 55, 64]","[35, 35, 33]",ppp,0,3,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 59, 55, 64]","[70, 37, 36, 32]",pp,0,4,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 59, 64]","[42, 46, 31]",pp,0,3,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 57, 54, 64]","[71, 45, 41, 34]",pp,0,4,0,0,"[70, 6, 0]",0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,"[65, 92, 127]",0
5.6,"['note_on', 'note_on']","[0, 0]","[64, 54]","[36, 31]",ppp,0,2,0,0,0,0
5.7,['note_on'],[0],[57],[36],pp,0,1,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 54]","[36, 34, 35]",ppp,0,3,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 54]","[42, 43, 40]",pp,0,3,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 54, 57]","[35, 46, 36]",pp,0,3,0,0,"[98, 40, 16, 1, 0, 2, 10, 18]",0
6.7,[],[],[],[],,0,0,0,0,"[30, 42, 58, 66, 84, 100, 120, 127]",0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,['note_on'],[0],[63],[38],pp,0,1,0,0,0,0
7.0,"['note_on', 'note_on']","[0, 0]","[57, 54]","[39, 39]",pp,0,2,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 63, 54, 57]","[63, 33, 38, 37]",pp,0,4,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on']","[0, 0]","[63, 54]","[35, 44]",pp,0,2,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,['note_on'],[0],[63],[40],pp,0,1,0,0,"[108, 16, 0]",0
8.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[71, 53, 57]","[63, 42, 40]",pp,0,3,0,0,"[12, 32, 62]",0
8.1,[],[],[],[],,0,0,0,0,"[82, 127]",0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[32, 38, 38]",pp,0,3,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 57, 53]","[38, 34, 35]",ppp,0,3,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,"['note_on', 'note_on']","[0, 0]","[63, 57]","[36, 33]",ppp,0,2,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,['note_on'],[0],[62],[39],pp,0,1,0,0,"[124, 94, 42, 28]",0
9.3,"['note_on', 'note_on']","[0, 0]","[53, 57]","[33, 45]",pp,0,2,0,0,"[18, 14, 16, 20, 28, 36, 46, 60, 72, 90, 106, 126, 127]",0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 53]","[36, 42, 35]",pp,0,3,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,96,0
10.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 56, 62, 53]","[70, 44, 36, 36]",pp,0,4,0,0,"[65, 38, 18, 8, 2, 6, 12, 20, 32, 44, 62, 74, 92]",0
10.1,[],[],[],[],,0,0,0,0,"[110, 127]",0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 53, 62]","[48, 40, 35]",pp,0,3,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 56, 71, 52]","[38, 42, 71, 42]",pp,0,4,0,0,"[102, 78, 26]",0
10.7,[],[],[],[],,0,0,0,0,"[4, 0, 2]",0
10.8,[],[],[],[],,0,0,0,0,"[24, 104, 127]",0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 52]","[35, 45, 38]",pp,0,3,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 52]","[36, 35, 35]",ppp,0,3,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[47, 36, 38]",pp,0,3,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,"['note_on', 'note_on']","[0, 0]","[62, 55]","[37, 39]",pp,0,2,0,0,"[116, 78, 44, 18, 1, 0, 6, 18]",0
12.0,['note_on'],[0],[52],[42],pp,0,1,0,0,"[30, 42, 62, 76, 94, 112, 127]",0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,[],[],[],[],,0,0,0,0,0,0
12.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 55, 52]","[45, 46, 35]",pp,0,3,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,"['note_on', 'note_on']","[0, 0]","[61, 55]","[36, 42]",pp,0,2,0,0,"[122, 90, 26, 2]",0
12.7,"['note_on', 'note_on']","[0, 0]","[52, 70]","[45, 68]",p,0,2,0,0,"[0, 2, 24]",0
12.8,[],[],[],[],,0,0,0,0,"[74, 100, 127]",0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 55, 52]","[42, 42, 35]",pp,0,3,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
