sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,"[110, 94, 86, 78]",0
0.2,[],[],[],[],,0,0,0,0,"[74, 72, 68, 65, 64, 60, 62, 65, 68, 76]",0
0.3,[],[],[],[],,0,0,0,0,"[82, 92, 104, 120, 127, 118, 108]",0
0.4,[],[],[],[],,0,0,0,0,"[100, 96, 90, 82, 74, 66, 62, 56, 54, 52, 50]",0
0.5,[],[],[],[],,0,0,0,0,"[46, 42, 38, 36, 34, 30, 28, 20, 10, 1, 0]",0
0.6,[],[],[],[],,0,0,0,0,"[1, 14, 30]",0
0.7,[],[],[],[],,0,0,0,0,"[68, 92, 114, 127]",0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[59],[59],p,0,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[70],[56],p,0,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 70, 59, 55]","[49, 67, 46, 47]",p,0,4,0,0,"[124, 96, 52, 32, 16, 2, 0]",0
2.8,[],[],[],[],,0,0,0,0,"[4, 14, 32, 46, 64, 82, 102, 127]",0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[40, 45, 42]",pp,0,3,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[48, 39, 47]",pp,0,3,0,0,0,0
