sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,"[1, 10, 18, 28]",0
1.3,[],[],[],[],,0,0,0,0,"[34, 42, 52, 60, 70, 80, 88, 98, 104, 112, 118, 124, 127]",0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[59],[65],mp,0,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[71],[76],mf,1,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,108,0
2.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 64, 59, 55]","[87, 51, 50, 50]",p,0,4,0,0,"[88, 66, 48, 30, 16, 2, 0, 6, 46]",0
2.8,[],[],[],[],,0,0,0,0,"[66, 84, 100, 116, 127]",0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[43, 54, 45]",pp,0,3,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[50, 39, 40]",pp,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[41, 37, 44]",pp,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[42, 46, 47]",pp,0,3,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 55, 64]","[46, 45, 39]",pp,0,3,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,"['note_on', 'note_on']","[0, 0]","[72, 59]","[86, 47]",mp,0,2,0,0,"[116, 100, 88, 74, 58, 48, 42]",0
4.7,"['note_on', 'note_on']","[0, 0]","[55, 64]","[46, 40]",pp,0,2,0,0,"[64, 78, 92, 108, 122, 127]",0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 59, 64]","[40, 55, 39]",pp,0,3,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,['note_on'],[0],[71],[75],mf,0,1,0,0,"[120, 98, 78, 58]",0
5.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 54]","[49, 39, 51]",pp,0,3,0,0,"[16, 0, 10, 30, 70, 90, 108, 124]",0
5.5,[],[],[],[],,0,0,0,0,127,0
5.6,['note_on'],[0],[64],[38],pp,0,1,0,0,0,0
5.7,"['note_on', 'note_on']","[0, 0]","[57, 54]","[40, 38]",pp,0,2,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,['note_on'],[0],[64],[44],pp,0,1,0,0,0,0
6.0,"['note_on', 'note_on']","[0, 0]","[57, 54]","[42, 45]",pp,0,2,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[51, 51, 51]",p,0,3,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 57, 54]","[51, 46, 50]",p,0,3,0,0,"[120, 102, 90, 74, 58, 46, 34, 28, 36, 48, 64, 80]",0
6.7,[],[],[],[],,0,0,0,0,"[98, 114, 127]",0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,['note_on'],[0],[63],[40],pp,0,1,0,0,0,0
7.0,"['note_on', 'note_on']","[0, 0]","[57, 54]","[42, 43]",pp,0,2,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,"[116, 98, 84, 70, 60]",0
7.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 63, 54, 57]","[86, 38, 45, 45]",p,0,4,0,0,"[54, 50, 52, 58, 66, 80, 94, 110, 126, 127]",0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on']","[0, 0]","[63, 54]","[39, 41]",pp,0,2,0,0,0,0
7.7,['note_on'],[0],[57],[46],pp,0,1,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,"[116, 102, 90, 76, 60, 44]",0
8.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[63, 71, 57, 53]","[42, 86, 43, 51]",p,0,4,0,0,"[28, 12, 1, 0, 1, 12, 40, 58, 66, 82, 96, 112]",0
8.1,[],[],[],[],,0,0,0,0,127,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[44, 46, 41]",pp,0,3,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 57, 53]","[45, 42, 42]",pp,0,3,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,['note_on'],[0],[63],[51],p,0,1,0,0,0,0
9.0,"['note_on', 'note_on']","[0, 0]","[53, 57]","[36, 40]",pp,0,2,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,"[112, 98, 88, 76, 65]",0
9.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 53]","[47, 49, 42]",pp,0,3,0,0,"[56, 48, 42, 46, 56, 68, 86, 100, 118, 127]",0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[54, 51, 45]",p,0,3,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[56, 62, 72, 53]","[52, 46, 82, 44]",p,0,4,0,0,"[126, 110, 96, 84, 72, 64, 60, 65, 76, 90, 102, 116]",0
10.1,[],[],[],[],,0,0,0,0,127,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 53]","[50, 50, 51]",p,0,3,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,0,0
10.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[56, 71, 52, 62]","[51, 76, 47, 40]",p,0,4,0,0,"[124, 106, 92, 76, 62, 44, 30, 16, 6, 1, 4]",0
10.8,[],[],[],[],,0,0,0,0,"[12, 28, 42, 60, 74, 90, 104, 120, 127]",0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[44, 38, 40]",pp,0,3,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[50, 40, 43]",pp,0,3,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[48, 42, 43]",pp,0,3,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,[],[],[],[],,0,0,0,0,"[126, 110, 96, 84, 70, 58]",0
12.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 55]","[40, 42, 51]",pp,0,3,0,0,"[48, 42, 38, 40, 46, 58, 68, 84, 96, 110, 124, 127]",0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,[],[],[],[],,0,0,0,0,0,0
12.3,"['note_on', 'note_on']","[0, 0]","[52, 62]","[55, 57]",p,0,2,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,"['note_on', 'note_on']","[0, 0]","[61, 70]","[52, 81]",mp,0,2,0,0,"[114, 102, 92, 82, 72, 65]",0
12.7,"['note_on', 'note_on']","[0, 0]","[55, 52]","[47, 46]",pp,0,2,0,0,"[60, 58, 60, 65, 74, 84, 92, 104, 118, 127]",0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
