sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[59],[51],p,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[71],[63],mp,0,1,0,0,0,0
2.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[71, 59, 64]","[68, 44, 44]",p,0,3,0,0,0,0
2.7,['note_on'],[0],[55],[48],pp,0,1,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[45, 37, 44]",pp,0,3,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 55, 64]","[51, 38, 38]",pp,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 59, 64]","[38, 44, 37]",pp,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 59, 64]","[44, 47, 38]",pp,0,3,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,"['note_on', 'note_on']","[0, 0]","[55, 59]","[38, 48]",pp,0,2,0,0,0,0
4.3,['note_on'],[0],[64],[34],ppp,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 59, 55, 64]","[77, 49, 47, 38]",p,0,4,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[60, 48, 44]",p,0,3,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 64, 57, 54]","[71, 42, 49, 44]",p,0,4,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 54]","[54, 49, 46]",p,0,3,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,['note_on'],[0],[64],[51],p,0,1,0,0,0,0
6.0,"['note_on', 'note_on']","[0, 0]","[57, 54]","[45, 43]",pp,0,2,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 54]","[73, 48, 46]",p,0,3,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,"['note_on', 'note_on']","[0, 0]","[63, 54]","[66, 48]",p,0,2,0,0,0,0
6.7,['note_on'],[0],[57],[42],pp,0,1,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 54, 57]","[64, 50, 48]",p,0,3,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,"[84, 127]",0
7.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 63, 54, 57]","[78, 58, 48, 45]",p,0,4,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on']","[0, 0]","[63, 54]","[58, 44]",p,0,2,0,0,0,0
7.7,['note_on'],[0],[57],[41],pp,0,1,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 63, 57, 53]","[78, 64, 41, 45]",p,0,4,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,['note_on'],[0],[63],[68],mp,0,1,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,['note_on'],[0],[63],[72],mp,0,1,0,0,0,0
8.7,"['note_on', 'note_on']","[0, 0]","[53, 57]","[42, 37]",pp,0,2,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,['note_on'],[0],[63],[72],mp,0,1,0,0,0,0
9.0,"['note_on', 'note_on']","[0, 0]","[53, 57]","[45, 39]",pp,0,2,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 53]","[60, 54, 45]",p,0,3,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 53]","[57, 54, 48]",p,0,3,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,['note_on'],[0],[72],[80],mf,1,1,0,0,0,0
10.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 53]","[64, 67, 60]",mp,0,3,0,0,0,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 53]","[58, 54, 51]",p,0,3,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[71, 62, 56]","[73, 48, 51]",p,0,3,0,0,0,0
10.7,['note_on'],[0],[52],[51],p,0,1,0,0,0,0
10.8,[],[],[],[],,0,0,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,118,0
11.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 52]","[48, 51, 45]",pp,0,3,0,0,"[104, 92, 76, 60, 38, 12, 0]",0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 52]","[54, 49, 44]",p,0,3,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 52]","[54, 52, 48]",p,0,3,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,"['note_on', 'note_on']","[0, 0]","[62, 52]","[61, 57]",p,0,2,0,0,0,0
12.0,['note_on'],[0],[55],[60],p,0,1,0,0,0,0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,[],[],[],[],,0,0,0,0,0,0
12.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 55]","[57, 52, 58]",p,0,3,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[70, 61, 52, 55]","[72, 54, 44, 54]",p,0,4,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,"[120, 127]",0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 52, 55]","[50, 47, 48]",pp,0,3,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 60, 52, 55]","[63, 48, 41, 52]",p,0,4,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,0,0
13.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 55, 52]","[47, 48, 48]",pp,0,3,0,0,0,0
13.8,[],[],[],[],,0,0,0,0,0,0
13.9,[],[],[],[],,0,0,0,0,0,0
14.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 52, 60]","[48, 49, 45]",pp,0,3,0,0,0,0
14.1,[],[],[],[],,0,0,0,0,0,0
14.2,[],[],[],[],,0,0,0,0,0,0
14.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 52, 55]","[55, 49, 58]",p,0,3,0,0,0,0
