sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 62]","[77, 80, 72]",mf,1,3,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 62, 57]","[79, 87, 84, 79]",mf,1,4,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 64]","[75, 77, 75]",mf,0,3,0,0,0,0
0.8,['note_on'],[0],[76],[71],mp,0,1,0,0,0,0
0.9,['note_on'],[0],[76],[92],f,1,1,0,0,0,0
1.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 62, 57]","[91, 86, 84]",mf,1,3,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 62]","[79, 80, 77]",mf,1,3,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[71, 64, 62, 57, 72]","[85, 85, 86, 78, 44]",mf,0,5,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,['note_on'],[0],[64],[75],mf,0,1,0,0,0,0
1.8,"['note_on', 'note_on']","[0, 0]","[57, 62]","[67, 74]",mp,0,2,0,0,0,0
1.9,['note_on'],[0],[67],[78],mf,1,1,0,0,0,0
2.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[67, 64, 62, 57]","[86, 91, 84, 80]",mf,1,4,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[66, 64, 62, 57, 59]","[94, 84, 78, 75, 63]",mf,1,5,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
