sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[64],[59],p,0,1,127,0,0,64
0.1,['note_on'],[0],[67],[65],mp,0,1,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,['note_on'],[0],[72],[62],mp,0,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,['note_on'],[0],[76],[62],mp,0,1,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
0.9,['note_on'],[0],[72],[63],mp,0,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,['note_on'],[0],[76],[68],mp,0,1,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,"[114, 100, 86, 74, 64]",0
1.4,['note_on'],[0],[60],[66],mp,0,1,0,0,"[58, 52, 50, 52, 54, 58, 62, 65, 68]",0
1.5,['note_on'],[0],[64],[52],p,0,1,0,0,"[72, 76, 80, 82, 88, 90, 94, 96, 98]",0
1.6,[],[],[],[],,0,0,0,0,"[100, 102, 104, 106, 108]",0
1.7,[],[],[],[],,0,0,0,0,110,0
1.8,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[72],[70],mp,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,"[112, 114, 118]",0
2.2,['note_on'],[0],[76],[68],mp,0,1,0,0,"[120, 124, 127]",0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[67],[63],mp,0,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[72],[68],mp,0,1,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,['note_on'],[0],[76],[63],mp,0,1,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,['note_on'],[0],[60],[65],mp,0,1,0,0,"[104, 76, 18, 0]",0
3.1,['note_on'],[0],[62],[59],p,0,1,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,"[20, 70, 88]",0
3.3,['note_on'],[0],[69],[65],mp,0,1,0,0,"[102, 114, 122, 127]",0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,['note_on'],[0],[74],[66],mp,0,1,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,['note_on'],[0],[77],[73],mp,0,1,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,['note_on'],[0],[69],[65],mp,0,1,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[74],[65],mp,0,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[77],[73],mp,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,['note_on'],[0],[60],[59],p,0,1,0,0,"[104, 74, 44, 0]",0
4.6,[],[],[],[],,0,0,0,0,1,0
4.7,['note_on'],[0],[62],[71],mp,0,1,0,0,"[10, 20, 34, 48, 58, 70, 84, 96, 106, 118]",0
4.8,[],[],[],[],,0,0,0,0,127,0
4.9,['note_on'],[0],[69],[62],mp,0,1,0,0,0,0
5.0,['note_on'],[0],[74],[62],mp,0,1,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,['note_on'],[0],[77],[63],mp,0,1,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,['note_on'],[0],[69],[62],mp,0,1,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[74],[62],mp,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[77],[71],mp,0,1,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,['note_on'],[0],[59],[63],mp,0,1,0,0,"[126, 110, 92, 68, 48, 6, 0]",0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,['note_on'],[0],[62],[63],mp,0,1,0,0,"[10, 30, 50]",0
6.3,[],[],[],[],,0,0,0,0,"[65, 74, 80, 82, 84, 86, 88, 90, 92, 94]",0
6.4,['note_on'],[0],[67],[62],mp,0,1,0,0,"[98, 102, 104, 106, 108, 110, 112, 114]",0
6.5,"['note_on', 'note_on']","[0, 0]","[62, 74]","[38, 63]",p,0,2,0,0,"[116, 118, 120, 122]",0
6.6,[],[],[],[],,0,0,0,0,"[124, 126]",0
6.7,['note_on'],[0],[77],[66],mp,0,1,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,['note_on'],[0],[67],[62],mp,0,1,0,0,127,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,['note_on'],[0],[74],[68],mp,0,1,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,['note_on'],[0],[77],[73],mp,0,1,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,['note_on'],[0],[59],[59],p,0,1,0,0,"[126, 118, 108, 94, 80, 62]",0
7.6,[],[],[],[],,0,0,0,0,"[42, 1, 0]",0
7.7,['note_on'],[0],[62],[51],p,0,1,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,"[30, 44, 56, 68, 76, 82, 86, 90, 94, 96]",0
7.9,['note_on'],[0],[67],[68],mp,0,1,0,0,"[98, 102, 104, 106, 108, 110, 112, 114]",0
8.0,['note_on'],[0],[74],[71],mp,0,1,0,0,"[116, 118, 120]",0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,['note_on'],[0],[77],[63],mp,0,1,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,"[122, 124]",0
8.6,['note_on'],[0],[74],[73],mp,0,1,0,0,126,0
8.7,[],[],[],[],,0,0,0,0,127,0
8.8,['note_on'],[0],[77],[70],mp,0,1,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,['note_on'],[0],[60],[47],pp,0,1,0,0,"[124, 116, 104, 90, 72, 56, 32, 8]",0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,['note_on'],[0],[64],[66],mp,0,1,0,0,0,0
9.3,['note_on'],[0],[67],[68],mp,0,1,0,0,"[2, 10, 20, 24, 30, 32, 38, 44, 50]",0
9.4,[],[],[],[],,0,0,0,0,"[56, 62, 66, 72, 78, 84, 88, 92, 96, 98]",0
9.5,['note_on'],[0],[72],[73],mp,0,1,0,0,"[100, 102, 104, 106, 108, 110, 112, 114, 118]",0
9.6,[],[],[],[],,0,0,0,0,"[120, 122, 124, 126]",0
9.7,['note_on'],[0],[76],[75],mf,0,1,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,127,0
9.9,['note_on'],[0],[67],[66],mp,0,1,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,['note_on'],[0],[72],[73],mp,0,1,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,['note_on'],[0],[76],[73],mp,0,1,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,['note_on'],[0],[60],[66],mp,0,1,0,0,"[126, 122, 114, 102, 86, 65, 44, 22, 1]",0
10.6,[],[],[],[],,0,0,0,0,0,0
10.7,['note_on'],[0],[64],[44],pp,0,1,0,0,0,0
10.8,[],[],[],[],,0,0,0,0,"[2, 20, 32, 48, 58, 66, 72, 78, 84]",0
10.9,['note_on'],[0],[67],[59],p,0,1,0,0,"[88, 92, 96, 98, 102, 104, 108, 110, 112, 116]",0
11.0,['note_on'],[0],[72],[66],mp,0,1,0,0,"[118, 120, 122, 124, 126, 127]",0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,['note_on'],[0],[76],[59],p,0,1,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,['note_on'],[0],[67],[65],mp,0,1,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,['note_on'],[0],[72],[70],mp,0,1,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,['note_on'],[0],[76],[75],mf,0,1,0,0,0,0
11.9,[],[],[],[],,0,0,0,0,0,0
12.0,['note_on'],[0],[60],[60],p,0,1,0,0,"[124, 110]",0
12.1,[],[],[],[],,0,0,0,0,"[92, 70, 46, 1, 0]",0
12.2,['note_on'],[0],[64],[71],mp,0,1,0,0,0,0
