sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[60],[35],ppp,0,1,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,['note_on'],[0],[64],[24],ppp,0,1,0,0,0,0
0.3,['note_on'],[0],[67],[31],ppp,0,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,['note_on'],[0],[72],[33],ppp,0,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,['note_on'],[0],[76],[42],pp,0,1,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[67],[36],pp,0,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,['note_on'],[0],[72],[38],pp,0,1,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,['note_on'],[0],[76],[35],ppp,0,1,0,0,0,0
1.4,['note_on'],[0],[60],[33],ppp,0,1,0,0,"[74, 42]",0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,['note_on'],[0],[64],[23],ppp,0,1,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,"[16, 30, 44, 56, 65, 72, 76, 80]",0
1.8,['note_on'],[0],[67],[36],pp,0,1,0,0,"[84, 88, 92, 96, 98, 102, 104, 106, 108]",0
1.9,[],[],[],[],,0,0,0,0,"[112, 114, 118, 120, 122, 126, 127]",0
2.0,['note_on'],[0],[72],[31],ppp,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[76],[33],ppp,0,1,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[67],[32],ppp,0,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[72],[37],pp,0,1,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,['note_on'],[0],[76],[32],ppp,0,1,0,0,0,0
2.9,['note_on'],[0],[60],[35],ppp,0,1,0,0,106,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,['note_on'],[0],[62],[32],ppp,0,1,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,"[2, 16, 26, 34, 42, 48]",0
3.3,['note_on'],[0],[69],[30],ppp,0,1,0,0,"[56, 62, 66, 72, 76, 80, 82, 86, 88, 90]",0
3.4,[],[],[],[],,0,0,0,0,"[94, 96, 98, 102, 104, 108]",0
3.5,['note_on'],[0],[74],[35],ppp,0,1,0,0,110,0
3.6,[],[],[],[],,0,0,0,0,"[112, 114, 118, 120, 122, 126]",0
3.7,['note_on'],[0],[77],[33],ppp,0,1,0,0,127,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,['note_on'],[0],[69],[31],ppp,0,1,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[74],[38],pp,0,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[77],[33],ppp,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,"[124, 96]",0
4.5,['note_on'],[0],[60],[30],ppp,0,1,0,0,"[40, 10, 0]",0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,['note_on'],[0],[62],[32],ppp,0,1,0,0,"[10, 26, 36, 46, 52]",0
4.8,['note_on'],[0],[69],[32],ppp,0,1,0,0,"[60, 65, 68, 72, 78, 80, 84, 86, 88, 90]",0
4.9,[],[],[],[],,0,0,0,0,"[92, 96, 98, 100, 102, 104]",0
5.0,['note_on'],[0],[74],[32],ppp,0,1,0,0,"[106, 108]",0
5.1,[],[],[],[],,0,0,0,0,"[110, 112, 114, 116, 118]",0
5.2,['note_on'],[0],[77],[27],ppp,0,1,0,0,"[120, 122, 124, 126, 127]",0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,['note_on'],[0],[69],[31],ppp,0,1,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[74],[37],pp,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[77],[30],ppp,0,1,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,112,0
6.0,['note_on'],[0],[59],[32],ppp,0,1,0,0,"[64, 0]",0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,['note_on'],[0],[62],[29],ppp,0,1,0,0,"[2, 10]",0
6.3,['note_on'],[0],[67],[28],ppp,0,1,0,0,"[20, 26, 32, 40, 44, 50, 56, 60, 65, 66]",0
6.4,[],[],[],[],,0,0,0,0,"[70, 72, 74, 76, 78, 80, 82, 84, 86, 88]",0
6.5,['note_on'],[0],[74],[37],pp,0,1,0,0,"[90, 92, 96, 98, 100, 102, 104]",0
6.6,[],[],[],[],,0,0,0,0,"[106, 108, 110]",0
6.7,['note_on'],[0],[77],[35],ppp,0,1,0,0,112,0
6.8,[],[],[],[],,0,0,0,0,"[114, 116, 118, 120]",0
6.9,['note_on'],[0],[67],[38],pp,0,1,0,0,"[122, 124, 126, 127]",0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,['note_on'],[0],[74],[39],pp,0,1,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,['note_on'],[0],[77],[40],pp,0,1,0,0,0,0
7.4,['note_on'],[0],[59],[37],pp,0,1,0,0,"[114, 92, 42]",0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,['note_on'],[0],[62],[35],ppp,0,1,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,"[1, 14, 26, 34, 44, 52]",0
7.8,['note_on'],[0],[67],[42],pp,0,1,0,0,"[58, 64, 66, 72, 74, 78, 80, 82, 84, 88]",0
7.9,[],[],[],[],,0,0,0,0,"[90, 92, 94, 96]",0
8.0,['note_on'],[0],[74],[42],pp,0,1,0,0,"[98, 100, 102, 104]",0
8.1,[],[],[],[],,0,0,0,0,"[106, 108, 110]",0
8.2,['note_on'],[0],[77],[43],pp,0,1,0,0,112,0
8.3,[],[],[],[],,0,0,0,0,114,0
8.4,['note_on'],[0],[67],[40],pp,0,1,0,0,116,0
8.5,[],[],[],[],,0,0,0,0,118,0
8.6,['note_on'],[0],[74],[43],pp,0,1,0,0,120,0
8.7,['note_on'],[0],[77],[47],pp,0,1,0,0,"[122, 124, 126]",0
8.8,[],[],[],[],,0,0,0,0,127,0
8.9,['note_on'],[0],[60],[36],pp,0,1,0,0,"[124, 114, 102]",0
9.0,[],[],[],[],,0,0,0,0,"[84, 64, 48, 30, 14, 0]",0
9.1,['note_on'],[0],[64],[33],ppp,0,1,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,['note_on'],[0],[67],[40],pp,0,1,0,0,"[8, 20, 28, 36, 42]",0
9.4,[],[],[],[],,0,0,0,0,"[50, 54, 58, 62, 66, 68, 72, 76, 78]",0
9.5,['note_on'],[0],[72],[40],pp,0,1,0,0,"[80, 82, 84, 86, 88, 90, 92]",0
9.6,[],[],[],[],,0,0,0,0,"[94, 96, 98, 100, 102, 104]",0
9.7,['note_on'],[0],[76],[46],pp,0,1,0,0,"[108, 110, 112, 114]",0
9.8,[],[],[],[],,0,0,0,0,116,0
9.9,['note_on'],[0],[67],[40],pp,0,1,0,0,118,0
10.0,[],[],[],[],,0,0,0,0,120,0
10.1,['note_on'],[0],[72],[43],pp,0,1,0,0,"[122, 124]",0
10.2,[],[],[],[],,0,0,0,0,"[126, 127]",0
10.3,['note_on'],[0],[76],[51],p,0,1,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,"[118, 98, 72]",0
10.5,['note_on'],[0],[60],[36],pp,0,1,0,0,"[6, 0]",0
10.6,[],[],[],[],,0,0,0,0,0,0
10.7,['note_on'],[0],[64],[33],ppp,0,1,0,0,"[10, 26, 38, 46, 54, 62, 66]",0
10.8,['note_on'],[0],[67],[40],pp,0,1,0,0,"[72, 76, 78, 82, 86, 88, 90, 92, 94, 96]",0
10.9,[],[],[],[],,0,0,0,0,"[98, 100]",0
11.0,['note_on'],[0],[72],[46],pp,0,1,0,0,102,0
11.1,[],[],[],[],,0,0,0,0,104,0
11.2,['note_on'],[0],[76],[47],pp,0,1,0,0,"[106, 108]",0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,['note_on'],[0],[67],[47],pp,0,1,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,110,0
11.6,['note_on'],[0],[72],[47],pp,0,1,0,0,"[112, 114]",0
11.7,[],[],[],[],,0,0,0,0,"[116, 118]",0
11.8,['note_on'],[0],[76],[55],p,0,1,0,0,120,0
11.9,[],[],[],[],,0,0,0,0,0,0
12.0,['note_on'],[0],[60],[39],pp,0,1,0,0,"[118, 110, 94, 78, 56, 32]",0
12.1,[],[],[],[],,0,0,0,0,"[8, 0]",0
12.2,['note_on'],[0],[64],[44],pp,0,1,0,0,0,0
12.3,['note_on'],[0],[69],[42],pp,0,1,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,"[6, 16, 26, 34, 44, 50, 56, 62]",0
12.5,['note_on'],[0],[76],[53],p,0,1,0,0,"[66, 72, 78, 82, 86, 90, 92, 96, 98]",0
12.6,[],[],[],[],,0,0,0,0,"[100, 102, 104, 108]",0
12.7,['note_on'],[0],[81],[61],p,0,1,0,0,"[110, 112, 114]",0
12.8,[],[],[],[],,0,0,0,0,"[116, 118]",0
12.9,['note_on'],[0],[69],[51],p,0,1,0,0,"[120, 122]",0
13.0,[],[],[],[],,0,0,0,0,"[124, 126]",0
13.1,['note_on'],[0],[76],[65],mp,0,1,0,0,127,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,['note_on'],[0],[81],[67],mp,0,1,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,"[120, 106]",0
13.5,['note_on'],[0],[60],[53],p,0,1,0,0,"[64, 42, 20, 0]",0
13.6,[],[],[],[],,0,0,0,0,0,0
13.7,['note_on'],[0],[64],[42],pp,0,1,0,0,0,0
13.8,['note_on'],[0],[69],[43],pp,0,1,0,0,"[10, 20, 32, 44]",0
13.9,[],[],[],[],,0,0,0,0,"[50, 58, 65, 72, 76, 80, 84, 90, 94, 98]",0
14.0,['note_on'],[0],[76],[55],p,0,1,0,0,"[100, 102, 104, 106, 108]",0
14.1,[],[],[],[],,0,0,0,0,"[110, 112, 114, 116, 118]",0
14.2,['note_on'],[0],[81],[60],p,0,1,0,0,"[120, 122, 124]",0
14.3,[],[],[],[],,0,0,0,0,"[126, 127]",0
14.4,['note_on'],[0],[69],[47],pp,0,1,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,0,0
14.6,['note_on'],[0],[76],[51],p,0,1,0,0,0,0
14.7,[],[],[],[],,0,0,0,0,0,0
14.8,['note_on'],[0],[81],[52],p,0,1,0,0,0,0
14.9,[],[],[],[],,0,0,0,0,0,0
15.0,['note_on'],[0],[60],[24],ppp,0,1,0,0,"[124, 110, 92, 72]",0
15.1,['note_on'],[0],[62],[35],ppp,0,1,0,0,0,0
15.2,[],[],[],[],,0,0,0,0,0,0
15.3,[],[],[],[],,0,0,0,0,0,0
15.4,['note_on'],[0],[66],[28],ppp,0,1,0,0,"[2, 10, 18, 24, 30, 38, 44, 48]",0
15.5,['note_on'],[0],[69],[32],ppp,0,1,0,0,"[52, 56, 58, 62, 65, 66, 68, 72]",0
15.6,[],[],[],[],,0,0,0,0,"[74, 76, 78, 80, 82, 84, 86, 88]",0
15.7,['note_on'],[0],[74],[37],pp,0,1,0,0,"[90, 92, 94, 96]",0
15.8,[],[],[],[],,0,0,0,0,"[98, 100]",0
15.9,['note_on'],[0],[66],[32],ppp,0,1,0,0,0,0
16.0,[],[],[],[],,0,0,0,0,0,0
16.1,['note_on'],[0],[69],[35],ppp,0,1,0,0,0,0
16.2,[],[],[],[],,0,0,0,0,0,0
16.3,['note_on'],[0],[74],[28],ppp,0,1,0,0,0,0
16.4,['note_on'],[0],[60],[29],ppp,0,1,0,0,"[96, 84, 64]",0
16.5,[],[],[],[],,0,0,0,0,0,0
16.6,['note_on'],[0],[62],[33],ppp,0,1,0,0,0,0
16.7,[],[],[],[],,0,0,0,0,"[10, 26, 38, 48, 56, 62]",0
16.8,['note_on'],[0],[66],[28],ppp,0,1,0,0,"[66, 72, 78, 82, 84, 88, 90, 92, 94, 96]",0
16.9,[],[],[],[],,0,0,0,0,98,0
17.0,['note_on'],[0],[69],[36],pp,0,1,0,0,0,0
17.1,[],[],[],[],,0,0,0,0,0,0
17.2,['note_on'],[0],[74],[30],ppp,0,1,0,0,100,0
17.3,[],[],[],[],,0,0,0,0,0,0
17.4,['note_on'],[0],[66],[30],ppp,0,1,0,0,102,0
17.5,[],[],[],[],,0,0,0,0,"[104, 106]",0
17.6,['note_on'],[0],[69],[39],pp,0,1,0,0,"[108, 110, 112]",0
17.7,[],[],[],[],,0,0,0,0,"[114, 116, 118, 120]",0
17.8,['note_on'],[0],[74],[43],pp,0,1,0,0,0,0
17.9,['note_on'],[0],[59],[43],pp,0,1,0,0,"[114, 104, 82, 60, 36, 8, 0]",0
18.0,[],[],[],[],,0,0,0,0,0,0
18.1,['note_on'],[0],[62],[37],pp,0,1,0,0,0,0
18.2,[],[],[],[],,0,0,0,0,"[4, 16, 26, 34, 44, 52, 58]",0
18.3,['note_on'],[0],[67],[43],pp,0,1,0,0,"[65, 68, 72, 78, 80, 82, 86, 88, 90, 94]",0
18.4,[],[],[],[],,0,0,0,0,"[96, 98, 100, 102, 104, 108]",0
18.5,['note_on'],[0],[74],[52],p,0,1,0,0,"[112, 114, 116, 118]",0
18.6,[],[],[],[],,0,0,0,0,120,0
18.7,['note_on'],[0],[79],[61],p,0,1,0,0,0,0
18.8,[],[],[],[],,0,0,0,0,0,0
18.9,['note_on'],[0],[67],[49],p,0,1,0,0,0,0
19.0,[],[],[],[],,0,0,0,0,0,0
19.1,['note_on'],[0],[74],[61],p,0,1,0,0,0,0
19.2,[],[],[],[],,0,0,0,0,122,0
19.3,['note_on'],[0],[79],[67],mp,0,1,0,0,0,0
19.4,['note_on'],[0],[59],[49],p,0,1,0,0,118,0
19.5,[],[],[],[],,0,0,0,0,"[106, 82, 58, 30, 0]",0
19.6,['note_on'],[0],[62],[44],pp,0,1,0,0,0,0
19.7,[],[],[],[],,0,0,0,0,"[2, 26, 44, 60, 66, 74, 80]",0
