sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,100,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,"['note_on', 'note_on']","[0, 0]","[81, 57]","[85, 56]",mp,0,2,0,0,0,0
0.9,['note_on'],[0],[69],[56],p,0,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,['note_on'],[0],[52],[61],p,0,1,0,0,0,0
1.2,"['note_on', 'note_on']","[0, 0]","[76, 64]","[81, 60]",mp,0,2,0,0,"[4, 30]",0
1.3,[],[],[],[],,0,0,0,0,"[50, 64, 78, 88, 94, 100, 104, 106, 104]",0
1.4,[],[],[],[],,0,0,0,0,"[100, 96, 90, 80, 66, 50, 30, 4, 0]",0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[64],[46],pp,0,1,0,0,0,0
2.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 50]","[30, 56, 49]",pp,0,3,0,0,0,0
2.2,"['note_on', 'note_on']","[0, 0]","[49, 61]","[40, 58]",p,0,2,0,0,0,0
2.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 47, 45, 57]","[48, 53, 45, 49]",pp,0,4,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
