sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[70],[48],pp,0,1,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,"[14, 44, 74, 104]",0
3.1,[],[],[],[],,0,0,0,0,127,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,"[126, 48]",0
3.5,"['note_on', 'note_on']","[0, 0]","[79, 39]","[68, 57]",mp,0,2,0,0,"[0, 2]",0
3.6,[],[],[],[],,0,0,0,0,"[24, 94, 127]",0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,"['note_on', 'note_on']","[0, 0]","[55, 63]","[55, 56]",p,0,2,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[58, 67, 63]","[56, 58, 56]",p,0,3,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,"[120, 104, 92, 82, 74, 70, 65, 64]",0
5.3,['note_on'],[0],[51],[61],p,0,1,0,0,"[65, 72, 82, 94, 112, 127]",0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,118,0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[77, 62, 56]","[67, 60, 57]",p,0,3,0,0,"[104, 92, 78, 65, 56, 48, 42, 44, 48]",0
6.0,[],[],[],[],,0,0,0,0,"[56, 62, 70, 82, 96, 112, 127]",0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[68, 79, 59, 62]","[65, 75, 57, 55]",mp,0,4,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,"[72, 38, 4, 0]",0
7.1,"['note_on', 'note_on']","[0, 0]","[77, 39]","[69, 67]",mp,0,2,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,"[24, 94, 127]",0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,"['note_on', 'note_on']","[0, 0]","[63, 55]","[56, 54]",p,0,2,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[58, 63, 67]","[55, 56, 59]",p,0,3,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,"[102, 42, 12, 0]",0
8.9,"['note_on', 'note_on']","[0, 0]","[75, 38]","[66, 59]",mp,0,2,0,0,"[20, 44, 96]",0
9.0,[],[],[],[],,0,0,0,0,127,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on']","[0, 0]","[63, 55]","[55, 59]",p,0,2,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[70, 58, 67, 63]","[74, 55, 55, 56]",p,0,4,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,"[126, 94, 22, 0]",0
10.7,"['note_on', 'note_on']","[0, 0]","[79, 36]","[77, 56]",mp,0,2,0,0,"[12, 34, 64]",0
10.8,[],[],[],[],,0,0,0,0,"[92, 122, 127]",0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,"['note_on', 'note_on']","[0, 0]","[55, 64]","[65, 59]",mp,0,2,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[67, 58, 64]","[56, 51, 56]",p,0,3,0,0,0,0
11.9,['note_on'],[0],[72],[67],mp,0,1,0,0,0,0
12.0,['note_on'],[0],[73],[74],mp,0,1,0,0,0,0
12.1,['note_on'],[0],[72],[69],mp,0,1,0,0,0,0
12.2,['note_on'],[0],[71],[83],mf,1,1,0,0,0,0
12.3,['note_on'],[0],[72],[77],mf,1,1,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,"['note_on', 'note_on']","[0, 0]","[48, 84]","[60, 78]",mp,0,2,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,"[2, 30, 64, 92, 127]",0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,['note_on'],[0],[55],[66],mp,0,1,0,0,0,0
13.1,['note_on'],[0],[64],[59],p,0,1,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[70, 79, 60, 64]","[58, 77, 57, 55]",p,0,4,0,0,0,0
13.7,[],[],[],[],,0,0,0,0,0,0
13.8,[],[],[],[],,0,0,0,0,0,0
13.9,[],[],[],[],,0,0,0,0,0,0
14.0,[],[],[],[],,0,0,0,0,0,0
14.1,[],[],[],[],,0,0,0,0,"[104, 70, 36, 0]",0
14.2,"['note_on', 'note_on']","[0, 0]","[82, 41]","[77, 62]",mp,0,2,0,0,0,0
14.3,[],[],[],[],,0,0,0,0,127,0
14.4,[],[],[],[],,0,0,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,0,0
14.6,[],[],[],[],,0,0,0,0,0,0
14.7,[],[],[],[],,0,0,0,0,0,0
14.8,['note_on'],[0],[53],[59],p,0,1,0,0,0,0
14.9,['note_on'],[0],[61],[55],p,0,1,0,0,0,0
15.0,[],[],[],[],,0,0,0,0,0,0
15.1,[],[],[],[],,0,0,0,0,0,0
15.2,[],[],[],[],,0,0,0,0,0,0
15.3,[],[],[],[],,0,0,0,0,0,0
15.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 61, 58]","[65, 59, 57]",p,0,3,0,0,0,0
15.5,[],[],[],[],,0,0,0,0,0,0
15.6,[],[],[],[],,0,0,0,0,0,0
15.7,[],[],[],[],,0,0,0,0,0,0
15.8,[],[],[],[],,0,0,0,0,0,0
15.9,[],[],[],[],,0,0,0,0,"[68, 0]",0
16.0,"['note_on', 'note_on']","[0, 0]","[41, 80]","[61, 72]",mp,0,2,0,0,36,0
16.1,[],[],[],[],,0,0,0,0,"[66, 127]",0
16.2,[],[],[],[],,0,0,0,0,0,0
16.3,[],[],[],[],,0,0,0,0,0,0
16.4,[],[],[],[],,0,0,0,0,0,0
16.5,[],[],[],[],,0,0,0,0,0,0
