sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,"[118, 104, 94, 86, 82, 86, 90]",0
0.5,[],[],[],[],,0,0,0,0,"[94, 102, 114, 127]",0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[59],[51],p,0,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[71],[57],p,0,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,"['note_on', 'note_on']","[0, 0]","[71, 64]","[80, 50]",mp,0,2,0,0,"[116, 94, 72, 56, 42, 34]",0
2.8,[],[],[],[],,0,0,0,0,"[28, 34, 42, 56, 72, 90, 110, 127]",0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on']","[0, 0]","[64, 55]","[53, 50]",p,0,2,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on']","[0, 0]","[64, 55]","[61, 55]",p,0,2,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 58, 55]","[40, 48, 38]",pp,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 58, 55]","[42, 45, 40]",pp,0,3,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[58, 63, 54]","[44, 48, 41]",pp,0,3,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 63, 54, 58]","[82, 43, 46, 40]",p,0,4,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,"['note_on', 'note_on']","[0, 0]","[63, 54]","[52, 50]",p,0,2,0,0,0,0
5.0,['note_on'],[0],[58],[42],pp,0,1,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,124,0
5.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[63, 71, 57, 53]","[51, 78, 50, 53]",p,0,4,0,0,"[100, 80, 62, 44, 30, 18, 10, 4, 1, 0, 1, 6, 14]",0
5.4,[],[],[],[],,0,0,0,0,"[26, 40, 60, 76, 98, 124, 127]",0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[63],[53],p,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,['note_on'],[0],[63],[57],p,0,1,0,0,"[126, 124]",0
6.0,"['note_on', 'note_on']","[0, 0]","[57, 53]","[43, 40]",pp,0,2,0,0,"[126, 127]",0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,['note_on'],[0],[63],[68],mp,0,1,0,0,0,0
6.3,['note_on'],[0],[53],[40],pp,0,1,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,"[120, 104, 94]",0
6.6,"['note_on', 'note_on']","[0, 0]","[62, 53]","[74, 41]",p,0,2,0,0,"[88, 82, 80, 84, 88, 92, 98, 106, 118, 127]",0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,"['note_on', 'note_on']","[0, 0]","[62, 53]","[50, 40]",pp,0,2,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[72, 62, 53]","[94, 66, 53]",mp,0,3,0,0,"[120, 100, 88, 78, 70, 66, 65]",0
7.3,[],[],[],[],,0,0,0,0,"[66, 70, 74, 80, 88, 96, 110, 124, 127]",0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on']","[0, 0]","[53, 62]","[52, 53]",p,0,2,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[71, 63, 53]","[82, 55, 42]",p,0,3,0,0,"[120, 100, 86, 76, 66, 64, 62, 60]",0
8.0,['note_on'],[0],[57],[47],pp,0,1,0,0,"[64, 68, 76, 84, 94, 106, 122, 127]",0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,['note_on'],[0],[63],[47],pp,0,1,0,0,0,0
8.3,"['note_on', 'note_on']","[0, 0]","[53, 57]","[39, 40]",pp,0,2,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 57, 53]","[59, 45, 42]",pp,0,3,0,0,"[126, 118, 112, 108, 114, 118, 124]",0
8.7,[],[],[],[],,0,0,0,0,127,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,['note_on'],[0],[63],[56],p,0,1,0,0,0,0
9.0,"['note_on', 'note_on']","[0, 0]","[53, 57]","[39, 41]",pp,0,2,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,118,0
9.3,"['note_on', 'note_on']","[0, 0]","[62, 53]","[62, 42]",p,0,2,0,0,"[100, 86, 74, 65, 62, 58, 56, 58, 62, 66, 74, 84]",0
9.4,[],[],[],[],,0,0,0,0,"[96, 112, 127]",0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,"['note_on', 'note_on']","[0, 0]","[62, 53]","[59, 57]",p,0,2,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,"['note_on', 'note_on']","[0, 0]","[62, 72]","[59, 74]",mp,0,2,0,0,"[120, 102, 88]",0
10.0,"['note_on', 'note_on']","[0, 0]","[56, 52]","[50, 51]",p,0,2,0,0,"[78, 72, 66, 64, 62, 64, 66, 74, 80, 90, 100]",0
10.1,[],[],[],[],,0,0,0,0,"[116, 127]",0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 56]","[53, 51, 52]",p,0,3,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 71, 52]","[60, 80, 52]",mp,0,3,0,0,"[120, 98, 82, 68, 62]",0
10.7,['note_on'],[0],[56],[55],p,0,1,0,0,"[56, 62, 66, 78, 90, 104, 122, 127]",0
10.8,[],[],[],[],,0,0,0,0,0,0
10.9,['note_on'],[0],[62],[49],p,0,1,0,0,0,0
11.0,"['note_on', 'note_on']","[0, 0]","[52, 56]","[47, 56]",p,0,2,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,"[118, 108, 100]",0
11.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 55]","[55, 47, 59]",p,0,3,0,0,"[96, 92, 90, 92, 94, 98, 102, 110, 120, 127]",0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 55]","[51, 47, 55]",p,0,3,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 55]","[57, 53, 59]",p,0,3,0,0,"[120, 104, 94, 86, 80, 76, 74, 70]",0
12.0,[],[],[],[],,0,0,0,0,"[72, 76, 80, 86, 94, 104, 118, 127]",0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,"['note_on', 'note_on']","[0, 0]","[62, 52]","[53, 49]",p,0,2,0,0,0,0
12.3,['note_on'],[0],[55],[55],p,0,1,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[70, 51, 60, 55]","[81, 59, 64, 43]",p,0,4,0,0,"[122, 108, 96, 90, 84, 82, 80, 84]",0
12.7,[],[],[],[],,0,0,0,0,"[88, 92, 96, 104, 114, 124, 127]",0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,"['note_on', 'note_on']","[0, 0]","[60, 51]","[62, 55]",p,0,2,0,0,0,0
13.0,['note_on'],[0],[55],[52],p,0,1,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[49, 59, 69]","[66, 70, 78]",mp,0,3,0,0,"[124, 104, 88, 74, 65, 60, 56, 52, 50, 54, 58]",0
