sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[81, 69, 57]","[65, 60, 45]",p,0,3,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,"['note_on', 'note_on']","[0, 0]","[52, 76]","[56, 54]",p,0,2,0,0,"[16, 38, 58, 68, 80, 92, 104]",0
1.2,[],[],[],[],,0,0,0,0,"[114, 124, 127]",0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,"[100, 68, 0]",0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[52, 64, 50, 62]","[46, 54, 47, 52]",p,0,4,0,0,0,0
2.2,"['note_on', 'note_on']","[0, 0]","[49, 61]","[52, 43]",pp,0,2,0,0,0,0
2.3,"['note_on', 'note_on']","[0, 0]","[47, 59]","[44, 45]",pp,0,2,0,0,0,0
2.4,"['note_on', 'note_on']","[0, 0]","[57, 45]","[51, 49]",p,0,2,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,['note_on'],[0],[81],[91],f,1,1,0,0,0,0
3.3,"['note_on', 'note_on']","[0, 0]","[57, 69]","[79, 74]",mf,1,2,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 78, 66]","[94, 100, 100]",f,1,3,0,0,"[38, 65, 88, 104, 118, 127]",0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,"[116, 90]",0
4.2,[],[],[],[],,0,0,0,0,"[20, 0]",0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,"['note_on', 'note_on']","[0, 0]","[66, 54]","[66, 63]",mp,0,2,0,0,0,0
4.5,"['note_on', 'note_on']","[0, 0]","[52, 64]","[46, 54]",p,0,2,0,0,0,0
4.6,"['note_on', 'note_on']","[0, 0]","[62, 50]","[57, 43]",p,0,2,0,0,0,0
4.7,"['note_on', 'note_on']","[0, 0]","[49, 61]","[47, 70]",p,0,2,0,0,0,0
4.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[46, 59, 47]","[73, 76, 69]",mp,0,3,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[86, 62, 74]","[100, 82, 93]",f,1,3,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 83, 71]","[90, 100, 99]",f,1,3,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,['note_on'],[0],[80],[89],f,1,1,0,0,0,0
6.6,"['note_on', 'note_on']","[0, 0]","[56, 68]","[74, 87]",mf,1,2,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 76, 64]","[67, 63, 63]",mp,0,3,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,['note_on'],[0],[50],[67],mp,0,1,0,0,0,0
7.8,"['note_on', 'note_on']","[0, 0]","[74, 62]","[71, 67]",mp,0,2,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on']","[0, 0]","[71, 59]","[82, 69]",mf,0,2,0,0,0,0
8.4,['note_on'],[0],[47],[69],mp,0,1,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[68, 44, 56]","[95, 90, 96]",f,1,3,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[40, 52, 64]","[78, 90, 85]",mf,1,3,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,['note_on'],[0],[57],[62],mp,0,1,0,0,0,0
10.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[61, 45, 49, 64]","[56, 52, 52, 67]",p,0,4,0,0,0,0
10.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 69, 57]","[45, 91, 79]",mp,0,3,0,0,0,0
10.8,[],[],[],[],,0,0,0,0,"[32, 50, 64, 78, 90, 104, 112, 122, 127]",0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,['note_on'],[0],[71],[82],mf,1,1,0,0,108,0
11.1,[],[],[],[],,0,0,0,0,"[86, 60, 2, 0]",0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,['note_on'],[0],[73],[93],f,1,1,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,['note_on'],[0],[74],[93],f,1,1,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,['note_on'],[0],[76],[88],f,1,1,0,0,0,0
12.0,[],[],[],[],,0,0,0,0,0,0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,['note_on'],[0],[78],[93],f,1,1,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,['note_on'],[0],[80],[87],mf,1,1,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,['note_on'],[0],[81],[90],f,1,1,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,['note_on'],[0],[76],[90],f,1,1,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,0,0
13.4,"['note_on', 'note_on']","[0, 0]","[68, 52]","[70, 51]",p,0,2,0,0,0,0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,0,0
13.7,"['note_on', 'note_on']","[0, 0]","[69, 54]","[82, 70]",mf,1,2,0,0,0,0
13.8,[],[],[],[],,0,0,0,0,0,0
13.9,[],[],[],[],,0,0,0,0,0,0
14.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[71, 74, 56]","[82, 73, 74]",mf,1,3,0,0,0,0
14.1,[],[],[],[],,0,0,0,0,0,0
14.2,[],[],[],[],,0,0,0,0,0,0
14.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 73, 64]","[73, 70, 63]",mp,0,3,0,0,0,0
14.4,[],[],[],[],,0,0,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,0,0
14.6,['note_on'],[0],[45],[57],p,0,1,0,0,0,0
14.7,[],[],[],[],,0,0,0,0,0,0
14.8,[],[],[],[],,0,0,0,0,0,0
14.9,[],[],[],[],,0,0,0,0,0,0
15.0,['note_on'],[0],[49],[54],p,0,1,0,0,0,0
15.1,[],[],[],[],,0,0,0,0,0,0
15.2,['note_on'],[0],[50],[56],p,0,1,0,0,0,0
15.3,[],[],[],[],,0,0,0,0,0,0
15.4,[],[],[],[],,0,0,0,0,0,0
15.5,['note_on'],[0],[52],[52],p,0,1,0,0,0,0
15.6,[],[],[],[],,0,0,0,0,0,0
15.7,[],[],[],[],,0,0,0,0,0,0
15.8,['note_on'],[0],[64],[43],pp,0,1,0,0,0,0
