sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[57, 60, 64, 75, 76]","[41, 36, 43, 37, 90]",p,0,5,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 64, 57]","[31, 38, 22]",ppp,0,3,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 60, 76]","[34, 24, 22, 79]",pp,0,4,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 64, 57]","[34, 38, 19]",ppp,0,3,0,0,0,0
0.9,['note_on'],[0],[76],[77],mf,1,1,0,0,0,0
1.0,['note_on'],[0],[76],[69],mp,0,1,0,0,36,0
1.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[51, 36, 41]",pp,0,3,0,0,"[1, 0]",0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,"['note_on', 'note_on']","[0, 0]","[64, 60]","[54, 43]",pp,0,2,0,0,0,0
1.4,['note_on'],[0],[57],[36],pp,0,1,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 60, 64, 57]","[69, 41, 41, 27]",pp,0,4,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,['note_on'],[0],[60],[36],pp,0,1,0,0,0,0
1.9,"['note_on', 'note_on']","[0, 0]","[64, 57]","[14, 19]",ppp,0,2,0,0,0,0
2.0,['note_on'],[0],[69],[49],p,0,1,0,0,0,0
2.1,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[69, 64, 62, 59, 57]","[58, 38, 45, 29, 22]",pp,0,5,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 64, 57, 59, 62]","[63, 45, 24, 25, 36]",pp,0,5,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 64, 57, 59, 62]","[89, 43, 29, 19, 38]",pp,0,5,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,"[74, 94, 110, 126, 127]",0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 59, 57, 62]","[43, 27, 29, 41]",ppp,0,4,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 59, 57, 62]","[45, 22, 24, 31]",ppp,0,4,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 57, 59]","[45, 34, 29, 34]",ppp,0,4,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,['note_on'],[0],[74],[71],mp,0,1,0,0,"[114, 52, 0]",0
3.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 62, 59]","[54, 25, 45, 27]",pp,0,4,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 59, 57, 62]","[41, 31, 19, 29]",ppp,0,4,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,['note_on'],[0],[71],[58],p,0,1,0,0,0,0
