sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[60],[50],p,0,1,100,0,0,64
0.1,['note_on'],[0],[64],[44],pp,0,1,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
0.5,['note_on'],[0],[72],[51],p,0,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,['note_on'],[0],[76],[51],p,0,1,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[67],[52],p,0,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,['note_on'],[0],[72],[54],p,0,1,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,['note_on'],[0],[76],[54],p,0,1,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[60],[64],mp,0,1,0,0,"[32, 0]",0
1.6,['note_on'],[0],[64],[50],p,0,1,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,"[46, 92, 114, 127]",0
1.8,['note_on'],[0],[67],[57],p,0,1,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[72],[46],pp,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[76],[51],p,0,1,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[67],[51],p,0,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[72],[55],p,0,1,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,['note_on'],[0],[76],[58],p,0,1,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,98,0
3.0,['note_on'],[0],[60],[62],mp,0,1,0,0,0,0
3.1,['note_on'],[0],[62],[54],p,0,1,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,"[6, 36, 62]",0
3.3,[],[],[],[],,0,0,0,0,"[80, 100, 120, 127]",0
3.4,['note_on'],[0],[69],[52],p,0,1,0,0,0,0
3.5,['note_on'],[0],[74],[50],p,0,1,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,['note_on'],[0],[77],[50],p,0,1,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,['note_on'],[0],[69],[41],pp,0,1,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[74],[55],p,0,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[77],[52],p,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,['note_on'],[0],[60],[52],p,0,1,0,0,"[116, 88, 0]",0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,['note_on'],[0],[62],[51],p,0,1,0,0,4,0
4.8,['note_on'],[0],[69],[44],pp,0,1,0,0,"[64, 106, 127]",0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,['note_on'],[0],[74],[54],p,0,1,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,['note_on'],[0],[77],[49],p,0,1,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,['note_on'],[0],[69],[47],pp,0,1,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[74],[53],p,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[77],[50],p,0,1,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,50,0
6.0,['note_on'],[0],[59],[53],p,0,1,0,0,"[16, 0]",0
6.1,['note_on'],[0],[62],[44],pp,0,1,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,"[16, 64]",0
6.3,['note_on'],[0],[67],[57],p,0,1,0,0,"[80, 100, 122, 127]",0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,['note_on'],[0],[74],[59],p,0,1,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,['note_on'],[0],[77],[55],p,0,1,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,['note_on'],[0],[74],[69],mp,0,1,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,['note_on'],[0],[77],[62],mp,0,1,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,['note_on'],[0],[59],[67],mp,0,1,0,0,"[48, 16, 0]",0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,['note_on'],[0],[62],[69],mp,0,1,0,0,0,0
7.8,['note_on'],[0],[67],[67],mp,0,1,0,0,"[76, 96, 118, 127]",0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,['note_on'],[0],[74],[69],mp,0,1,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,['note_on'],[0],[77],[73],mp,0,1,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,['note_on'],[0],[67],[67],mp,0,1,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,['note_on'],[0],[74],[71],mp,0,1,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,['note_on'],[0],[77],[75],mf,0,1,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,['note_on'],[0],[60],[67],mp,0,1,0,0,"[108, 78, 14, 0]",0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,['note_on'],[0],[64],[65],mp,0,1,0,0,0,0
9.3,['note_on'],[0],[67],[75],mf,0,1,0,0,"[34, 65, 88, 112, 127]",0
