sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[42, 46, 51]",pp,0,3,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 57, 64, 60]","[50, 44, 43, 45]",pp,0,4,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 60]","[39, 49, 48]",pp,0,3,0,0,0,0
0.9,['note_on'],[0],[76],[55],p,0,1,0,0,0,0
1.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 76, 60]","[43, 39, 62, 48]",pp,0,4,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[48, 42, 49]",pp,0,3,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 57, 64, 60]","[58, 40, 49, 48]",pp,0,4,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[44, 38, 43]",pp,0,3,0,0,0,0
1.9,['note_on'],[0],[69],[64],mp,0,1,0,0,0,0
2.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 59, 69, 62]","[41, 55, 55, 45]",p,0,4,0,0,0,0
2.1,['note_on'],[0],[64],[37],pp,0,1,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,['note_on'],[0],[68],[52],p,0,1,0,0,0,0
2.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 62, 64, 59]","[42, 39, 41, 41]",pp,0,4,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 62, 57, 64, 59]","[50, 42, 46, 44, 40]",pp,0,5,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 62]","[46, 42, 42]",pp,0,3,0,0,0,0
3.0,['note_on'],[0],[59],[40],pp,0,1,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 64, 57, 62]","[39, 53, 46, 40]",pp,0,4,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 57, 59]","[48, 41, 46, 39]",pp,0,4,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[74, 64, 62, 57, 59]","[62, 48, 44, 43, 38]",pp,0,5,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 62, 64]","[40, 43, 44]",pp,0,3,0,0,0,0
4.1,['note_on'],[0],[71],[66],mp,0,1,0,0,0,0
4.2,['note_on'],[0],[64],[49],p,0,1,0,0,0,0
4.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[76, 60, 57]","[58, 50, 40]",p,0,3,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[48, 48, 41]",pp,0,3,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 60, 76, 64]","[45, 49, 64, 49]",p,0,4,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,"[1, 6, 8]",0
5.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 60]","[41, 49, 51]",pp,0,3,0,0,0,0
5.2,['note_on'],[0],[76],[61],p,0,1,0,0,6,0
5.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 60, 76]","[42, 46, 54, 73]",p,0,4,0,0,"[8, 12, 14, 18, 20]",0
5.4,[],[],[],[],,0,0,0,0,"[14, 8, 0]",0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[77, 57, 64, 60]","[61, 43, 49, 55]",p,0,4,0,0,0,0
5.7,['note_on'],[0],[76],[55],p,0,1,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 57, 64, 74]","[60, 46, 37, 66]",p,0,4,0,0,0,0
6.0,['note_on'],[0],[72],[55],p,0,1,0,0,0,0
6.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[46, 50, 41]",pp,0,3,0,0,0,0
6.2,['note_on'],[0],[71],[66],mp,0,1,0,0,0,0
6.3,['note_on'],[0],[69],[58],p,0,1,0,0,0,0
6.4,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[57, 62, 69, 59, 64]","[41, 49, 70, 51, 46]",p,0,5,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 59, 57, 64, 62]","[59, 43, 51, 46, 46]",p,0,5,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[68, 62, 64]","[44, 46, 40]",pp,0,3,0,0,0,0
7.0,"['note_on', 'note_on']","[0, 0]","[57, 59]","[48, 41]",pp,0,2,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 62]","[45, 48, 51]",pp,0,3,0,0,0,0
7.3,['note_on'],[0],[59],[41],pp,0,1,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 57, 59]","[53, 48, 50, 46]",p,0,4,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 62, 59]","[48, 46, 48, 39]",pp,0,4,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 74, 62, 57]","[44, 60, 55, 46]",p,0,4,0,0,0,0
8.1,['note_on'],[0],[59],[34],ppp,0,1,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 62, 64]","[49, 43, 52]",pp,0,3,0,0,0,0
8.4,['note_on'],[0],[71],[75],mf,0,1,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 76, 57, 72]","[60, 67, 52, 57]",p,0,4,0,0,"[18, 84, 110, 127]",0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,['note_on'],[0],[57],[69],mp,0,1,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,"[116, 94, 74, 32, 12, 0]",0
9.0,"['note_on', 'note_on']","[0, 0]","[69, 72]","[53, 58]",p,0,2,0,0,0,0
9.1,['note_on'],[0],[52],[62],mp,0,1,0,0,0,0
9.2,"['note_on', 'note_on']","[0, 0]","[72, 76]","[49, 55]",p,0,2,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,['note_on'],[0],[48],[57],p,0,1,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,['note_on'],[0],[45],[71],mp,0,1,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,"['note_on', 'note_on']","[0, 0]","[72, 69]","[95, 76]",mf,1,2,0,0,0,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,"['note_on', 'note_on']","[0, 0]","[74, 71]","[95, 90]",f,1,2,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,"['note_on', 'note_on']","[0, 0]","[76, 72]","[98, 87]",f,1,2,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,0,0
10.7,[],[],[],[],,0,0,0,0,0,0
10.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 77, 74, 73]","[90, 71, 76, 39]",mp,0,4,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,['note_on'],[0],[73],[46],pp,0,1,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 77]","[66, 62, 71]",mp,0,3,0,0,0,0
11.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[74, 60, 57]","[64, 55, 53]",p,0,3,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
