sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,"[112, 114, 116, 118, 120, 124, 126, 127]",64
0.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 60]","[44, 50, 48]",pp,0,3,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 60, 64, 57]","[89, 57, 58, 56]",mp,0,4,0,0,"[124, 100, 78, 60, 42, 32]",0
0.5,[],[],[],[],,0,0,0,0,"[28, 26, 30, 36, 44, 56, 65, 78, 88, 98, 106]",0
0.6,[],[],[],[],,0,0,0,0,"[114, 118, 122, 126, 127]",0
0.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[49, 50, 50]",p,0,3,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[76],[81],mf,1,1,0,0,"[112, 92]",0
1.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 57, 60]","[89, 61, 55, 60]",mp,0,4,0,0,"[72, 56, 38, 22, 12, 4, 0, 2]",0
1.1,[],[],[],[],,0,0,0,0,"[8, 16, 28, 40, 52, 62, 72, 80, 86, 92]",0
1.2,[],[],[],[],,0,0,0,0,"[96, 102, 106, 110, 114, 118, 122, 124, 127]",0
1.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[58, 61, 54]",p,0,3,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 57, 64, 72]","[58, 53, 55, 87]",mp,0,4,0,0,"[120, 98, 76, 56]",0
1.6,[],[],[],[],,0,0,0,0,"[38, 24, 12, 4, 1, 0, 1, 6, 12, 18]",0
1.7,[],[],[],[],,0,0,0,0,"[32, 44, 60, 74, 90, 102, 118, 127]",0
1.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 64, 57]","[66, 52, 51]",p,0,3,0,0,0,0
1.9,['note_on'],[0],[69],[81],mf,1,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,"[90, 46, 26, 14]",0
2.1,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[64, 57, 62, 69, 59]","[64, 61, 58, 100, 58]",mp,0,5,0,0,"[0, 1]",0
2.2,[],[],[],[],,0,0,0,0,"[18, 34, 52, 66, 82, 94, 102, 110, 114, 118, 120]",0
2.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 62]","[61, 57, 52]",p,0,3,0,0,"[122, 124, 127]",0
2.4,"['note_on', 'note_on']","[0, 0]","[59, 68]","[47, 90]",mp,0,2,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,"[122, 108]",0
2.6,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[57, 68, 62, 64, 59]","[58, 86, 52, 55, 55]",p,0,5,0,0,"[68, 44, 0]",0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,"[48, 74, 98, 120, 127]",0
2.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 64, 62, 59]","[54, 54, 52, 53]",p,0,4,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,"[126, 124, 122]",0
3.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 62, 59]","[57, 55, 51, 52]",p,0,4,0,0,120,0
3.3,[],[],[],[],,0,0,0,0,"[122, 124]",0
3.4,[],[],[],[],,0,0,0,0,127,0
3.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 64, 62, 59]","[61, 61, 60, 55]",p,0,4,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[74, 57, 64, 62, 59]","[87, 63, 58, 53, 55]",mp,0,5,0,0,"[124, 104, 58, 16, 0]",0
3.8,[],[],[],[],,0,0,0,0,"[4, 20, 34, 48, 64]",0
3.9,[],[],[],[],,0,0,0,0,"[76, 90, 100, 108, 116, 122, 126, 127]",0
4.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 64, 57, 59]","[58, 61, 63, 45]",p,0,4,0,0,0,0
4.1,['note_on'],[0],[71],[84],mf,1,1,0,0,0,0
4.2,['note_on'],[0],[64],[60],p,0,1,0,0,"[116, 94, 8, 0]",0
4.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 76, 60]","[56, 93, 60]",mp,0,3,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,"[14, 34, 60, 72, 86, 98, 108, 118]",0
4.5,"['note_on', 'note_on']","[0, 0]","[64, 57]","[55, 55]",p,0,2,0,0,"[124, 127]",0
4.6,['note_on'],[0],[60],[56],p,0,1,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 60, 76]","[60, 57, 57, 91]",mp,0,4,0,0,"[116, 92, 44, 22, 10, 2]",0
4.9,[],[],[],[],,0,0,0,0,"[0, 2, 8, 14, 28, 44, 60, 74, 86, 100, 108]",0
5.0,[],[],[],[],,0,0,0,0,"[118, 126, 127]",0
5.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[55, 58, 49]",p,0,3,0,0,0,0
5.2,['note_on'],[0],[76],[84],mf,1,1,0,0,0,0
5.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 60, 57, 76]","[58, 63, 61, 86]",mp,0,4,0,0,"[120, 70, 44, 20, 4, 0]",0
5.4,[],[],[],[],,0,0,0,0,"[1, 8, 22, 36, 50, 62, 72, 80, 88]",0
5.5,[],[],[],[],,0,0,0,0,"[92, 96, 98, 100, 102, 104, 108, 110, 114, 118]",0
5.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[77, 64, 60, 57]","[75, 53, 58, 54]",p,0,4,0,0,"[120, 126, 127]",0
5.7,['note_on'],[0],[76],[78],mf,1,1,0,0,116,0
5.8,[],[],[],[],,0,0,0,0,"[94, 70, 46, 6, 0]",0
