sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 60, 57]","[100, 80, 75, 73]",mf,1,4,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[68, 63, 63]",mp,0,3,0,0,0,0
0.6,['note_on'],[0],[76],[97],f,1,1,0,0,0,0
0.7,['note_on'],[0],[64],[70],mp,0,1,0,0,"[126, 108]",0
0.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 76, 57]","[67, 100, 70]",mf,1,3,0,0,"[94, 82, 72, 66, 64, 65, 74, 88, 98, 106]",0
0.9,[],[],[],[],,0,0,0,0,"[112, 120, 124, 126, 127]",0
1.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[66, 64, 55]",p,0,3,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,"[120, 94, 0]",0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 64, 57, 72]","[60, 70, 66, 82]",mp,0,4,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 64, 57]","[59, 64, 59]",p,0,3,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,['note_on'],[0],[69],[68],mp,0,1,0,0,0,0
1.9,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[69, 62, 59, 64, 57]","[97, 67, 67, 68, 52]",mp,0,5,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[62, 64, 68, 59, 57]","[60, 66, 82, 56, 48]",mp,0,5,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[68],[87],mf,1,1,0,0,0,0
2.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 62, 64, 57]","[53, 60, 53, 53]",p,0,4,0,0,"[16, 60]",0
2.6,[],[],[],[],,0,0,0,0,"[78, 96, 108, 124, 127]",0
2.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 59, 57]","[48, 51, 53, 48]",p,0,4,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 59, 57]","[56, 55, 55, 48]",p,0,4,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 62, 59, 64]","[47, 50, 60, 51]",p,0,4,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 57, 64, 74]","[52, 50, 50, 85]",p,0,4,0,0,"[124, 106, 82, 10, 0]",0
3.6,['note_on'],[0],[62],[50],p,0,1,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 64, 62, 57]","[53, 55, 50, 51]",p,0,4,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,['note_on'],[0],[71],[84],mf,1,1,0,0,0,0
4.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 60, 64, 57]","[100, 67, 74, 71]",mf,1,4,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,"[90, 112, 127]",0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 60]","[50, 60, 47]",p,0,3,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[76, 64, 60]","[94, 59, 57]",mp,0,3,0,0,"[120, 92]",0
4.7,['note_on'],[0],[57],[47],pp,0,1,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[56, 61, 48]",p,0,3,0,0,0,0
5.0,['note_on'],[0],[76],[81],mf,1,1,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 57, 64, 60]","[92, 56, 60, 55]",mp,0,4,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 57, 64, 77]","[53, 57, 57, 78]",p,0,4,0,0,0,0
5.6,['note_on'],[0],[76],[55],p,0,1,0,0,0,0
5.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 60, 74, 64]","[59, 55, 73, 51]",p,0,4,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,['note_on'],[0],[72],[77],mf,1,1,0,0,0,0
6.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 64, 71, 57]","[57, 55, 85, 50]",p,0,4,0,0,0,0
6.1,['note_on'],[0],[69],[82],mf,1,1,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[69, 59, 64, 62, 57]","[97, 66, 67, 66, 50]",mp,0,5,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[59, 64, 62, 68, 57]","[50, 56, 56, 80, 50]",p,0,5,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 59, 62, 64, 57]","[100, 55, 60, 53, 52]",mp,0,5,0,0,"[4, 56, 74, 96]",0
6.9,[],[],[],[],,0,0,0,0,"[112, 126, 127]",0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 62, 57, 64]","[53, 53, 48, 50]",p,0,4,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 59, 57]","[53, 52, 56, 45]",p,0,4,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 62]","[53, 53, 48]",p,0,3,0,0,0,0
7.7,['note_on'],[0],[57],[50],p,0,1,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,"[126, 118, 108, 100, 88, 72, 50, 18]",0
7.9,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[59, 74, 62, 64, 57]","[51, 97, 51, 52, 48]",p,0,5,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 57, 64, 62]","[39, 44, 42, 46]",pp,0,4,0,0,0,0
8.3,['note_on'],[0],[71],[81],mf,1,1,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[64, 72, 76, 60, 57]","[73, 98, 100, 67, 64]",mf,1,5,0,0,127,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,['note_on'],[0],[57],[75],mf,0,1,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,"[114, 90, 58]",0
8.9,"['note_on', 'note_on']","[0, 0]","[69, 72]","[81, 75]",mf,1,2,0,0,0,0
9.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[72, 52, 76]","[87, 67, 84]",mf,1,3,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,['note_on'],[0],[48],[73],mp,0,1,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,['note_on'],[0],[45],[60],p,0,1,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,"['note_on', 'note_on']","[0, 0]","[69, 72]","[64, 64]",mp,0,2,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,"['note_on', 'note_on']","[0, 0]","[74, 71]","[68, 74]",mp,0,2,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,"['note_on', 'note_on']","[0, 0]","[76, 72]","[71, 57]",mp,0,2,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,"['note_on', 'note_on']","[0, 0]","[76, 73]","[94, 100]",f,1,2,0,0,0,0
10.7,[],[],[],[],,0,0,0,0,0,0
10.8,[],[],[],[],,0,0,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[74, 77, 62, 53, 60, 57]","[80, 87, 81, 75, 73, 74]",mf,1,6,0,0,"[36, 56, 70]",0
