sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on']","[0, 0]","[62, 64]","[61, 56]",p,0,2,127,0,"[122, 104]",64
0.1,['note_on'],[0],[67],[59],p,0,1,0,0,"[86, 65, 48, 30, 12, 0]",0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,['note_on'],[0],[72],[69],mp,0,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,['note_on'],[0],[76],[74],mp,0,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,"[4, 12]",0
0.7,[],[],[],[],,0,0,0,0,"[20, 30, 40, 50, 60, 66, 74, 82, 86, 90]",0
0.8,['note_on'],[0],[67],[66],mp,0,1,0,0,"[92, 90]",0
0.9,[],[],[],[],,0,0,0,0,"[88, 86, 84, 82, 80, 78]",0
1.0,['note_on'],[0],[72],[72],mp,0,1,0,0,0,0
1.1,['note_on'],[0],[76],[74],mp,0,1,0,0,"[76, 74]",0
1.2,[],[],[],[],,0,0,0,0,"[70, 65, 60, 56, 50, 38, 28, 16]",0
1.3,[],[],[],[],,0,0,0,0,"[2, 0]",0
1.4,['note_on'],[0],[60],[69],mp,0,1,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,"[8, 18, 26, 28, 30]",0
1.6,"['note_on', 'note_on']","[0, 0]","[64, 65]","[53, 53]",p,0,2,0,0,"[32, 34, 36]",0
1.7,[],[],[],[],,0,0,0,0,"[34, 30, 20, 12, 4]",0
1.8,['note_on'],[0],[67],[56],p,0,1,0,0,0,0
1.9,['note_on'],[0],[69],[48],pp,0,1,0,0,"[8, 20, 32, 44, 52]",0
2.0,['note_on'],[0],[72],[74],mp,0,1,0,0,"[62, 66, 72, 74, 78, 84, 88, 92, 98]",0
2.1,[],[],[],[],,0,0,0,0,"[102, 104, 108, 110, 112, 114, 118, 120]",0
2.2,['note_on'],[0],[76],[74],mp,0,1,0,0,"[122, 124]",0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[67],[78],mf,1,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[72],[78],mf,1,1,0,0,122,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,['note_on'],[0],[76],[78],mf,1,1,0,0,120,0
2.9,[],[],[],[],,0,0,0,0,"[118, 116, 112, 108, 102, 92, 80, 66]",0
3.0,['note_on'],[0],[60],[76],mf,1,1,0,0,"[50, 30, 10, 0]",0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on']","[0, 0]","[62, 64]","[44, 57]",p,0,2,0,0,"[4, 10, 14]",0
3.3,['note_on'],[0],[69],[63],mp,0,1,0,0,"[20, 24, 28, 30, 32, 36, 38, 42, 44, 48]",0
3.4,[],[],[],[],,0,0,0,0,"[50, 52, 54, 56]",0
3.5,['note_on'],[0],[74],[76],mf,1,1,0,0,"[58, 60, 62, 65, 66, 72, 76, 78]",0
3.6,[],[],[],[],,0,0,0,0,"[82, 84, 86, 88, 90, 92, 94]",0
3.7,['note_on'],[0],[77],[70],mp,0,1,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,['note_on'],[0],[69],[76],mf,1,1,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[74],[74],mp,0,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[77],[69],mp,0,1,0,0,92,0
4.4,[],[],[],[],,0,0,0,0,"[90, 88, 86, 80, 74, 70, 60]",0
4.5,['note_on'],[0],[60],[67],mp,0,1,0,0,"[50, 36, 22, 6, 0]",0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,['note_on'],[0],[62],[64],mp,0,1,0,0,"[1, 10, 20, 28]",0
4.8,['note_on'],[0],[69],[67],mp,0,1,0,0,"[32, 40, 44, 48, 50, 54, 58, 62, 65, 66]",0
4.9,[],[],[],[],,0,0,0,0,"[68, 70, 74, 76, 78]",0
5.0,['note_on'],[0],[74],[78],mf,1,1,0,0,80,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,['note_on'],[0],[77],[76],mf,1,1,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,['note_on'],[0],[69],[76],mf,1,1,0,0,82,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[74],[72],mp,0,1,0,0,0,0
