sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,['note_on'],[0],[70],[67],mp,0,1,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,"[2, 10, 18, 28, 36, 44, 54, 62, 68, 78, 86]",0
3.3,[],[],[],[],,0,0,0,0,"[92, 98, 106, 112, 118, 126, 127]",0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,"[124, 120, 116, 110, 102, 94, 84]",0
3.6,"['note_on', 'note_on']","[0, 0]","[79, 39]","[78, 55]",mp,0,2,0,0,"[74, 62, 46, 32, 16, 1, 0]",0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,"[14, 38, 62, 80, 98, 114, 127]",0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[63],[60],p,0,1,0,0,0,0
4.2,['note_on'],[0],[53],[56],p,0,1,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 67, 58]","[65, 74, 57]",mp,0,3,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,['note_on'],[0],[52],[71],mp,0,1,0,0,"[126, 116, 108, 96, 86, 72, 58, 42, 22]",0
5.4,[],[],[],[],,0,0,0,0,"[2, 0]",0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,"[18, 38, 56, 70, 88, 102, 118, 127]",0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on']","[0, 0]","[77, 62]","[73, 67]",mp,0,2,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,"['note_on', 'note_on']","[0, 0]","[79, 68]","[71, 63]",mp,0,2,0,0,0,0
6.5,['note_on'],[0],[59],[53],p,0,1,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,"['note_on', 'note_on']","[0, 0]","[39, 77]","[66, 67]",mp,0,2,0,0,"[122, 116, 108, 100, 92, 82, 74, 64, 52, 40]",0
7.1,[],[],[],[],,0,0,0,0,"[14, 0]",0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,"[8, 30, 46, 64, 78, 92, 102, 116, 124, 127]",0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on']","[0, 0]","[63, 55]","[55, 61]",p,0,2,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[67, 58, 63]","[57, 53, 45]",p,0,3,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,"['note_on', 'note_on']","[0, 0]","[38, 75]","[63, 61]",mp,0,2,0,0,"[126, 114, 100, 84, 66, 44, 18, 0]",0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,"[14, 64, 86, 102, 118, 127]",0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,"['note_on', 'note_on']","[0, 0]","[64, 55]","[66, 67]",mp,0,2,0,0,"[126, 124]",0
9.5,[],[],[],[],,0,0,0,0,"[122, 120, 118, 116, 114]",0
9.6,[],[],[],[],,0,0,0,0,112,0
9.7,[],[],[],[],,0,0,0,0,"[114, 116]",0
9.8,[],[],[],[],,0,0,0,0,118,0
9.9,['note_on'],[0],[69],[69],mp,0,1,0,0,0,0
10.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[67, 59, 64]","[66, 55, 55]",p,0,3,0,0,0,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,120,0
10.3,[],[],[],[],,0,0,0,0,"[122, 124]",0
10.4,[],[],[],[],,0,0,0,0,"[122, 118, 114]",0
10.5,"['note_on', 'note_on']","[0, 0]","[36, 79]","[66, 73]",mp,0,2,0,0,"[108, 102, 94, 88, 78, 68, 58, 48, 36, 18]",0
10.6,[],[],[],[],,0,0,0,0,"[1, 0]",0
10.7,[],[],[],[],,0,0,0,0,0,0
10.8,[],[],[],[],,0,0,0,0,"[8, 44, 72, 94, 110, 120, 127]",0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,"['note_on', 'note_on']","[0, 0]","[55, 64]","[57, 57]",p,0,2,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,"['note_on', 'note_on']","[0, 0]","[73, 70]","[73, 66]",mp,0,2,0,0,0,0
11.7,['note_on'],[0],[61],[51],p,0,1,0,0,0,0
11.8,['note_on'],[0],[75],[62],mp,0,1,0,0,"[126, 124, 122]",0
11.9,['note_on'],[0],[73],[57],p,0,1,0,0,"[120, 118, 116, 114]",0
12.0,[],[],[],[],,0,0,0,0,112,0
12.1,['note_on'],[0],[72],[74],mp,0,1,0,0,114,0
12.2,['note_on'],[0],[73],[60],p,0,1,0,0,"[110, 108, 102]",0
12.3,"['note_on', 'note_on']","[0, 0]","[48, 85]","[52, 65]",p,0,2,0,0,"[96, 90, 78, 65, 52, 36, 18, 2, 0]",0
12.4,['note_on'],[0],[84],[79],mf,1,1,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,16,0
12.6,[],[],[],[],,0,0,0,0,"[62, 80, 94, 108, 120, 126, 127]",0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,"['note_on', 'note_on']","[0, 0]","[64, 55]","[56, 62]",p,0,2,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[70, 79, 61, 78, 64]","[58, 61, 55, 54, 47]",p,0,5,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,0,0
13.7,[],[],[],[],,0,0,0,0,0,0
13.8,[],[],[],[],,0,0,0,0,0,0
13.9,[],[],[],[],,0,0,0,0,0,0
14.0,"['note_on', 'note_on']","[0, 0]","[82, 41]","[78, 46]",mp,0,2,0,0,"[124, 118, 110, 102, 92, 80, 65]",0
14.1,[],[],[],[],,0,0,0,0,"[4, 0]",0
14.2,[],[],[],[],,0,0,0,0,0,0
14.3,[],[],[],[],,0,0,0,0,"[74, 90, 106, 120, 127]",0
14.4,[],[],[],[],,0,0,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,0,0
14.6,"['note_on', 'note_on']","[0, 0]","[61, 53]","[63, 59]",p,0,2,0,0,0,0
14.7,[],[],[],[],,0,0,0,0,0,0
14.8,[],[],[],[],,0,0,0,0,0,0
14.9,[],[],[],[],,0,0,0,0,0,0
15.0,[],[],[],[],,0,0,0,0,0,0
15.1,[],[],[],[],,0,0,0,0,0,0
15.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[58, 64, 61]","[59, 57, 49]",p,0,3,0,0,0,0
15.3,[],[],[],[],,0,0,0,0,0,0
15.4,[],[],[],[],,0,0,0,0,0,0
15.5,[],[],[],[],,0,0,0,0,0,0
15.6,[],[],[],[],,0,0,0,0,0,0
