sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[59],[72],mp,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,"[12, 26, 38, 52, 64]",0
2.2,[],[],[],[],,0,0,0,0,"[76, 88, 96, 108, 120, 127]",0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[71],[94],f,1,1,0,0,0,0
2.6,['note_on'],[0],[71],[93],f,1,1,0,0,0,0
2.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[47, 44, 43]",pp,0,3,0,0,"[126, 106, 64, 42, 22, 1, 0]",0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,"[32, 62, 90, 112, 127]",0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[51, 50, 44]",pp,0,3,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[63, 66, 55]",p,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[76, 70, 72]",mp,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[78, 73, 73]",mp,0,3,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[81, 76, 74]",mf,1,3,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 55, 59, 64]","[98, 62, 62, 62]",mp,0,4,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[72, 73, 68]",mp,0,3,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 57, 54, 64]","[100, 51, 53, 54]",mp,0,4,0,0,"[124, 100, 34, 0]",0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,"[88, 108, 126, 127]",0
5.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[72, 59, 44]",p,0,3,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on']","[0, 0]","[64, 54]","[81, 69]",mf,0,2,0,0,0,0
6.0,['note_on'],[0],[57],[50],p,0,1,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[76, 73, 54]",mp,0,3,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 54, 57]","[90, 59, 36]",p,0,3,0,0,"[116, 100, 88, 74, 58, 40, 18]",0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,"[10, 34, 58, 78, 98, 120, 127]",0
6.9,"['note_on', 'note_on']","[0, 0]","[63, 54]","[91, 65]",mf,1,2,0,0,0,0
7.0,['note_on'],[0],[57],[45],pp,0,1,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 63, 54, 57]","[100, 74, 55, 36]",mp,0,4,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on']","[0, 0]","[63, 54]","[45, 40]",pp,0,2,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,['note_on'],[0],[71],[54],p,0,1,0,0,0,0
8.0,"['note_on', 'note_on']","[0, 0]","[63, 53]","[31, 32]",ppp,0,2,0,0,"[116, 98, 80, 58, 30, 4, 0]",0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,"['note_on', 'note_on']","[0, 0]","[63, 53]","[41, 36]",pp,0,2,0,0,"[22, 56, 78, 100, 120, 127]",0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,"['note_on', 'note_on']","[0, 0]","[63, 53]","[40, 35]",pp,0,2,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,"['note_on', 'note_on']","[0, 0]","[63, 53]","[40, 34]",pp,0,2,0,0,0,0
9.0,['note_on'],[0],[57],[33],ppp,0,1,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,['note_on'],[0],[53],[45],pp,0,1,0,0,0,0
9.3,"['note_on', 'note_on']","[0, 0]","[62, 57]","[44, 37]",pp,0,2,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[47, 44, 41]",pp,0,3,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,['note_on'],[0],[72],[84],mf,1,1,0,0,0,0
10.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 56]","[47, 47, 47]",pp,0,3,0,0,0,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 56]","[78, 72, 67]",mp,0,3,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 62, 52, 56]","[100, 80, 68, 63]",mf,1,4,0,0,"[118, 102, 84, 0]",0
10.7,[],[],[],[],,0,0,0,0,0,0
10.8,[],[],[],[],,0,0,0,0,"[70, 90, 108, 122, 127]",0
10.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 56]","[86, 70, 71]",mf,0,3,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 56]","[91, 80, 69]",mf,1,3,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 56]","[89, 76, 67]",mf,1,3,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 55]","[96, 76, 68]",mf,1,3,0,0,"[114, 94, 76, 56, 30, 2, 0]",0
12.0,[],[],[],[],,0,0,0,0,0,0
12.1,[],[],[],[],,0,0,0,0,"[12, 42, 90, 106, 120, 127]",0
12.2,[],[],[],[],,0,0,0,0,0,0
12.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 55]","[78, 72, 58]",mp,0,3,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[70, 61, 52, 55]","[100, 51, 40, 37]",p,0,4,0,0,"[126, 120, 114, 108]",0
12.7,[],[],[],[],,0,0,0,0,"[102, 94, 80, 64, 42, 22, 4, 0]",0
12.8,[],[],[],[],,0,0,0,0,"[8, 20, 34, 50, 64, 78, 90, 102, 114]",0
12.9,[],[],[],[],,0,0,0,0,"[124, 127]",0
13.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 52, 55]","[55, 47, 44]",pp,0,3,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 52, 60, 55]","[93, 37, 54, 41]",p,0,4,0,0,"[122, 108, 92, 76, 60]",0
13.4,[],[],[],[],,0,0,0,0,"[40, 22, 2, 0]",0
13.5,[],[],[],[],,0,0,0,0,0,0
