sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,"[10, 22, 38, 50]",64
0.1,[],[],[],[],,0,0,0,0,"[60, 65, 70, 66, 60, 52, 44, 36, 28, 22, 14]",0
0.2,[],[],[],[],,0,0,0,0,"[2, 0]",0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,"[8, 18, 30, 44]",0
1.8,[],[],[],[],,0,0,0,0,"[60, 72, 86, 98, 110, 120, 127]",0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[59],[48],pp,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[71],[58],p,0,1,0,0,0,0
2.6,['note_on'],[0],[71],[72],mp,0,1,0,0,118,0
2.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[40, 40, 42]",pp,0,3,0,0,"[94, 20, 0]",0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,"[80, 110, 127]",0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[37, 43, 35]",pp,0,3,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[35, 35, 37]",ppp,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[35, 42, 38]",pp,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[32, 36, 36]",ppp,0,3,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[33, 37, 37]",ppp,0,3,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 59, 55, 64]","[61, 37, 38, 32]",pp,0,4,0,0,"[126, 92]",0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,"[100, 127]",0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[45, 40, 35]",pp,0,3,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 64, 57, 54]","[60, 38, 40, 35]",pp,0,4,0,0,"[124, 94, 65, 0]",0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,127,0
5.6,"['note_on', 'note_on']","[0, 0]","[64, 54]","[42, 41]",pp,0,2,0,0,0,0
5.7,['note_on'],[0],[57],[48],pp,0,1,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[42, 38, 42]",pp,0,3,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[39, 41, 37]",pp,0,3,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,"['note_on', 'note_on']","[0, 0]","[54, 63]","[35, 45]",pp,0,2,0,0,"[120, 102, 88, 74, 62]",0
6.7,['note_on'],[0],[57],[34],ppp,0,1,0,0,"[48, 32, 16, 1, 0, 2, 14]",0
6.8,[],[],[],[],,0,0,0,0,"[30, 42, 58, 74, 90, 124, 127]",0
6.9,"['note_on', 'note_on']","[0, 0]","[63, 54]","[41, 40]",pp,0,2,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[72, 54, 63]","[66, 36, 35]",pp,0,3,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 54, 57]","[37, 38, 36]",pp,0,3,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,"['note_on', 'note_on']","[0, 0]","[71, 63]","[65, 40]",p,0,2,0,0,"[118, 96, 76, 52, 24, 0]",0
8.0,"['note_on', 'note_on']","[0, 0]","[53, 57]","[38, 35]",pp,0,2,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,"[24, 76, 100, 122, 127]",0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 63, 57]","[35, 38, 35]",pp,0,3,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,"['note_on', 'note_on']","[0, 0]","[63, 53]","[42, 35]",pp,0,2,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,['note_on'],[0],[63],[40],pp,0,1,0,0,0,0
9.0,['note_on'],[0],[53],[35],ppp,0,1,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 57, 62]","[36, 43, 37]",pp,0,3,0,0,"[124, 104, 86, 65]",0
9.4,[],[],[],[],,0,0,0,0,"[42, 18, 0]",0
9.5,[],[],[],[],,0,0,0,0,"[62, 86, 108]",0
9.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[48, 35, 40]",pp,0,3,0,0,127,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,['note_on'],[0],[72],[57],p,0,1,0,0,0,0
10.1,"['note_on', 'note_on']","[0, 0]","[62, 56]","[32, 32]",ppp,0,2,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 53]","[40, 36, 37]",pp,0,3,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,['note_on'],[0],[71],[57],p,0,1,0,0,"[112, 94, 74, 52]",0
10.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 56]","[38, 36, 35]",pp,0,3,0,0,"[2, 0]",0
10.8,[],[],[],[],,0,0,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,"[62, 82, 98, 112, 120, 126, 127]",0
11.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 56, 62]","[36, 45, 37]",pp,0,3,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 52]","[37, 44, 37]",pp,0,3,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[40, 34, 36]",pp,0,3,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,"['note_on', 'note_on']","[0, 0]","[62, 55]","[40, 42]",pp,0,2,0,0,"[124, 114, 104, 92, 78, 65, 52, 38, 22, 8, 0]",0
12.0,['note_on'],[0],[52],[37],pp,0,1,0,0,0,0
12.1,[],[],[],[],,0,0,0,0,"[32, 56, 76]",0
12.2,[],[],[],[],,0,0,0,0,"[92, 106, 116, 120, 124, 126, 127]",0
12.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 55]","[40, 47, 42]",pp,0,3,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,"['note_on', 'note_on']","[0, 0]","[70, 52]","[47, 36]",pp,0,2,0,0,"[126, 124, 122, 120, 118, 114, 108, 102]",0
12.7,"['note_on', 'note_on']","[0, 0]","[61, 55]","[35, 36]",ppp,0,2,0,0,"[92, 82, 70, 58, 44, 30, 12, 0]",0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,"[1, 22, 42, 62, 80, 94, 108, 116, 122, 126, 127]",0
13.0,"['note_on', 'note_on']","[0, 0]","[61, 55]","[40, 37]",pp,0,2,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,"[122, 116]",0
13.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 60, 52, 55]","[42, 37, 35, 34]",pp,0,4,0,0,"[108, 98, 88, 76, 64, 50, 36, 20, 8, 0]",0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,"['note_on', 'note_on']","[0, 0]","[52, 60]","[36, 43]",pp,0,2,0,0,0,0
13.7,['note_on'],[0],[55],[42],pp,0,1,0,0,"[34, 52, 64, 74, 80, 84, 86, 88]",0
13.8,[],[],[],[],,0,0,0,0,0,0
13.9,"['note_on', 'note_on']","[0, 0]","[60, 52]","[38, 34]",pp,0,2,0,0,"[86, 84, 82]",0
14.0,['note_on'],[0],[55],[38],pp,0,1,0,0,80,0
14.1,[],[],[],[],,0,0,0,0,"[78, 76, 74, 72, 70, 68, 66]",0
14.2,[],[],[],[],,0,0,0,0,"[65, 64, 62, 60, 58, 56, 54, 52, 50, 46, 42]",0
14.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 52, 55]","[36, 32, 37]",ppp,0,3,0,0,"[38, 34, 30, 26, 24, 20, 16, 12, 10, 6, 4]",0
14.4,[],[],[],[],,0,0,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,6,0
14.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 60, 52]","[35, 35, 40]",pp,0,3,0,0,"[4, 1, 0]",0
14.7,[],[],[],[],,0,0,0,0,0,0
14.8,[],[],[],[],,0,0,0,0,"[12, 30, 46, 62]",0
14.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 60, 52]","[47, 37, 35]",pp,0,3,0,0,"[74, 80, 86, 88, 86]",0
15.0,[],[],[],[],,0,0,0,0,"[84, 82, 80]",0
15.1,[],[],[],[],,0,0,0,0,"[78, 76]",0
15.2,['note_on'],[0],[71],[52],p,0,1,0,0,74,0
15.3,"['note_on', 'note_on']","[0, 0]","[52, 54]","[37, 41]",pp,0,2,0,0,"[72, 70]",0
15.4,[],[],[],[],,0,0,0,0,"[68, 66]",0
15.5,[],[],[],[],,0,0,0,0,65,0
15.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 52, 60]","[40, 39, 33]",pp,0,3,0,0,0,0
15.7,[],[],[],[],,0,0,0,0,0,0
15.8,[],[],[],[],,0,0,0,0,"[64, 60, 58]",0
15.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 54, 52, 60]","[45, 37, 39, 35]",pp,0,4,0,0,"[52, 42, 30, 12, 0]",0
16.0,[],[],[],[],,0,0,0,0,0,0
16.1,[],[],[],[],,0,0,0,0,"[34, 60]",0
16.2,['note_on'],[0],[60],[35],ppp,0,1,0,0,"[80, 96, 106, 114, 118, 120, 122]",0
16.3,"['note_on', 'note_on']","[0, 0]","[54, 52]","[45, 37]",pp,0,2,0,0,"[124, 122, 120]",0
16.4,[],[],[],[],,0,0,0,0,"[118, 116, 114, 112, 110, 108, 106, 104, 102, 100, 98]",0
16.5,[],[],[],[],,0,0,0,0,"[96, 94, 92, 90, 88]",0
16.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 52, 60]","[41, 37, 34]",pp,0,3,0,0,"[86, 84, 82, 80, 78, 76]",0
16.7,[],[],[],[],,0,0,0,0,"[74, 72]",0
16.8,[],[],[],[],,0,0,0,0,70,0
16.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 54, 60]","[37, 40, 35]",pp,0,3,0,0,0,0
17.0,[],[],[],[],,0,0,0,0,68,0
17.1,[],[],[],[],,0,0,0,0,"[66, 65, 64, 62, 58, 54]",0
17.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[51, 54, 60]","[42, 38, 35]",pp,0,3,0,0,"[48, 40, 32, 20, 4, 0]",0
17.3,[],[],[],[],,0,0,0,0,0,0
17.4,[],[],[],[],,0,0,0,0,"[46, 88, 104, 118, 127]",0
17.5,[],[],[],[],,0,0,0,0,0,0
17.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[51, 54, 60]","[39, 35, 37]",pp,0,3,0,0,0,0
17.7,[],[],[],[],,0,0,0,0,0,0
17.8,[],[],[],[],,0,0,0,0,0,0
17.9,[],[],[],[],,0,0,0,0,"[124, 114, 106]",0
18.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 51, 54, 60]","[54, 37, 36, 33]",pp,0,4,0,0,"[96, 88, 76, 62, 48, 32, 18, 6, 0]",0
18.1,[],[],[],[],,0,0,0,0,0,0
18.2,[],[],[],[],,0,0,0,0,12,0
18.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 51, 54]","[37, 40, 36]",pp,0,3,0,0,"[38, 60, 80, 98, 110, 118, 120, 122, 124, 126, 127]",0
18.4,[],[],[],[],,0,0,0,0,0,0
18.5,[],[],[],[],,0,0,0,0,0,0
18.6,['note_on'],[0],[69],[50],p,0,1,0,0,"[124, 118, 110, 98, 88, 70, 54, 16, 0]",0
18.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[50, 54, 60]","[37, 35, 34]",ppp,0,3,0,0,0,0
18.8,[],[],[],[],,0,0,0,0,12,0
18.9,[],[],[],[],,0,0,0,0,"[38, 60, 76, 88, 96, 98, 100, 102, 104, 108, 110]",0
19.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 54, 50]","[37, 42, 34]",pp,0,3,0,0,"[114, 116, 120, 122, 124]",0
19.1,[],[],[],[],,0,0,0,0,122,0
19.2,[],[],[],[],,0,0,0,0,120,0
19.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 54, 50]","[37, 40, 37]",pp,0,3,0,0,"[118, 116]",0
19.4,[],[],[],[],,0,0,0,0,114,0
19.5,[],[],[],[],,0,0,0,0,"[112, 110, 108]",0
19.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 54, 50]","[37, 40, 36]",pp,0,3,0,0,"[106, 104, 102, 100, 98, 96, 94, 92]",0
19.7,[],[],[],[],,0,0,0,0,"[90, 88, 86, 84, 82]",0
19.8,[],[],[],[],,0,0,0,0,80,0
19.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 54, 50]","[36, 39, 37]",pp,0,3,0,0,78,0
20.0,[],[],[],[],,0,0,0,0,76,0
20.1,[],[],[],[],,0,0,0,0,74,0
20.2,['note_on'],[0],[60],[37],pp,0,1,0,0,72,0
20.3,"['note_on', 'note_on']","[0, 0]","[54, 50]","[42, 37]",pp,0,2,0,0,0,0
20.4,[],[],[],[],,0,0,0,0,0,0
20.5,[],[],[],[],,0,0,0,0,0,0
20.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 54, 50, 60]","[55, 33, 37, 32]",pp,0,4,0,0,0,0
20.7,[],[],[],[],,0,0,0,0,0,0
20.8,[],[],[],[],,0,0,0,0,0,0
20.9,[],[],[],[],,0,0,0,0,74,0
21.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 50, 54]","[37, 38, 42]",pp,0,3,0,0,"[76, 78, 80]",0
21.1,['note_on'],[0],[69],[63],mp,0,1,0,0,"[82, 84, 86, 88, 90, 92, 94]",0
21.2,[],[],[],[],,0,0,0,0,"[92, 90, 88]",0
21.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[69, 60, 50]","[67, 35, 42]",pp,0,3,0,0,"[86, 80, 74, 66, 60, 50, 38, 22, 6, 0]",0
21.4,['note_on'],[0],[53],[40],pp,0,1,0,0,0,0
21.5,[],[],[],[],,0,0,0,0,0,0
21.6,"['note_on', 'note_on']","[0, 0]","[60, 50]","[45, 42]",pp,0,2,0,0,"[12, 34, 52, 62, 68, 72, 74, 76, 78]",0
21.7,['note_on'],[0],[53],[39],pp,0,1,0,0,"[80, 84, 86, 88, 90, 92, 96]",0
21.8,[],[],[],[],,0,0,0,0,0,0
21.9,[],[],[],[],,0,0,0,0,0,0
22.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 50, 53]","[39, 42, 42]",pp,0,3,0,0,0,0
22.1,[],[],[],[],,0,0,0,0,94,0
22.2,[],[],[],[],,0,0,0,0,92,0
22.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 50, 53]","[42, 37, 42]",pp,0,3,0,0,94,0
22.4,[],[],[],[],,0,0,0,0,"[96, 98]",0
22.5,[],[],[],[],,0,0,0,0,"[100, 102]",0
22.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 59, 50]","[42, 42, 39]",pp,0,3,0,0,"[100, 98, 94, 92, 86, 78, 65, 50, 32, 14, 0]",0
22.7,[],[],[],[],,0,0,0,0,0,0
22.8,[],[],[],[],,0,0,0,0,"[24, 78, 98, 112]",0
22.9,['note_on'],[0],[50],[45],pp,0,1,0,0,"[122, 127]",0
23.0,"['note_on', 'note_on']","[0, 0]","[59, 53]","[50, 46]",pp,0,2,0,0,0,0
23.1,[],[],[],[],,0,0,0,0,0,0
23.2,[],[],[],[],,0,0,0,0,0,0
