sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[59],[53],p,0,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,"[62, 127]",0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[71],[65],mp,0,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[71],[72],mp,0,1,0,0,"[122, 106, 92, 74, 60]",0
2.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[31, 34, 31]",ppp,0,3,0,0,"[42, 10, 0]",0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[36, 32, 37]",ppp,0,3,0,0,"[20, 74, 94, 114, 127]",0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[36, 32, 34]",ppp,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[36, 39, 37]",pp,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,['note_on'],[0],[64],[39],pp,0,1,0,0,0,0
4.0,"['note_on', 'note_on']","[0, 0]","[59, 55]","[42, 35]",pp,0,2,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[36, 34, 34]",ppp,0,3,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,['note_on'],[0],[72],[70],mp,0,1,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[31, 38, 34]",ppp,0,3,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,122,0
5.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 54, 64, 57]","[72, 42, 29, 31]",pp,0,4,0,0,"[110, 98, 82, 66, 50, 10, 0]",0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,"[32, 92, 122, 127]",0
5.6,['note_on'],[0],[64],[44],pp,0,1,0,0,0,0
5.7,"['note_on', 'note_on']","[0, 0]","[54, 57]","[31, 32]",ppp,0,2,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[35, 33, 34]",ppp,0,3,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 64, 57]","[43, 42, 40]",pp,0,3,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,"['note_on', 'note_on']","[0, 0]","[63, 54]","[36, 28]",ppp,0,2,0,0,0,0
6.7,['note_on'],[0],[57],[31],ppp,0,1,0,0,"[122, 110, 96, 84, 72, 58, 40, 16]",0
6.8,[],[],[],[],,0,0,0,0,"[0, 4, 22]",0
6.9,"['note_on', 'note_on']","[0, 0]","[54, 63]","[33, 37]",ppp,0,2,0,0,"[44, 86, 104, 127]",0
7.0,['note_on'],[0],[57],[32],ppp,0,1,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[72, 54, 63]","[70, 30, 31]",pp,0,3,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on']","[0, 0]","[54, 63]","[31, 32]",ppp,0,2,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 63, 53, 57]","[73, 30, 31, 28]",pp,0,4,0,0,"[118, 100, 84, 65, 46, 2]",0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,8,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[46, 45, 30]",pp,0,3,0,0,"[96, 120, 127]",0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[39, 29, 33]",ppp,0,3,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,['note_on'],[0],[63],[39],pp,0,1,0,0,0,0
9.0,"['note_on', 'note_on']","[0, 0]","[53, 57]","[32, 37]",ppp,0,2,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 57, 62]","[34, 44, 37]",pp,0,3,0,0,"[118, 108, 98, 90, 80, 66, 54, 40, 24, 10, 0]",0
9.4,[],[],[],[],,0,0,0,0,"[4, 12, 22, 34]",0
9.5,[],[],[],[],,0,0,0,0,"[50, 62, 74, 86, 98, 108, 120, 127]",0
9.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[33, 35, 47]",pp,0,3,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,124,0
10.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 62, 53, 56]","[70, 34, 34, 39]",pp,0,4,0,0,"[120, 110, 102, 92, 82, 70, 60, 48, 36, 24, 12, 1, 0]",0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,"[8, 30, 50, 68, 86, 100, 120, 127]",0
10.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 56]","[36, 34, 42]",pp,0,3,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,['note_on'],[0],[71],[72],mp,0,1,0,0,0,0
10.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 56]","[36, 30, 38]",ppp,0,3,0,0,"[110, 92, 66, 42, 14, 0]",0
10.8,[],[],[],[],,0,0,0,0,0,0
10.9,['note_on'],[0],[52],[50],p,0,1,0,0,"[10, 40, 86, 106, 126]",0
11.0,"['note_on', 'note_on']","[0, 0]","[62, 56]","[45, 35]",pp,0,2,0,0,127,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,['note_on'],[0],[62],[37],pp,0,1,0,0,0,0
11.3,"['note_on', 'note_on']","[0, 0]","[56, 52]","[46, 42]",pp,0,2,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[37, 38, 35]",pp,0,3,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,"['note_on', 'note_on']","[0, 0]","[62, 52]","[34, 35]",ppp,0,2,0,0,"[120, 102, 65, 46, 22, 1, 0]",0
12.0,['note_on'],[0],[55],[42],pp,0,1,0,0,0,0
12.1,[],[],[],[],,0,0,0,0,"[4, 32, 58, 78, 98]",0
12.2,[],[],[],[],,0,0,0,0,"[114, 127]",0
12.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 55]","[33, 34, 40]",ppp,0,3,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[70, 52, 61]","[62, 33, 33]",pp,0,3,0,0,0,0
12.7,['note_on'],[0],[55],[33],ppp,0,1,0,0,"[126, 114, 100, 82, 65, 48, 30, 12, 0]",0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,"[1, 16, 36, 58, 78, 96, 116, 127]",0
13.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 52, 55]","[35, 32, 38]",ppp,0,3,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[69, 52, 60]","[65, 32, 33]",pp,0,3,0,0,"[120, 100, 80]",0
