sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[59],[53],p,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,"[14, 36, 56, 72, 88, 102, 118, 127]",0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[71],[69],mp,0,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,"[116, 88]",0
2.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 64, 59, 55]","[76, 38, 37, 40]",pp,0,4,0,0,"[62, 32, 10, 0]",0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,"[122, 127]",0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[36, 50, 37]",pp,0,3,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,['note_on'],[0],[64],[43],pp,0,1,0,0,0,0
3.4,"['note_on', 'note_on']","[0, 0]","[59, 55]","[45, 37]",pp,0,2,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[39, 38, 47]",pp,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[42, 40, 45]",pp,0,3,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[47, 45, 47]",pp,0,3,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 64, 59, 55]","[67, 37, 43, 38]",pp,0,4,0,0,"[108, 82, 1, 0]",0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,"[32, 100, 127]",0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[49, 37, 42]",pp,0,3,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 54, 64, 57]","[70, 42, 42, 39]",pp,0,4,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,36,0
5.5,[],[],[],[],,0,0,0,0,127,0
5.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[47, 42, 39]",pp,0,3,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on']","[0, 0]","[64, 54]","[53, 45]",p,0,2,0,0,0,0
6.0,['note_on'],[0],[57],[47],pp,0,1,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[50, 41, 37]",pp,0,3,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,126,0
6.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 54, 57]","[45, 40, 37]",pp,0,3,0,0,"[102, 76, 18, 0]",0
6.7,[],[],[],[],,0,0,0,0,80,0
6.8,[],[],[],[],,0,0,0,0,127,0
6.9,"['note_on', 'note_on']","[0, 0]","[63, 54]","[45, 36]",pp,0,2,0,0,0,0
7.0,['note_on'],[0],[57],[34],ppp,0,1,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 54, 63, 57]","[61, 42, 38, 33]",pp,0,4,0,0,"[122, 92, 24, 0]",0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,"[90, 122, 127]",0
7.6,"['note_on', 'note_on']","[0, 0]","[54, 63]","[36, 39]",pp,0,2,0,0,0,0
7.7,['note_on'],[0],[57],[35],ppp,0,1,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[71, 63, 53]","[66, 36, 37]",pp,0,3,0,0,0,0
8.0,['note_on'],[0],[57],[36],pp,0,1,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,"[74, 96]",0
8.2,[],[],[],[],,0,0,0,0,"[114, 127]",0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[42, 42, 34]",pp,0,3,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[45, 40, 36]",pp,0,3,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,['note_on'],[0],[63],[49],p,0,1,0,0,0,0
9.0,['note_on'],[0],[53],[38],pp,0,1,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 62, 53]","[52, 49, 43]",pp,0,3,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,"[6, 38, 70, 100, 127]",0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[46, 46, 47]",pp,0,3,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,['note_on'],[0],[72],[65],mp,0,1,0,0,0,0
10.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 53, 62]","[45, 38, 37]",pp,0,3,0,0,"[66, 0]",0
10.1,[],[],[],[],,0,0,0,0,"[2, 34]",0
10.2,[],[],[],[],,0,0,0,0,127,0
10.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 53]","[50, 41, 42]",pp,0,3,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 62, 52, 56]","[70, 38, 46, 45]",p,0,4,0,0,0,0
10.7,[],[],[],[],,0,0,0,0,0,0
10.8,[],[],[],[],,0,0,0,0,"[114, 127]",0
10.9,"['note_on', 'note_on']","[0, 0]","[62, 56]","[39, 47]",pp,0,2,0,0,0,0
11.0,['note_on'],[0],[52],[37],pp,0,1,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 52]","[38, 46, 39]",pp,0,3,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[47, 40, 39]",pp,0,3,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 55]","[50, 41, 50]",pp,0,3,0,0,"[66, 32, 0]",0
12.0,[],[],[],[],,0,0,0,0,0,0
12.1,[],[],[],[],,0,0,0,0,"[58, 127]",0
12.2,"['note_on', 'note_on']","[0, 0]","[62, 52]","[50, 43]",pp,0,2,0,0,0,0
12.3,['note_on'],[0],[55],[53],p,0,1,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 70, 52]","[42, 59, 37]",pp,0,3,0,0,"[120, 100]",0
12.7,['note_on'],[0],[55],[36],pp,0,1,0,0,"[80, 56, 30, 8, 0]",0
12.8,[],[],[],[],,0,0,0,0,"[42, 96, 120, 127]",0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 52, 55]","[45, 37, 37]",pp,0,3,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 52, 55, 60]","[62, 38, 41, 37]",pp,0,4,0,0,"[116, 0]",0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,[],[],[],[],,0,0,0,0,"[90, 120, 127]",0
13.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 60, 55]","[36, 38, 46]",pp,0,3,0,0,0,0
13.7,[],[],[],[],,0,0,0,0,0,0
