sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[57, 60, 64, 75, 76]","[50, 60, 53, 60, 85]",p,0,5,127,0,0,64
0.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 60]","[59, 53, 56]",p,0,3,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 76, 60]","[59, 61, 98, 66]",mp,0,4,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[64, 61, 60]",p,0,3,0,0,0,0
0.9,['note_on'],[0],[76],[92],f,1,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 60, 64, 57]","[92, 70, 70, 66]",mp,0,4,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 60]","[68, 71, 68]",mp,0,3,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 60, 64, 57]","[80, 67, 67, 64]",mp,0,4,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 57, 64]","[66, 60, 64]",mp,0,3,0,0,0,0
2.0,['note_on'],[0],[69],[81],mf,1,1,0,0,0,0
2.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[69, 64, 57]","[90, 70, 60]",mp,0,3,0,0,0,0
2.2,"['note_on', 'note_on']","[0, 0]","[59, 62]","[66, 53]",p,0,2,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[59, 64, 62, 57, 68]","[57, 60, 64, 55, 82]",mp,0,5,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[57, 64, 68, 59, 62]","[55, 61, 91, 53, 53]",mp,0,5,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[62],[60],p,0,1,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 59]","[66, 60, 56]",p,0,3,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 59, 62]","[64, 60, 57, 61]",p,0,4,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 62, 59]","[67, 60, 57, 53]",p,0,4,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[74, 64, 57, 59, 62]","[73, 63, 59, 56, 56]",p,0,5,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 59, 57, 64]","[64, 60, 57, 57]",p,0,4,0,0,0,0
4.1,['note_on'],[0],[71],[85],mf,1,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 64, 76, 60]","[61, 56, 84, 48]",mp,0,4,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,['note_on'],[0],[60],[55],p,0,1,0,0,0,0
4.6,"['note_on', 'note_on']","[0, 0]","[57, 64]","[56, 60]",p,0,2,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,['note_on'],[0],[76],[99],f,1,1,0,0,0,0
4.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 60]","[63, 59, 59]",p,0,3,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,"[1, 2, 4, 6]",0
5.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[63, 59, 57]",p,0,3,0,0,4,0
5.2,[],[],[],[],,0,0,0,0,"[2, 0]",0
5.3,['note_on'],[0],[76],[84],mf,1,1,0,0,0,0
5.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 57, 60]","[92, 63, 56, 59]",mp,0,4,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 60, 77]","[66, 60, 60, 77]",mp,0,4,0,0,0,0
5.8,['note_on'],[0],[76],[68],mp,0,1,0,0,0,0
5.9,['note_on'],[0],[60],[60],p,0,1,0,0,0,0
6.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 74]","[61, 57, 81]",mp,0,3,0,0,0,0
6.1,['note_on'],[0],[72],[77],mf,1,1,0,0,0,0
6.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 71, 64, 57]","[64, 90, 57, 56]",mp,0,4,0,0,0,0
6.3,['note_on'],[0],[69],[97],f,1,1,0,0,0,0
6.4,['note_on'],[0],[69],[92],f,1,1,0,0,0,0
6.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 64, 59, 62]","[59, 61, 57, 52]",p,0,4,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,"['note_on', 'note_on']","[0, 0]","[64, 68]","[63, 88]",mf,0,2,0,0,0,0
6.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 59, 57]","[59, 57, 53]",p,0,3,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[62, 57, 59, 68, 64]","[60, 55, 53, 88, 59]",mp,0,5,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,"[12, 30, 44, 56, 66, 72, 78, 84, 90]",0
7.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 59, 62]","[57, 52, 48, 50]",p,0,4,0,0,"[96, 98, 100, 102, 100]",0
7.4,[],[],[],[],,0,0,0,0,"[98, 96, 90, 82, 74, 66, 58, 52, 40]",0
7.5,[],[],[],[],,0,0,0,0,"[30, 20, 14, 8, 6]",0
7.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 62, 64, 59]","[59, 61, 55, 55]",p,0,4,0,0,4,0
