sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[57, 60, 64, 75, 76]","[37, 35, 39, 33, 68]",pp,0,5,127,0,"[54, 60, 64, 66, 70, 72, 74, 76, 78, 80]",64
0.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 60]","[29, 26, 30]",ppp,0,3,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,"[78, 74, 70, 65, 62]",0
0.3,[],[],[],[],,0,0,0,0,"[58, 56, 52, 48, 40, 38, 34, 32, 28]",0
0.4,[],[],[],[],,0,0,0,0,"[26, 20, 14, 12, 8, 6, 4]",0
0.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 76, 60]","[29, 30, 79, 27]",pp,0,4,0,0,"[2, 1, 0]",0
0.6,[],[],[],[],,0,0,0,0,"[1, 2, 4]",0
0.7,[],[],[],[],,0,0,0,0,"[6, 10, 16, 22, 30, 40, 50, 58, 66, 72]",0
0.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 60]","[31, 26, 27]",ppp,0,3,0,0,"[78, 82, 88, 90, 94, 96, 98, 100, 102]",0
0.9,['note_on'],[0],[76],[68],mp,0,1,0,0,"[104, 106, 108, 110, 112, 114, 118, 120, 124]",0
1.0,[],[],[],[],,0,0,0,0,"[126, 127]",0
1.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 60, 64, 57]","[90, 31, 33, 29]",pp,0,4,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 60]","[37, 37, 31]",ppp,0,3,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 60, 64, 57]","[65, 33, 33, 30]",pp,0,4,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 64, 57]","[41, 39, 27]",ppp,0,3,0,0,0,0
2.0,['note_on'],[0],[69],[65],mp,0,1,0,0,0,0
2.1,['note_on'],[0],[69],[68],mp,0,1,0,0,0,0
2.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 64, 62, 57]","[29, 26, 26, 25]",ppp,0,4,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[68],[58],p,0,1,0,0,0,0
2.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 64, 57, 62]","[22, 26, 26, 14]",ppp,0,4,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[64, 68, 59, 62, 57]","[27, 55, 22, 23, 12]",ppp,0,5,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 64, 62, 59]","[33, 30, 29, 16]",ppp,0,4,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 62, 59]","[33, 37, 25, 17]",ppp,0,4,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 62, 59]","[29, 27, 35]",ppp,0,3,0,0,0,0
3.6,['note_on'],[0],[57],[26],ppp,0,1,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
