sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[75, 60, 57, 64, 76]","[58, 43, 26, 27, 57]",pp,0,5,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[39, 41, 41]",pp,0,3,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,"[14, 28, 40, 50, 60, 66]",0
0.4,[],[],[],[],,0,0,0,0,"[72, 74, 78, 80, 82]",0
0.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 76, 64]","[33, 90, 30]",p,0,3,0,0,0,0
0.6,['note_on'],[0],[60],[27],ppp,0,1,0,0,"[80, 78, 76, 74]",0
0.7,[],[],[],[],,0,0,0,0,"[72, 70, 65, 64, 60, 58, 56]",0
0.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 60, 64]","[48, 39, 39]",pp,0,3,0,0,"[54, 56]",0
0.9,['note_on'],[0],[76],[81],mf,1,1,0,0,"[54, 56, 54, 52, 46]",0
1.0,[],[],[],[],,0,0,0,0,"[38, 32, 26, 16, 8, 2, 0]",0
1.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 60, 64, 57]","[72, 46, 39, 46]",p,0,4,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[39, 41, 39]",pp,0,3,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 72, 60, 57]","[41, 63, 37, 33]",pp,0,4,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 57, 64]","[46, 48, 41]",pp,0,3,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[69],[70],mp,0,1,0,0,0,0
2.1,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[69, 57, 64, 59, 62]","[59, 35, 30, 37, 30]",pp,0,5,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 62, 59, 64, 57]","[63, 31, 31, 27, 26]",ppp,0,5,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 64, 57, 62, 59]","[68, 31, 26, 31, 29]",pp,0,5,0,0,20,0
2.8,[],[],[],[],,0,0,0,0,"[60, 72, 86, 98, 108, 118, 126, 127]",0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 64, 62, 59]","[26, 29, 25, 23]",ppp,0,4,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 62, 59, 64]","[27, 33, 26, 25]",ppp,0,4,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 57, 59]","[33, 33, 26, 26]",ppp,0,4,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[59, 57, 64, 62, 74]","[25, 21, 31, 27, 52]",ppp,0,5,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,"[122, 16]",0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 64, 57, 59]","[35, 37, 30, 31]",ppp,0,4,0,0,0,0
4.2,['note_on'],[0],[71],[54],p,0,1,0,0,0,0
4.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 57, 60]","[65, 43, 30, 31]",pp,0,4,0,0,0,0
4.4,['note_on'],[0],[59],[14],ppp,0,1,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,"[98, 127]",0
4.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 60]","[26, 26, 26]",ppp,0,3,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 57, 60]","[76, 29, 31, 20]",pp,0,4,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[33, 30, 33]",ppp,0,3,0,0,0,0
5.2,['note_on'],[0],[76],[61],p,0,1,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,126,0
5.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 57, 64, 60]","[37, 41, 41, 30]",pp,0,4,0,0,"[122, 114, 106, 96, 86, 78, 66, 60, 54, 48]",0
5.5,[],[],[],[],,0,0,0,0,"[42, 36, 28, 14, 2, 0]",0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 60, 77]","[41, 35, 26, 52]",pp,0,4,0,0,0,0
5.8,['note_on'],[0],[76],[48],pp,0,1,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[31, 31, 39]",ppp,0,3,0,0,0,0
6.0,['note_on'],[0],[74],[70],mp,0,1,0,0,0,0
6.1,['note_on'],[0],[72],[74],mp,0,1,0,0,0,0
6.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 71, 60, 57]","[39, 59, 35, 30]",pp,0,4,0,0,0,0
6.3,['note_on'],[0],[69],[63],mp,0,1,0,0,0,0
6.4,['note_on'],[0],[69],[74],mp,0,1,0,0,0,0
6.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 64, 62, 59]","[37, 39, 30, 31]",ppp,0,4,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 64, 59, 62, 57]","[68, 37, 27, 17, 27]",ppp,0,5,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[68, 62, 57, 59]","[65, 22, 33, 18]",ppp,0,4,0,0,"[8, 30]",0
7.1,['note_on'],[0],[64],[20],ppp,0,1,0,0,"[52, 68, 82, 98, 110, 126, 127]",0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 57, 59]","[27, 26, 25, 20]",ppp,0,4,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 64, 57, 59]","[35, 23, 31, 25]",ppp,0,4,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 57, 59]","[30, 30, 23, 31]",ppp,0,4,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,['note_on'],[0],[57],[27],ppp,0,1,0,0,"[122, 40, 10]",0
8.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[74, 62, 64, 59]","[57, 37, 29, 31]",pp,0,4,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 62, 64, 57]","[37, 39, 30, 23]",ppp,0,4,0,0,0,0
8.5,['note_on'],[0],[71],[48],pp,0,1,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[76, 72, 57, 64, 60]","[74, 50, 59, 35, 39]",p,0,5,0,0,"[32, 66, 96, 127]",0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,['note_on'],[0],[57],[61],p,0,1,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,"[96, 62]",0
9.1,"['note_on', 'note_on']","[0, 0]","[72, 69]","[68, 41]",p,0,2,0,0,"[32, 2, 0]",0
9.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[76, 72, 52]","[83, 43, 52]",p,0,3,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,['note_on'],[0],[48],[70],mp,0,1,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,['note_on'],[0],[45],[50],p,0,1,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,"[20, 50, 72, 90]",0
9.9,[],[],[],[],,0,0,0,0,"[108, 126, 127]",0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,"['note_on', 'note_on']","[0, 0]","[69, 72]","[57, 61]",p,0,2,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,"[112, 40, 0]",0
10.3,"['note_on', 'note_on']","[0, 0]","[74, 71]","[83, 59]",mp,0,2,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,"['note_on', 'note_on']","[0, 0]","[76, 72]","[81, 76]",mf,1,2,0,0,0,0
10.7,[],[],[],[],,0,0,0,0,0,0
10.8,[],[],[],[],,0,0,0,0,0,0
10.9,"['note_on', 'note_on']","[0, 0]","[76, 73]","[68, 68]",mp,0,2,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[77, 53, 74, 57, 60, 62]","[68, 20, 52, 21, 20, 8]",ppp,0,6,0,0,"[6, 26]",0
11.5,[],[],[],[],,0,0,0,0,"[44, 60, 72, 88, 104, 124, 127]",0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,[],[],[],[],,0,0,0,0,0,0
12.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 59, 62]","[20, 23, 20]",ppp,0,3,0,0,0,0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,"['note_on', 'note_on']","[0, 0]","[71, 67]","[70, 61]",mp,0,2,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,"['note_on', 'note_on']","[0, 0]","[72, 69]","[81, 57]",mp,0,2,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,['note_on'],[0],[71],[72],mp,0,1,0,0,0,0
12.8,['note_on'],[0],[74],[65],mp,0,1,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,"['note_on', 'note_on']","[0, 0]","[75, 71]","[83, 48]",mp,0,2,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,0,0
