sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[60],[88],f,1,1,100,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,['note_on'],[0],[64],[89],f,1,1,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,['note_on'],[0],[67],[91],f,1,1,0,0,0,0
0.5,['note_on'],[0],[72],[88],f,1,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,['note_on'],[0],[76],[92],f,1,1,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[67],[88],f,1,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,['note_on'],[0],[72],[88],f,1,1,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,['note_on'],[0],[76],[91],f,1,1,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[60],[84],mf,1,1,0,0,"[96, 0]",0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,['note_on'],[0],[64],[86],mf,1,1,0,0,65,0
1.8,['note_on'],[0],[67],[84],mf,1,1,0,0,127,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[72],[91],f,1,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[76],[91],f,1,1,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[67],[95],f,1,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[72],[91],f,1,1,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,['note_on'],[0],[76],[95],f,1,1,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,['note_on'],[0],[60],[92],f,1,1,0,0,"[22, 0]",0
3.1,['note_on'],[0],[62],[82],mf,1,1,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,"[4, 127]",0
3.3,['note_on'],[0],[69],[91],f,1,1,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,['note_on'],[0],[74],[96],f,1,1,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,['note_on'],[0],[77],[92],f,1,1,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,['note_on'],[0],[69],[86],mf,1,1,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[74],[91],f,1,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[77],[92],f,1,1,0,0,0,0
4.4,['note_on'],[0],[60],[96],f,1,1,0,0,"[124, 94]",0
4.5,[],[],[],[],,0,0,0,0,"[26, 0]",0
4.6,['note_on'],[0],[62],[89],f,1,1,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,"[44, 98, 124, 127]",0
4.8,['note_on'],[0],[69],[91],f,1,1,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,['note_on'],[0],[74],[95],f,1,1,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,['note_on'],[0],[77],[92],f,1,1,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,['note_on'],[0],[69],[89],f,1,1,0,0,0,0
5.5,['note_on'],[0],[74],[92],f,1,1,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,['note_on'],[0],[77],[91],f,1,1,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,['note_on'],[0],[59],[92],f,1,1,0,0,"[124, 98, 70, 42, 16, 0]",0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,['note_on'],[0],[62],[89],f,1,1,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,"[6, 65, 112, 127]",0
6.3,['note_on'],[0],[67],[96],f,1,1,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,['note_on'],[0],[74],[92],f,1,1,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
