sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[60],[56],p,0,1,100,0,0,64
0.1,['note_on'],[0],[64],[54],p,0,1,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,['note_on'],[0],[67],[53],p,0,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,['note_on'],[0],[72],[60],p,0,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,['note_on'],[0],[76],[60],p,0,1,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[67],[54],p,0,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,['note_on'],[0],[72],[56],p,0,1,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,['note_on'],[0],[76],[53],p,0,1,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[60],[53],p,0,1,0,0,0,0
1.6,['note_on'],[0],[64],[54],p,0,1,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,"[0, 6, 70, 90, 106]",0
1.8,['note_on'],[0],[67],[59],p,0,1,0,0,"[122, 127]",0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[72],[53],p,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[76],[53],p,0,1,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[67],[53],p,0,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[72],[59],p,0,1,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,['note_on'],[0],[76],[56],p,0,1,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,"[1, 0]",0
3.0,['note_on'],[0],[60],[56],p,0,1,0,0,0,0
3.1,['note_on'],[0],[62],[56],p,0,1,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,"[90, 110, 127]",0
3.3,['note_on'],[0],[69],[50],p,0,1,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,['note_on'],[0],[74],[53],p,0,1,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,['note_on'],[0],[77],[54],p,0,1,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,['note_on'],[0],[69],[53],p,0,1,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[74],[56],p,0,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[77],[50],p,0,1,0,0,0,0
4.4,['note_on'],[0],[60],[56],p,0,1,0,0,"[74, 36, 0]",0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,['note_on'],[0],[62],[53],p,0,1,0,0,"[1, 26]",0
4.7,[],[],[],[],,0,0,0,0,"[62, 80, 102, 124, 127]",0
4.8,['note_on'],[0],[69],[50],p,0,1,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,['note_on'],[0],[74],[56],p,0,1,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,['note_on'],[0],[77],[52],p,0,1,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,['note_on'],[0],[69],[51],p,0,1,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[74],[51],p,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[77],[46],pp,0,1,0,0,0,0
5.9,['note_on'],[0],[59],[52],p,0,1,0,0,"[122, 58]",0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,['note_on'],[0],[62],[45],pp,0,1,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,"[14, 40, 65, 86, 104, 124]",0
6.3,['note_on'],[0],[67],[56],p,0,1,0,0,127,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,['note_on'],[0],[74],[59],p,0,1,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,['note_on'],[0],[77],[57],p,0,1,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,['note_on'],[0],[74],[65],mp,0,1,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,['note_on'],[0],[77],[60],p,0,1,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,"[116, 88, 24]",0
7.5,['note_on'],[0],[59],[60],p,0,1,0,0,0,0
7.6,['note_on'],[0],[62],[60],p,0,1,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,"[108, 127]",0
7.8,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,['note_on'],[0],[74],[71],mp,0,1,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,['note_on'],[0],[77],[74],mp,0,1,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,['note_on'],[0],[67],[71],mp,0,1,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,['note_on'],[0],[74],[74],mp,0,1,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,['note_on'],[0],[77],[71],mp,0,1,0,0,0,0
8.9,['note_on'],[0],[60],[67],mp,0,1,0,0,"[104, 78, 50]",0
9.0,[],[],[],[],,0,0,0,0,"[24, 0]",0
9.1,['note_on'],[0],[64],[65],mp,0,1,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,"[26, 64, 82, 104, 126]",0
9.3,['note_on'],[0],[67],[74],mp,0,1,0,0,127,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,['note_on'],[0],[72],[78],mf,1,1,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,['note_on'],[0],[76],[81],mf,1,1,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,['note_on'],[0],[67],[78],mf,1,1,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,['note_on'],[0],[72],[81],mf,1,1,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,['note_on'],[0],[76],[81],mf,1,1,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,126,0
10.5,['note_on'],[0],[60],[72],mp,0,1,0,0,"[48, 0]",0
10.6,['note_on'],[0],[64],[76],mf,1,1,0,0,0,0
10.7,[],[],[],[],,0,0,0,0,"[6, 38, 94, 120, 127]",0
10.8,['note_on'],[0],[67],[78],mf,1,1,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,['note_on'],[0],[72],[83],mf,1,1,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,['note_on'],[0],[76],[84],mf,1,1,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,['note_on'],[0],[67],[88],f,1,1,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,['note_on'],[0],[72],[83],mf,1,1,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,['note_on'],[0],[76],[84],mf,1,1,0,0,0,0
11.9,['note_on'],[0],[60],[87],mf,1,1,0,0,114,0
12.0,[],[],[],[],,0,0,0,0,"[46, 0]",0
12.1,['note_on'],[0],[64],[76],mf,1,1,0,0,0,0
12.2,[],[],[],[],,0,0,0,0,64,0
12.3,['note_on'],[0],[69],[84],mf,1,1,0,0,"[86, 127]",0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,['note_on'],[0],[76],[90],f,1,1,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,['note_on'],[0],[81],[90],f,1,1,0,0,0,0
12.8,['note_on'],[0],[69],[80],mf,1,1,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,['note_on'],[0],[76],[88],f,1,1,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,['note_on'],[0],[81],[84],mf,1,1,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,0,0
13.4,['note_on'],[0],[60],[83],mf,1,1,0,0,"[120, 0]",0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,['note_on'],[0],[64],[76],mf,1,1,0,0,0,0
13.7,[],[],[],[],,0,0,0,0,"[102, 127]",0
13.8,['note_on'],[0],[69],[83],mf,1,1,0,0,0,0
13.9,[],[],[],[],,0,0,0,0,0,0
14.0,['note_on'],[0],[76],[88],f,1,1,0,0,0,0
14.1,[],[],[],[],,0,0,0,0,0,0
14.2,['note_on'],[0],[81],[88],f,1,1,0,0,0,0
14.3,[],[],[],[],,0,0,0,0,0,0
14.4,['note_on'],[0],[69],[78],mf,1,1,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,0,0
14.6,['note_on'],[0],[76],[84],mf,1,1,0,0,0,0
14.7,['note_on'],[0],[81],[72],mp,0,1,0,0,0,0
14.8,[],[],[],[],,0,0,0,0,0,0
14.9,['note_on'],[0],[60],[52],p,0,1,0,0,"[118, 0]",0
15.0,[],[],[],[],,0,0,0,0,0,0
15.1,['note_on'],[0],[62],[47],pp,0,1,0,0,0,0
15.2,[],[],[],[],,0,0,0,0,"[2, 24, 46, 62, 74]",0
15.3,['note_on'],[0],[66],[44],pp,0,1,0,0,"[80, 88, 92, 94, 98, 100, 102, 104, 108]",0
15.4,[],[],[],[],,0,0,0,0,"[110, 112, 114, 116]",0
15.5,['note_on'],[0],[69],[45],pp,0,1,0,0,0,0
15.6,[],[],[],[],,0,0,0,0,114,0
15.7,['note_on'],[0],[74],[53],p,0,1,0,0,"[112, 110, 108, 106, 104]",0
15.8,[],[],[],[],,0,0,0,0,"[102, 100]",0
15.9,['note_on'],[0],[66],[52],p,0,1,0,0,98,0
16.0,['note_on'],[0],[69],[47],pp,0,1,0,0,0,0
16.1,[],[],[],[],,0,0,0,0,0,0
16.2,['note_on'],[0],[74],[52],p,0,1,0,0,0,0
16.3,[],[],[],[],,0,0,0,0,0,0
16.4,['note_on'],[0],[60],[45],pp,0,1,0,0,"[92, 86, 74, 58, 42, 24, 6]",0
16.5,[],[],[],[],,0,0,0,0,0,0
16.6,['note_on'],[0],[62],[48],pp,0,1,0,0,0,0
16.7,[],[],[],[],,0,0,0,0,"[30, 44, 58, 64]",0
16.8,['note_on'],[0],[66],[46],pp,0,1,0,0,"[68, 72, 74, 78, 80, 82, 84, 86]",0
16.9,[],[],[],[],,0,0,0,0,"[90, 92, 94, 96]",0
17.0,['note_on'],[0],[69],[47],pp,0,1,0,0,"[98, 100]",0
17.1,[],[],[],[],,0,0,0,0,102,0
17.2,['note_on'],[0],[74],[53],p,0,1,0,0,0,0
17.3,[],[],[],[],,0,0,0,0,0,0
17.4,['note_on'],[0],[66],[49],p,0,1,0,0,0,0
17.5,[],[],[],[],,0,0,0,0,104,0
17.6,['note_on'],[0],[69],[47],pp,0,1,0,0,"[106, 108, 110, 112, 114, 116]",0
17.7,[],[],[],[],,0,0,0,0,"[120, 122, 126, 127]",0
17.8,['note_on'],[0],[74],[47],pp,0,1,0,0,0,0
17.9,[],[],[],[],,0,0,0,0,"[100, 70, 40]",0
18.0,['note_on'],[0],[59],[76],mf,1,1,0,0,"[6, 0]",0
18.1,['note_on'],[0],[62],[87],mf,1,1,0,0,0,0
18.2,[],[],[],[],,0,0,0,0,"[98, 120]",0
18.3,['note_on'],[0],[67],[88],f,1,1,0,0,127,0
18.4,[],[],[],[],,0,0,0,0,0,0
18.5,['note_on'],[0],[74],[88],f,1,1,0,0,0,0
18.6,[],[],[],[],,0,0,0,0,0,0
18.7,['note_on'],[0],[79],[90],f,1,1,0,0,0,0
18.8,[],[],[],[],,0,0,0,0,0,0
18.9,['note_on'],[0],[67],[84],mf,1,1,0,0,0,0
19.0,[],[],[],[],,0,0,0,0,0,0
19.1,['note_on'],[0],[74],[88],f,1,1,0,0,0,0
19.2,['note_on'],[0],[79],[90],f,1,1,0,0,0,0
19.3,[],[],[],[],,0,0,0,0,0,0
19.4,['note_on'],[0],[59],[84],mf,1,1,0,0,"[20, 0]",0
19.5,[],[],[],[],,0,0,0,0,0,0
19.6,['note_on'],[0],[62],[72],mp,0,1,0,0,"[64, 86]",0
19.7,[],[],[],[],,0,0,0,0,"[108, 127]",0
19.8,['note_on'],[0],[67],[88],f,1,1,0,0,0,0
19.9,[],[],[],[],,0,0,0,0,0,0
20.0,['note_on'],[0],[74],[87],mf,1,1,0,0,0,0
20.1,[],[],[],[],,0,0,0,0,0,0
